dictionary	vortaro
hebrew	hebreino
turkish	turka
frisian	friso
frisian	frisa
danish	dana
russian	rusa
russian	ruso
russian	rusino
russian	ruslandano
russian	ruslandanino
russian	rusujano
russian	rusujanino
russian	Rusa
swedish	[[sveda]] [[lingvo]]
swedish	sveda
slovak	slovaka
slovak	slovako
slovak	slovakino
flemish	flandra
flemish	flandralingva
flemish	la [[flandra]]
centillion	kvindekiliardo
centillion	centiliono
thirteen	dek tri
fourteen	dek kvar
million	miliono
hexahedron	sesedro
parallel	paralela
parallel	paralelo
eleventh	dekunua
twelfth	dek-dua
thirteenth	dek-tria
fourteenth	dek kvara
fifteenth	dek kvina
perpendicular	perpendikulara
triangle	triangulo
triangle	trilatero
polygon	plurangulo
polygon	plurlatero
polygon	poligono
polygon	multangulo
square	kvadrato
square	placo
square	kvadrata
square	kvadratigi
hemisphere	duonsfero
hemisphere	hemisfero
hemisphere	duonglobo
fifteen	dek kvin
nineteen	dek naŭ
twenty two	dudek du
thirty	tridek
fifty	kvindek
sixty	sesdek
seventy	sepdek
eighty	okdek
ninety	naŭdek
one hundred one	cent kaj unu
thousand	mil
eleven hundred	mil cent
two thousand	du mil
symbol	simbolo
design	dezajno
design	desegni
zeal	fervoro
tetrahedron	kvaredro
eighteen	dek ok
tennis	teniso
currency	mono
currency	valuto
five hundred	kvincent
blowjob	midzo
some	iu
some	iuj
some	ia
some	kelke
some	kelka
some	kelkaj
percent	procento
percent	pocento
percent	elcento
hand	enmanigi
hand	doni
coin	monero
sieve	kribrilo
sieve	kribri
too	ankaŭ
too	tro
toe	piedfingro
its	ĝia
its	ties
for	ĉar
for	por
for	pro
this	[[tiu]] [[ĉi]]
this	[[ĉi]] [[tiu]]
this	tio ĉi
this	ĉi tio
unicode	Unikodo
regime	reĝimo
handsome	bela
raccoon	lav-urso
raccoon	prociono
raccoon	procioneno
raccoon	procionedo
epitaph	tomboskribo
deer	cervo
reindeer	rangifero
zebra	zebro
red deer	cervo
spanish chestnut	marono
alpaca	alpako
anarchy	anarkio
anarchy	anarĥio
picture	bildo
picture	foto
picture	fotografaĵo
griffon vulture	ansergrifo
eagle owl	gufo
llama	lamo
volapük	volapuko
tonight	ĉi-vespere
tonight	ĉi-nokte
tonight	hodiaŭ nokte
yacht	jaĥto
yacht	jakto
xylophone	ksilofono
x-ray	ikso-radiado, rentgena radiado
koala	koalo
hunt	ĉasi
hunt	ĉasado
hunt	ĉasaĵaro
hunt	casi
wiki	vikio
wiki	vikiumi
to	-i
to	al
to	ĝis
tree	arbo
asian lion	persa leono
asian lion	azia leono
impala	impalo
cockroach	blato
millipede	milpiedulo
snow leopard	uncio
snow leopard	neĝleopardo
example	ekzemplo
demonstrative pronoun	monstra pronomo
demonstrative pronoun	demonstrativo
boy	knabo
boy	knabiĉo
girl	knabino
girl	virino
girl	servistino
centipede	centpiedulo
definite article	difina artikolo
relative pronoun	rilata pronomo
possessive pronoun	posesiva pronomo
possessive pronoun	poseda pronomo
possessive pronoun	posesivo
her	ŝia
her	ŝi
her	[[al]] [[ŝi]]
our	nia
their	ilia
their	iliaj
their	ria
genitive	genitivo
action	ago
cardinal number	kardinalo
concrete	reala
concrete	palpebla
concrete	konkreta
concrete	betona
concrete	betono
dative	dativa
auxiliary verb	helpverbo
vowel	vokalo
copula	ligverbo
passive voice	pasiva voĉo
nominative case	nominativo
dative case	dativo
indefinite article	artikolo nedefinida
indefinite article	nedefinida artikolo
indefinite pronoun	nedifina pronomo
intransitive verb	netransitiva verbo
irregular	neregulara
conditional	kondicionalo
neuter	neŭtra
neuter	aĵgenro
neuter	neŭtra genro
personal pronoun	persona pronomo
regular	regula
declension	deklinacio
spaniard	hispano
spaniard	hispanino
kiwi	apterigedo
kiwi fruit	kivio
kiwi fruit	kivifrukto
yeast	gisto
yeast	fermentilo
yeast	feĉo
leather	ledo
leather	leda
again	denove
again	ree
advertisement	reklamo
adjustment	adapto
adjustment	akomodo
adjustment	alĝustigo
adjustment	ĝustigo
island	insulo
quadrilateral	kvarlatero
quadrilateral	kvarangulo
species	specio
quantity	kvanto
quaver	okono
quaver	okonoto
quaver	tremi
quebec	Kebekio
quebec	Kebeko
montreal	Montrealo
belly dance	ventra danco
air	aerumi
all	ĉiuj
all	ĉiaj
all	ĉia
all	ĉiu
almost	preskaŭ
amount	monsumo
amusement	amuzado
amusement	amuzaĵo
ant	formiko
any	iom ajn
any	eĉ iomete
any	iu
any	iom da
any	ia
any	iu ajn
any	ĉiu
any	ĉiuj
balalaika	balalajko
peruke	peruko
cold day in hell	triĵaŭda semajno
accident	akcidento
adore	adori
adore	amegi
advice	konsilo
indonesian	indonezia
indonesian	indoneziano
north	nordo
north	norda
north	norde
east	oriento
east	eosto
east	orienta
east	orienten
south	sudo
south	suda
west	okcidento
west	okcidenta
korea	Koreujo
korea	Koreio
earth	grundo
earth	tero
earth	terkonekto
earth	terkonekti
snake	serpento
northeast	nordoriento
northeast	nordeosto
northeast	nordorienta
northwest	nordokcidento
northwest	norduesto
northwest	nordokcidenta
southwest	sudokcidento
southwest	suduesto
southwest	sudokcidenta
southwest	suduesta
southeast	sudoriento
southeast	sudeosto
southeast	sudesta
beeswax	abelvakso
laundry	lavotaĵoj
laundry	lavitaĵoj
father	patro
sister	fratino
sister	fratulino
sister	flegistino
child	infano
child	infanino
child	virinfano
daughter	filino
grandmother	avino
grandchild	genepo
grandson	nepo
granddaughter	nepino
aunt	onklino
nephew	nevo
niece	nevino
cousin	kuzo
cousin	kuzino
cousin	gekuzo
cousin	kuziĉo
father-in-law	bopatro
mother-in-law	bopatrino
brother-in-law	bofrato
sister-in-law	bofratino
daughter-in-law	bofilino
honey	mielo
honey	karulo
honey	karulino
bathroom	banĉambro
wing	flugilo
wing	planeo
wing	ala
hot	varmega
hot	ŝtelita
hot	amorveka
temperature	temperaturo
