heard 	 adjective 	 severe 	 hard, harsh, austere, severe, rigorous, stern, stubborn, firm, hardy, brave
heard 	 adjective 	 brave 	 hard, harsh, austere, severe, rigorous, stern, stubborn, firm, hardy, brave
heard 	 adjective 	 harsh 	 hard, harsh, austere, severe, rigorous, stern, stubborn, firm, hardy, brave
heard 	 adjective 	 firm 	 hard, harsh, austere, severe, rigorous, stern, stubborn, firm, hardy, brave
heard 	 adjective 	 stubborn 	 hard, harsh, austere, severe, rigorous, stern, stubborn, firm, hardy, brave
hit 	 pronoun 	 it 	 it
hold 	 noun 	 carcass 	 dead body; carcass
hold 	 adjective 	 gracious 	 gracious, loyal, kind
hold 	 adjective 	 loyal 	 gracious, loyal, kind
hold 	 adjective 	 kind 	 gracious, loyal, kind
lean 	 noun 	 reward 	 reward
lean 	 verb 	 reproach 	 to blame, fault, reproach
lean 	 verb 	 fault 	 to blame, fault, reproach
lean 	 verb 	 blame 	 to blame, fault, reproach
met 	 noun 	 measure 	 |measure
finn 	 noun 	 fin 	 fin
finn 	 noun 	 w:Ælfric of Eynsham 	 * late 10th century, Ælfric, the Old English Hexateuch
finn 	 noun 	 w:Old English Hexateuch 	 * late 10th century, Ælfric, the Old English Hexateuch
bog 	 noun 	 bough 	 a branch or bough of a tree
bog 	 noun 	 tree 	 a branch or bough of a tree
bog 	 noun 	 branch 	 a branch or bough of a tree
bog 	 noun 	 shoulder 	 the arm or shoulder
bog 	 noun 	 arm 	 the arm or shoulder
rod 	 noun 	 cross 	 cross
rod 	 noun 	 perch 	 a measure of land length, equal to a perch
rod 	 noun 	 acre 	 a measure of land area, equal to a quarter of an acre
mal 	 noun 	 mole 	 mole
mal 	 noun 	 spot 	 mark, spot
mal 	 noun 	 mark 	 mark, spot
wine 	 noun 	 friend 	 friend
spell 	 noun 	 story 	 story
spell 	 noun 	 w:Orosius 	 * late 9th century, King Alfred's  of Orosius’ History Against the Pagans
spell 	 noun 	 w:Alfred the Great 	 * late 9th century, King Alfred's  of Orosius’ History Against the Pagans
spell 	 noun 	 news 	 news
spell 	 noun 	 w:Orosius 	 * late 9th century, King Alfred's  of Orosius’ History Against the Pagans
spell 	 noun 	 w:Alfred the Great 	 * late 9th century, King Alfred's  of Orosius’ History Against the Pagans
spell 	 noun 	 prose 	 prose or a work of prose
spell 	 noun 	 w:Alfred the Great 	 * late 9th century, King Alfred's  of Boethius' The Consolation of Philosophy
spell 	 noun 	 w:Boethius 	 * late 9th century, King Alfred's  of Boethius' The Consolation of Philosophy
sin 	 pronoun 	 their 	 his; her; its; their
sin 	 pronoun 	 his 	 his; her; its; their
sin 	 pronoun 	 her 	 his; her; its; their
