*	*	*	*	present	present	past	past	present	present		
climb	indicative	2	singular	𐍃𐍄𐌴𐌹𐌲𐌹𐍃	steigis	𐍃𐍄𐌰𐌹𐌲𐍄	staigt	𐍃𐍄𐌴𐌹𐌲𐌰𐌶𐌰	steigaza		
climb	indicative	3	singular	𐍃𐍄𐌴𐌹𐌲𐌹𐌸	steigiþ	𐍃𐍄𐌰𐌹𐌲	staig	𐍃𐍄𐌴𐌹𐌲𐌰𐌳𐌰	steigada		
climb	indicative	1	dual	𐍃𐍄𐌴𐌹𐌲𐍉𐍃	steigōs	𐍃𐍄𐌹𐌲𐌿	stigu	—	—		
climb	indicative	2	dual	𐍃𐍄𐌴𐌹𐌲𐌰𐍄𐍃	steigats	𐍃𐍄𐌹𐌲𐌿𐍄𐍃	stiguts	—	—		
climb	indicative	1	plural	𐍃𐍄𐌴𐌹𐌲𐌰𐌼	steigam	𐍃𐍄𐌹𐌲𐌿𐌼	stigum	𐍃𐍄𐌴𐌹𐌲𐌰𐌽𐌳𐌰	steiganda		
climb	indicative	2	plural	𐍃𐍄𐌴𐌹𐌲𐌹𐌸	steigiþ	𐍃𐍄𐌹𐌲𐌿𐌸	stiguþ	𐍃𐍄𐌴𐌹𐌲𐌰𐌽𐌳𐌰	steiganda		
climb	indicative	3	plural	𐍃𐍄𐌴𐌹𐌲𐌰𐌽𐌳	steigand	𐍃𐍄𐌹𐌲𐌿𐌽	stigun	𐍃𐍄𐌴𐌹𐌲𐌰𐌽𐌳𐌰	steiganda		
climb	subjunctive	2	singular	𐍃𐍄𐌴𐌹𐌲𐌰𐌿	steigau	𐍃𐍄𐌹𐌲𐌾𐌰𐌿	stigjau	𐍃𐍄𐌴𐌹𐌲𐌰𐌹𐌳𐌰𐌿	steigaidau		
climb	subjunctive	3	singular	𐍃𐍄𐌴𐌹𐌲𐌰𐌹𐍃	steigais	𐍃𐍄𐌹𐌲𐌴𐌹𐍃	stigeis	𐍃𐍄𐌴𐌹𐌲𐌰𐌹𐌶𐌰𐌿	steigaizau		
climb	subjunctive	2	dual	𐍃𐍄𐌴𐌹𐌲𐌰𐌹	steigai	𐍃𐍄𐌹𐌲𐌹	stigi	𐍃𐍄𐌴𐌹𐌲𐌰𐌹𐌳𐌰𐌿	steigaidau		
climb	subjunctive	2	plural	𐍃𐍄𐌴𐌹𐌲𐌰𐌹𐍅𐌰	steigaiwa	𐍃𐍄𐌹𐌲𐌴𐌹𐍅𐌰	stigeiwa	—	—		
climb	subjunctive	3	plural	𐍃𐍄𐌴𐌹𐌲𐌰𐌹𐍄𐍃	steigaits	𐍃𐍄𐌹𐌲𐌴𐌹𐍄𐍃	stigeits	—	—		
