Buck_ID	English			Latin	Ancient Greek	Proto Indo European
14-210	swift|fast|quick	adjective		celer|vēlōx	ta'kʰus|ō'kus|tʰo'os|o'ksus	*hₐegˆilos,  *h₁o ̄kˆ-us
14-220	slow	adjective		tardus|lentus	bra'dus	
14-230	hasten|hurry	verb		festīnāre|properāre	speudō	*krob-, *speud-
14-240	retard|delay	verb		cunctārī|morārī	mellō|kʰro'nizō|bra'dūnō	
14-250	begin|beginning	verb		incipere|coepere	arkʰomai|ar'kʰē	*neik-
14-252	last|endure	verb		dūrāre	diar'keō	
14-260	end	noun		finis	telos|teleu'tē	*termn-
14-270	finish	verb		finīre	te'leō|teleu'taō	
14-280	cease|stop	verb		dēsinere|dēsistere	pauomai	
14-290	ready	adjective		parātus|praestō	he'toimos	
14-310	always	adverb		semper	a'ei|'pantote	
14-320	often	adverb		saepe|frequenter	pol'lakis|su'kʰna|pu'kna	
14-330	sometimes	adverb		aliquandō	e'niote	
14-331	soon	adverb		citō|mox	takʰa|au'tika|eu'tʰeōs	*mokˆs
14-332	long-time	adverb		diū|longum	ma'kran|ma'kron|po'lun 'kʰronon|e'pi po'lu|e'pi ma'kron	
14-340	never	adverb		numquam	ūpote|ū'depote	
14-350	again	adverb		iterum|dēnuō|rūrsus	palin	
14-410	day	noun		diēs	hē'merā	*deino-, *dye(u)-, *hₐe ́gˆhr̥
14-420	night	noun		nox	nuks	*kʷsep-, *nekʷt-, *n̥kʷtus
14-430	dawn	noun		aurōra|prīma lūx	heōs|ē'ōs|'ortʰros	*hₐe ́uso ̄s
14-440	morning	noun		māne|mātūtīnum	heōs|ē'ōs|prō'iā	*pro ̄-
14-450	noon|midday	noun		merīdiēs	mesēm'briā	
14-451	afternoon	noun		tempus pōmerīdiānum	deilē	
14-460	evening	noun		vesper|vespera	he'sperā|o'psiā	
14-470	today	noun		hodiē	sēmeron	
14-480	tomorrow	noun		crās	aurion	
14-481	day-after-tomorrow	noun		perendiē	tritēn hē'merān	
14-490	yesterday	noun		herī	kʰtʰes|e'kʰtʰes	*(dh)gˆhyes
14-491	day-before-yesterday	noun		nudius tertius	prōiēn	
14-510	hour	noun		hōra	hōrā	
14-530	clock|timepiece	noun		hōrologium	hōro'logion	
14-610	week	noun			hebdo'mas|'sabbaton	
14-620	Sunday	noun		diēs Sōlis|diēs dominica	mia sab'batū|kūria'kē|hē'merā hē'lioū	
14-630	Monday	noun		diēs Lūnae|secunda fēria	deu'terā sab'batū|hē'merā se'lēnēs	
