#swadesh 207 id	part-of-speech	English	Proto-Indo-European	Proto-Germanic	Proto-Italic	Proto-Indo-Iranian	Proto-Balto-Slavic	Proto-Slavic		 Latin 	Portuguese 	Spanish 	French 	Italian	Romanian
55	noun	seed	*séh₁mn̥	*sēdiz, *sēmô	*sēmen	*bíHȷ́am	*sēˀmen	*sěmę		sēmen	semente	semilla	semence	semente, seme	sămânță
56	noun	leaf	*lewbʰ-, *bʰolh₃yom	*laubą	*folyom	*parnám	*lapas, *leistas	*listъ		folium	folha	hoja	feuille	foglia	frunză, foaie (rare)
57	noun	root	*wréh₂ds	*wrōts	*wrādīks			*kory		rādīx, (genitive sg : rādīcis)	raiz	raíz	racine	radice	rădăcină
58	noun	bark	*bʰérHǵos	*barkuz, *rindǭ	*korteks	*twákš, *varkás ~ valkás	*karā́ˀ	*(s)kora		cortex	casca	corteza	écorce	corteccia, scorza	scoarță, coajă
59	noun	flower	*bʰleh₃-	*blōmô	*flōs			*květъ		flōs, (genitive sg : floris)	flor	flor	fleur	fiore	floare
60	noun	grass	*koyno-	*grasą	*grāmen	*tŕ̥nam		*trava		herba	erva	hierba	herbe	erba	iarbă
61	noun	rope	*roypnós	*raipaz	*fuðnis	*rázǰuš, *rać-*	*wirwis	*(v)ǫže, *povorzъ		fūnis, chorda (string)	corda	cuerda	corde	corda, fune	frânghie, coardă, funie
62	noun	skin	*pel-, *twékos	*fellą	*pelnis	*čárma	*ā́dāˀ	*koža		cutis, pellis (animal hide / skin)	pele	piel	peau	pelle	piele
63	noun	meat	*mḗms, *krewh₂-	*mimzą	*karō	*māmsás	*mēnsāˀ, *mḗns	*męso		carō, (genitive sg : carnis)	carne	carne	chair, (food) viande	carne	carne
64	noun	blood	*krewh₂-, *h₁ésh₂r̥	*blōþą	*sangwen	*HásHr̥	*krauja, *krū́ˀs	*kry		sanguis, cruor	sangue	sangre	sang	sangue	sânge
65	noun	bone	*h₂óst, *kost-	*bainą	*os	*Hástʰi	*káuˀlas	*kostь		os, (genitive sg : ossis)	osso	hueso	os	osso	os
66	noun	fat	*smérus	*faitą, *smultą	*pinɣʷe	*píHwas	*tauˀkás	*sadlo, *skormъ, *tukъ, *tъlščь		adeps, grassus / crassus (vulg.)	gordura	grasa	gras	grasso	grăsime
67	noun	egg	*h₂ōwyóm	*ajją	*ōwom	*Hāwyám	*ṓja	*(j)aje, *(j)ajьce		ōvum	ovo	huevo	œuf	uovo	ou
68	noun	horn	*ḱr̥nom, *ḱerh₂(s), *ḱerh₂sr̥, *koru	*hurną	*kornū	*ćáypas	*rágas, *śírˀnāˀ	*rogъ		cornū	corno	cuerno	corne	corno	corn
69	noun	tail		*stertaz	*kaudā	*púšćas, *wā́ras		*xvostъ		cauda	cauda	cola	queue	coda	coadă
70	noun	feather	*péth₂r̥	*feþrō	*plow(k)smā	*parnám		*pero		plūma, penna	pluma	pluma	plume	piuma, penna	fulg, pană
71	noun	hair	*pulh₂-	*hērą, *taglą	*kriznis	*Hráwma*, *káyćas*	*kasā́ˀ, *válśas	*kosa, *volsъ		capillus, coma, pilus	cabelo, pelo	cabello, pelo	cheveu, poil (rare)	capello, pelo (rare)	păr
72	noun	head	*káput-, *gʰebʰelo-	*haubudą	*kaput	*ćŕ̥Has, *ćr̥Hšá	*galˀwā́ˀ	*golva		caput	cabeça	cabeza	tête, chef (rare)	testa, capo (rare), capoccia (dial.)	cap
73	noun	ear	*h₂ṓws	*ausô	*auzis	*kárnas	*auš-	*uxo		auris, auricula (diminutive)	orelha	oreja	oreille	orecchio, recchia (dial.)	ureche
74	noun	eye	*h₃ókʷs	*augô	*okʷelos	*čákšuš, *čáćšma	*ak-	*oko		oculus	olho	ojo	œil	occhio	ochi
75	noun	nose	*Hnéh₂s	*nusō, *nasō	*nās	*náHsaH	*nasús, *nāˀs	*nosъ		nāsus, nāris (nostrils, nose of animals)	nariz	nariz	nez	naso	nas
76	noun	mouth	*h₃éh₁os	*munþaz	*ōs	*Hā́s, *wáktram	*aust-	*usta		ōs, (genitive sg : oris)	boca	boca	bouche	bocca	gură
77	noun	tooth	*h₃dónts, *ǵómbʰos	*tanþs	*dents	*Hdánts, *ȷ́ámbʰas	*dantís, *źámbas	*rъtъ, *zǫbъ		dēns, (genitive sg : dentis)	dente	diente	dent	dente	dinte
78	noun	tongue	*dn̥ǵʰwéh₂s	*tungǭ	*denɣwā	*ȷ́iȷ́ʰwáH	*inźūˀ	*(j)ęzykъ		lingua	língua	lengua	langue	lingua	limbă
79	noun	fingernail	*h₃negʰ-	*naglaz	*ungus	*Hnā́kš ~ Hnakʰás	*nogā́ˀ, *nagutjas	*nogъtь		unguis, ungula (nails / claws of an animal)	unha	uña	ongle	unghia	unghie
80	noun	foot	*pṓds	*fōts	*peds	*pā́ts	*pēdā́ˀ	*noga, *stopa		pēs, (genitive sg : pedis), pedīculus (diminutive)	pé	pie	pied	piede	picior, piez (obs.)
81	noun	leg	*kroksko	*lagjaz, *bainą	*krūs			*korkъ, *noga		crūs, perna (thigh bone)	perna	pierna	jambe	gamba	gambă
82	noun	knee	*ǵónu	*knewą	*genū	*ȷ́ā́nu	*kal-, *kel-	*kolěno		genū, geniculum (diminutive)	joelho	rodilla, hinojo (old-f.)	genou	ginocchio	genunchi
83	noun	hand	*ǵʰésr̥, *mar-	*handuz	*manus	*ȷ́ʰástas	*ránkāˀ	*rǫka		manus	mão	mano	main	mano	mână
84	noun	wing	*péth₂r̥	*wēingaz, *flugilaz, *fiþriją	*akslā	*parnám	*sparnas	*kridlo		āla	asa	ala	aile	ala	aripă
85	noun	belly	*úderos	*būkaz	*wendtris	*udáras	*wēˀdera	*břuxo, *červo		venter, abdōmen	ventre, barriga	vientre, barriga	ventre	ventre, addome (rare), pancia (colloquial)	burtă, pântece, vintre (rare)
86	noun	guts	*eh₁ter-	*garnō, *þarmaz	*laktis	*Hántram		*ǫtroba		intestīna, chorda (intestine)	tripas pl, entranhas pl, intestinos pl	tripas pl, intestinos pl, entrañas pl	entrailles pl, tripes pl, intestins pl	intestini pl, budella pl	mațe pl, măruntaie, intestine pl
87	noun	neck	*mon-	*hnakkô, *halsaz	*kʷolzom	*griHwáH*	*grī́ˀwāˀ	*kъrkъ, *šija, *vortъ		collum, cervīx, nucha (nape)	pescoço, colo (rare), nuca (nape)	cuello, nuca (nape)	cou, nuque (nape)	collo, nuca (nape)	gât
88	noun	back		*baką	*dorsom	*pr̥štʰás		*xrьbьtъ		tergum, dorsum	costas pl / (human), lombo (animal)	espalda (human), lomo (animal)	dos	schiena (human), dorso (animal)	spate, dos
89	noun	breast	*peg-, *pstḗn	*breustą, *brusts	*pektos	*pstánas, *HúrHas*	*pírˀśis	*grǫdь, *pьrsь		pectus, mamma, sinus	peito, seio	pecho, seno	poitrine, sein	petto, seno	piept, sân
90	noun	heart	*ḱḗr*	*hertô	*kord	*ȷ́ʰŕ̥dayam	*śḗr, *śirˀdís	*sьrdьce		cor, (genitive sg : cordis)	coração	corazón	cœur	cuore	inimă, cord
91	noun	liver	*Hyékʷr̥	*librō	*jekʷor	*Hyákr̥	*entrá, *jaknāˀ	*ętro		iecur, fīcātum (vulg.)	fígado	hígado	foie	fegato	ficat
92	verb	drink	*píph₃eti, *h₁egʷʰ-	*drinkaną	*pibō	*píbati		*piti		bibere	beber	beber, tomar	boire	bere	bea
