						
constrain 	*h₂ emgˆh-					
contain 	*h₂ em-, *wer-					
container 	*pe ̄l(h₁)ewis					
contend 	*h₃ enh₂-, *mel-, *reus -					
cook 	*pekʷ-, *wer-					
coot 			WC *bhel-			
copper 	*h₁ roudho ́s, *hₐ ey-es-					
copulate (< Early PIE ‘enter’) 	*ye ́bhe/o-					
corner 			WC *kan-t(h)o-			
corpse 	*ne ́hₐ wis					
couch 	*le ́ghes-					
cough 	*kʷ ehₐ s-					
count (out) 			WC *hₐ rei(hₓ)-			
country 	*pl̥th₂ wihₐ-					
cover 	*h₁ eu-, *h₁ rebh-, *kˆem-, *(s)keu(hₓ)-, *wer-		WC/PIE? *(s)teg-,  *kˆel-	GA *dhwenh₂-		
cow 	*gʷ o ̄us, *h₁egˆh-, *wokˆe ́hₐ-		WC *lohₐ po-			
cowherd 			WC *gʷ ou-kʷ olos			
crab 	*karkr(o)-					
crack 	*gerg-					
crackle 	*(s)pr̥hₓ g-					
craft 			WC *ke ́rdos			
craftsman 			WC *dhₐbhros			
crane 	*ger-					
crawl 	*serp-, *(t)sel-	NW *re ̄p-				
crayfish 	*km̥ hₐ ros					
cream 	*re ́ughmen-					
creatures 	*h₂/3 we ́dr̥					
crooked 	*(s)keng-		WC *lerd-,  *lord(skˆ)os,  *(s)kel-			
cross-eyed 		NW/PIE? *ka ́ikos				
crossover 	*ter-					
crow 	*kVr-					C -, *wer-
crowd 			WC *ger-			
crown of the head 	*ml̥h₂ dho-					
crush 	*mer-, *pis-, *(s)tergˆh-, *weld-, *wes-					
cry 	*glagˆh-, *gˆar-, *gher-, *kau(k)-, *kˆeuk-, *kreukˆ-, *neu-, *wed-	NW *(s)trep-,  *wehₐ b-	WC *ghel-,  *lehₐ-,  *(s)wehₐ gh-			
cuckoo 	*kuku ̄					
cup 	*kVlVkˆ-, *poh₂ tlom					
curds 	*two ́hₓ r̥					
cure 	*med-		WC *bher-,  *yak(k)-			
curse 	*h₂eru-					
curve 	*geu- ~*gehₓ u-, *keu(hₓ)-, *keu-k-		WC *(s)kamb-			
curved 		NW *pandos				
custom 	*s(w)edh-					
cut 	*bher-, *bhrehₓ i-, *bhreu-, *dehₐ(i)-, *del-, *kerd-, *kˆes-, *kʷ er-, *put-, *sek-, *skeh₁i(-d)-, *(s)kel-, *(s)ker-, *twerk-		WC *gleubh -,  *(s)grebh-			
cut hair 	*koikˆ-					
cuttingʷeapon 	*we ̄ben					
damp 	*penk-					
dangerous 	*wl̥kʷ o ́s					
dark 	*dh(o)ngu-, *to ́mhₓ es-		WC *(hₐ)mauros,  *(hₐ)merhₓ gʷ-			
darken 	*swer-	NW *merk-		GA *dhwenh₂-		
darkness 	*h₁regʷ-es-					
daughter 	*dhugˆ(hₐ)te ̄ ́r					
dawn 	*hₐe ́uso ̄s					
dawns 	*hₐ(e)us-skˆeti					
day 	*deino-, *dye(u)-, *hₐ e ́gˆhr̥					C *h₂ehₓ-mer-
dead 	*mr̥to ́s, *ne ́kˆus					
deaf 	*bhodhₓ ro ́s					
dear 	*hₓlehₐ d-, *lehₐ d-					
death 	*mo ́ros, *mr̥tı ́s, *mr̥to ́m, *neks, *ne ́kˆus					
debt 		NW *dhl̥gh-				
decay 	*kˆer-					
deceive 	*dhreugh-, *meng-, *(s)mel-, *(s)weig-	NW *meug-	WC *kel-			
declare solemnly 	*kˆeh₁-, *kˆe(n)s-					
deep 	*dheub-					
deer 	*h₁ elh₁e ̄n		WC *yo ́rks			
defecate 	*gˆhedye/o-, *gʷ uhₓ-, *kerd-, *kˆekʷ-		WC *kak(k)ehₐ ye/o-			
defect 	*mendo/ehₐ-					
defend 	*hₐ lek-					
defile 	*kerd-	NW *mai-				
descendant 	*neptiyos					
desire 	*gheldh-, *gˆhor(ye/o)-, *hₓ ihₓ igˆh-(e/o)-, *leubh-, *moud -, *wenhₓ-		WC *h₁ op		E *kʷ lep-	
destroy 	*bhrehₓ i-, *dhgʷ hei-, *h₂ erhₓ-, *h₂ erk-, *h₃ elh₁-					
destruction 	*h₂ re ́tkˆes-					
dew 	*ro ̄ ́s					
die 	*mer-, *nekˆ-, *wel-		WC *dheu-			
difficult 	*tengh-					
dig up 	*bhedh-, *h₃ reuk-, *perkˆ-	NW *dhelbh-,  *ghrebh-				
dip 	*gʷ abh-, *mesg-					
dirt(y) 	*reh₁mo ́s, *solhₓ-, *tihₓ n-	NW *mai -	WC *gru ́gˆs,  *leu-			
dish 			WC *po ́thₐ r̥			
dispute 		NW *(s)trep-				
distribute 	*bhₐg-, *pr̥(h₃)tis	NW *h₁em-				
disturb 	*mer-					
dive 	*gʷ a ̄dh-, *mesg-					
divide 	*bhₐg-, *dehₐ(i)-, *lenk-					
do 	*kon-, *kʷ er-, *yeh₁-					
dog 	*kˆ(u)wo ̄n		WC *(s)koli-			
donkey 			WC *mu ́(k)skos			
door 	*dhwo ̄ ́r					
doorjamb 	*hₐ e ́nhₓ t(e)hₐ					
dormouse 	*gl̥h₁ ı ́s					
do something hateful 			WC *hₐ leit-			
double 	*dw(e)i-plos, *dwoyos					
dough 			WC *(s)teh₂ ist			
down 	*kathₐ e					
downcast 			WC *hₐ egh-			
downwards 	*ni					
dragon 			WC *dr̥kˆ-			
draw (liquids) 	*h₂en-, *h₂ eu(hₓ)s-		WC *sem-			
draw (spin) 	*(s)pen-					
draw together, be thick 	*bhe ́ngˆh-					
