appear	infinitive	simple	apparaître											
fall	(compoundtenses)	future perfect	future of avoir or être + past participle		future of avoir or être + past participle		future of avoir or être + past participle		future of avoir or être + past participle		future of avoir or être + past participle		future of avoir or être + past participle	
fall	(compoundtenses)	conditional perfect	conditional of avoir or être + past participle		conditional of avoir or être + past participle		conditional of avoir or être + past participle		conditional of avoir or être + past participle		conditional of avoir or être + past participle		conditional of avoir or être + past participle	
fall	(compoundtenses)	past	present subjunctive of avoir or être + past participle		present subjunctive of avoir or être + past participle		present subjunctive of avoir or être + past participle		present subjunctive of avoir or être + past participle		present subjunctive of avoir or être + past participle		present subjunctive of avoir or être + past participle	
fall	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir or être + past participle		imperfect subjunctive of avoir or être + past participle		imperfect subjunctive of avoir or être + past participle		imperfect subjunctive of avoir or être + past participle		imperfect subjunctive of avoir or être + past participle		imperfect subjunctive of avoir or être + past participle	
fly	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
fly	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
fly	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
fly	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
fly	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
fly	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
fly	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
hear	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
hear	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
hear	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
hear	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
hear	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
hear	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
hear	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
occupy	(compoundtenses)	present perfect	present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle		present indicative of avoir + past participle	
occupy	(compoundtenses)	pluperfect	imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle		imperfect indicative of avoir + past participle	
occupy	(compoundtenses)	past anterior2	past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle		past historic of avoir + past participle	
occupy	(compoundtenses)	future perfect	future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle		future of avoir + past participle	
occupy	(compoundtenses)	conditional perfect	conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle		conditional of avoir + past participle	
occupy	(compoundtenses)	past	present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle		present subjunctive of avoir + past participle	
occupy	(compoundtenses)	pluperfect2	imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle		imperfect subjunctive of avoir + past participle	
