	Id	English	Part	Emoji
670	20-270	sword	noun	🗡️
671	20-280	gun|cannon	noun	🔫
672	20-310	armor	noun	🛡️
673	20-330	helmet	noun	🪖
674	20-340	shield	noun	🛡️
675	20-350	fortress	noun	🏰
676	20-360	tower	noun	🏰
677	20-410	victory	noun	
678	20-420	defeat	noun	
679	20-430	attack	verb	
680	20-440	defend	verb	
681	20-450	retreat	verb	
682	20-460	surrender	verb	
683	20-470	captive|prisoner	noun	
684	20-471	guard|sentinel	noun	💂
685	20-480	booty|spoils	noun	
686	20-490	ambush	verb	
687	20-510	fisherman	noun	
688	20-520	fishhook	noun	
689	20-530	fishing line	noun	🎣
690	20-540	fishnet	noun	
691	20-550	fish trap	noun	
692	20-560	bait	noun	🪤
693	20-610	hunt	verb	
694	20-620	shoot	verb	
695	20-630	miss (target)	verb	
696	20-640	trap	noun	🪤
697	20-650	trap	verb	🪤
698	21-110	law	noun	⚖️
699	21-150	court	noun	
700	21-160	judge	verb	🧑‍⚖️
701	21-170	judgment	noun	🧑‍⚖️
702	21-180	judge	noun	🧑‍⚖️
703	21-210	plaintiff	noun	
704	21-220	defendant	noun	
705	21-230	witness	noun	
706	21-240	swear	verb	
707	21-250	oath	noun	
708	21-310	accuse	verb	
709	21-320	condemn	verb	🧑‍⚖️
710	21-330	convict	verb	🧑‍⚖️
711	21-340	acquit	verb	🧑‍⚖️
712	21-350	guilty	adjective	
713	21-360	innocent	adjective	
714	21-370	penalty|punishment	noun	
715	21-380	fine	noun	
716	21-390	prison|jail	noun	
717	21-420	murder	verb	
718	21-430	adultery	noun	
719	21-440	rape	noun	
720	21-460	arson	noun	
721	21-470	perjury	noun	
722	21-510	steal	verb	
723	21-520	thief	noun	
724	22-110	religion	noun	
725	22-120	God	noun	🧓
726	22-130	temple|church	noun	
727	22-140	altar	noun	
728	22-150	sacrifice|offering	noun	
729	22-160	worship	verb	
730	22-170	pray	verb	
731	22-180	priest	noun	
732	22-190	holy|sacred	adjective	
733	22-220	preach	verb	
734	22-230	bless	verb	
735	22-240	curse	verb	
736	22-260	fast	verb	
737	22-310	heaven	noun	
738	22-320	hell	noun	
739	22-350	demon (evil spirit)	noun	👹
740	22-370	idol	noun	
741	22-420	magic|witchcraft|sorcery	noun	🪄
742	22-430	sorcerer|witch	noun	🧙
743	22-440	fairy|elf	noun	🧚
744	22-450	ghost|phantom	noun	👻
745	22-470	omen|portent	noun	
746	3-110	animal	noun	🐓🐃🐖
747	3-120	male	adjective	
748	3-130	female	adjective	
749	3-150	livestock	noun	🐄
750	3-160	pasture	noun	
751	3-180	herdsman	noun	
752	3-190	stable|stall	noun	
753	3-200	cattle	noun	🐂
754	3-210	bull	noun	🐂
755	3-220	ox	noun	🐂
756	3-230	cow	noun	🐄
757	3-240	calf	noun	
758	3-250	sheep	noun	🐑
759	3-260	ram	noun	🐏
760	3-280	ewe	noun	🐑
761	3-290	lamb	noun	🐑
762	3-320	boar	noun	🐗
763	3-340	sow	noun	🐖
764	3-350	pig	noun	🐖
765	3-360	goat	noun	🐐
766	3-370	he-goat	noun	🐐
767	3-380	kid	noun	🐐
768	3-410	horse	noun	🐎
769	3-420	stallion	noun	🐎
770	3-440	mare	noun	🐎
771	3-450	foal|colt	noun	🐎
772	3-460	ass|donkey	noun	🫏
773	3-470	mule	noun	🫏
774	3-500	fowl	noun	🦆
775	3-520	cock|rooster	noun	🐓
776	3-540	hen	noun	🐔
777	3-550	chicken	noun	🐔
778	3-560	goose	noun	🪿
779	3-570	duck	noun	🦆
780	3-580	nest	noun	
781	3-581	bird	noun	🐦
782	3-582	seagull	noun	
783	3-583	heron	noun	
784	3-584	eagle	noun	🦅
785	3-585	hawk	noun	🦅
786	3-586	vulture	noun	
787	3-591	bat	noun	🦇
788	3-592	parrot	noun	🦜
789	3-593	crow	noun	🐦‍⬛
790	3-594	dove	noun	🕊️
791	3-596	owl	noun	🦉
792	3-610	dog	noun	🐕
793	3-614	rabbit	noun	🐇
794	3-620	cat	noun	🐈
795	3-622	opossum	noun	
796	3-630	mouse|rat	noun	🐀
797	3-650	fish	noun	🐟
798	3-652	fin (dorsal)	noun	
799	3-653	fishscale	noun	
800	3-654	gill	noun	
801	3-655	shell	noun	🐚
802	3-661	shark	noun	🦈
803	3-662	porpoise|dolphin	noun	🐬
804	3-663	whale	noun	🐋
805	3-664	stingray	noun	
806	3-665	freshwater eel	noun	
807	3-710	wolf	noun	🐺
808	3-720	lion	noun	🦁
809	3-730	bear	noun	🐻
810	3-740	fox	noun	🦊
811	3-750	deer	noun	🦌
812	3-760	monkey	noun	🐒
813	3-770	elephant	noun	🐘
814	3-780	camel	noun	🐪
815	3-810	insect	noun	🐜
816	3-811	louse	noun	🐜
817	3-812	nit	noun	🐜🥚
818	3-813	flea	noun	
819	3-814	centipede	noun	🐛
