*	*	*	*	nominative	accusative	genitive	dative	locative	allative	ablative	instrumental	vocative			
star	plural	gendered	latin	ḫaštireš, ḫaštiriš	ḫaštiruš	ḫaštiraš, ḫaštiran²	ḫaštiraš	ḫaštiraš		ḫaštiraz(a)	ḫaštirit 		#	-r stem	
#hand	singular	neuter		kessar	kessar		kisri	kisri	kisrā		ki-iš-šar-at		#	ablaut, old hittite only	
#hand	plural	neuter					kisras	kisras	kisras				#	ablaut, old hittite only	
water	singular		cuneiform	𒉿𒀀𒋻 	𒌑𒄿𒋼𒈾𒀭𒍝 	𒌑𒄿𒋼𒈾𒀸 	𒌑𒄿𒋼𒂊𒉌 	𒌑𒄿𒋼𒂊𒉌 	𒌑𒄿𒋼𒈾 	𒌑𒄿𒋼𒈾𒊍 	𒌑𒄿𒋫𒀭𒋫, 𒌑𒄿𒋼𒉌𒀉 		#	heteroclitic noun	
water	singular		transliteration	wa-a-tar 	ú-i-te-na-an-za 	ú-i-te-na-aš 	ú-i-te-e-ni 	ú-i-te-e-ni 	ú-i-te-na 	ú-i-te-na-az 	ú-i-ta-an-ta, ú-i-te-ni-it 		#	heteroclitic noun	
water	singular		latin	wātar 	witenz(a) 	witenaš 	witeni 	witeni 	witena 	witenaz(a) 	witanta, witenit 		#	heteroclitic noun	
water	plural		cuneiform	𒌑𒄿𒋫𒀀𒅈	𒌑𒄿𒋼𒈾𒀭𒋼𒌍	𒌑𒄿𒋼𒈾𒀸	𒌑𒄿𒋼𒈾𒀸	𒌑𒄿𒋼𒈾𒀸		𒌑𒄿𒋼𒈾𒊍	𒌑𒄿𒋫𒀭𒋫, 𒌑𒄿𒋼𒉌𒀉		#	heteroclitic noun	
water	plural		transliteration	ú-i-ta-a-ar	ú-i-te-na-an-te-eš	ú-i-te-na-aš	ú-i-te-na-aš	ú-i-te-na-aš		ú-i-te-na-az	ú-i-ta-an-ta, ú-i-te-ni-it 		#	heteroclitic noun	
water	plural		latin	witār	witenantes	witenaš	witenaš	witenaš		witenaz(a)	witanta, witenit 		#	heteroclitic noun	
father	singular	gendered	cuneiform	𒀜𒋫𒀸 	𒀜𒋫, 𒀜𒋾 	𒀜𒋫𒀭 	𒀜𒋫𒀸 	𒀜𒋾 	𒀜𒋾 	𒀜𒋫 	𒀜𒋫𒊍 	𒀜𒋾𒀉 	#	needed for templates	
father	singular	gendered	transliteration	at-ta-aš 	at-ta, at-ti 	at-ta-an 	at-ta-aš 	at-ti 	at-ti 	at-ta 	at-ta-az 	at-ti-it 	#	needed for templates	
father	singular	gendered	latin	attaš 	atti, atta 	attan 	attaš 	atti 	atti 	atta 	attaz(a) 	attit 	#	needed for templates	
father	plural	gendered	cuneiform	𒀜𒋾𒂊𒌍		𒀜𒌅𒍑	𒀜𒋫𒀸, 𒀜𒋫𒀭	𒀜𒋫𒀸	𒀜𒋫𒀸		𒀜𒋫𒊍	𒀜𒋾𒀉	#	needed for templates	
father	plural	gendered	transliteration	at-ti-e-eš		at-tu-uš	at-ta-aš, at-ta-an	at-ta-aš	at-ta-aš		at-ta-az	at-ti-it 	#	needed for templates	
father	plural	gendered	latin	attiēš		attuš	attaš, attan²	attaš	attaš		attaz(a)	attit 	#	needed for templates	
mother	singular	gendered	cuneiform	𒀭𒈾𒀸 	𒀭𒈾, 𒀭𒉌 	𒀭𒈾𒀭 	𒀭𒈾𒀸 	𒀭𒉌 	𒀭𒉌 	𒀭𒈾 	𒀭𒈾𒊍 	𒀭𒉌𒀉 	#	needed for templates	
mother	singular	gendered	transliteration	an-na-aš 	an-na, an-ni 	an-na-an 	an-na-aš 	an-ni 	an-ni 	an-na 	an-na-az 	an-ni-it 	#	needed for templates	
mother	singular	gendered	latin	annaš 	anni, anna 	annan 	annaš 	anni 	anni 	anna 	annaz(a) 	annit 	#	needed for templates	
mother	plural	gendered	cuneiform	𒀭𒉈𒌍, 𒀭𒉌𒅖		𒀭𒉡𒍑	𒀭𒈾𒀸, 𒀭𒈾𒀭	𒀭𒈾𒀸	𒀭𒈾𒀸		𒀭𒈾𒊍	𒀭𒉌𒀉	#	needed for templates	
mother	plural	gendered	transliteration	an-ne-eš, an-ni-iš		an-nu-uš	an-na-aš, an-na-an	an-na-aš	an-na-aš		an-na-az	an-ni-it 	#	needed for templates	
mother	plural	gendered	latin	anneš, anniš		annuš	annaš, annan²	annaš	annaš		annaz(a)	annit 	#	needed for templates	
name	singular	gendered	cuneiform	𒆷𒀀𒈠𒀭 	𒆷𒀀𒈠𒀭 	𒆷𒄠𒈾𒀸 	𒆷𒄠𒉌 	𒆷𒄠𒉌 	𒆷𒄠𒈾 	𒆷𒄠𒈾𒊍 	𒆷𒄠𒉌𒀉 		#	needed for templates	
name	singular	gendered	transliteration	la-a-ma-an 	la-a-ma-an 	la-am-na-aš 	la-am-ni 	la-am-ni 	la-am-na 	la-am-na-az 	la-am-ni-it 		#	needed for templates	
name	singular	gendered	latin	lāman 	lāman 	lamnaš 	lamni 	lamni 	lamna 	lamnaz(a) 	lamnit 		#	needed for templates	
name	plural	gendered	cuneiform	𒆷𒄠𒉌	𒆷𒄠𒉌	𒆷𒄠𒈾𒀸, 𒆷𒄠𒈾𒀭	𒆷𒄠𒈾𒀸	𒆷𒄠𒈾𒀸		𒆷𒄠𒈾𒊍	𒆷𒄠𒉌𒀉		#	needed for templates	
name	plural	gendered	transliteration	la-am-ni	la-am-ni	la-am-na-aš, la-am-na-an	la-am-na-aš	la-am-na-aš		la-am-na-az	la-am-ni-it 		#	needed for templates	
name	plural	gendered	latin	lamni	lamni	lamnaš, lamnan²	lamnaš	lamnaš		lamnaz(a)	lamnit 		#	needed for templates	
															
															
