*	*	*	*	*	present	past	imperative	#				
burn	active	2	plural	cuneiform	𒉿𒅈𒁺𒈠 	𒉿𒅈𒁺𒈠𒀜 	𒉿𒅈𒌅𒈠𒀜	#	irregular			
burn	active	2	plural	transliteration	wa-ar-du-ma 	wa-ar-du-ma-at 	wa-ar-tu-ma-at	#	irregular			
burn	active	2	plural	latin	warduma 	wardumat 	wartumat	#	irregular			
burn	active	3	plural	cuneiform	𒉿𒊏𒀭𒋫𒊑 	𒉿𒊏𒀭𒋫𒀜 	𒀀𒀭𒋫𒊒	#	irregular			
burn	active	3	plural	transliteration	wa-ra-an-ta-ri 	wa-ra-an-ta-at 	wa-ra-an-ta-ru 	#	irregular			
burn	active	3	plural	latin	warantari 	warantat 	warantaru	#	irregular			
live	active	1	singular	cuneiform	𒄷𒍑𒈪 	𒄷𒍑𒋗𒌦 	𒄷𒍑𒊭𒀠𒇻	#		needed for declension templates		
live	active	1	singular	transliteration	ḫu-uš-mi 	ḫu-uš-šu-un 	ḫu-uš-ša-al-lu	#		needed for declension templates		
live	active	1	singular	latin	ḫušmi 	ḫušnun 	ḫuššallu	#		needed for declension templates		
live	active	2	singular	cuneiform	𒄷𒍑𒋾 	𒄷𒍑𒋫 	𒄷𒍑	#		needed for declension templates		
live	active	2	singular	transliteration	ḫu-uš-ti 	ḫu-uš-ta 	ḫu-uš	#		needed for declension templates		
live	active	2	singular	latin	ḫušti 	ḫušt 	ḫuš	#		needed for declension templates		
live	active	3	singular	cuneiform	𒄷𒍑𒍣 	𒄷𒍑𒋫 	𒄷𒍑𒁺	#		needed for declension templates		
live	active	3	singular	transliteration	ḫu-uš-zi 	ḫu-uš-ta 	ḫu-uš-du	#		needed for declension templates		
live	active	3	singular	latin	ḫušzi 	ḫušt 	ḫušdu	#		needed for declension templates		
live	active	1	plural	cuneiform	𒄷𒍑𒋗𒉿𒉌 	𒄷𒍑𒋗𒂗 	𒄷𒍑𒋗𒉿𒉌	#		needed for declension templates		
live	active	1	plural	transliteration	ḫu-uš-šu-wa-ni 	ḫu-uš-šu-en 	ḫu-uš-šu-wa-ni	#		needed for declension templates		
live	active	1	plural	latin	ḫuššuani 	ḫuššuen 	ḫuššuani	#		needed for declension templates		
live	active	2	plural	cuneiform	𒄷𒍑𒋫𒉌 	𒄷𒍑𒋼𒂗 	𒄷𒍑𒋼𒂗	#		needed for declension templates		
live	active	2	plural	transliteration	ḫu-uš-ta-ni 	ḫu-uš-te-en 	ḫu-uš-te-en	#		needed for declension templates		
live	active	2	plural	latin	ḫuštani 	ḫušten 	ḫušten	#		needed for declension templates		
live	active	3	plural	cuneiform	𒄷𒍑𒊭𒀭𒍣 	𒄷𒍑𒊺𒅕 	𒄷𒍑𒊭𒀭𒁺	#		needed for declension templates		
live	active	3	plural	transliteration	ḫu-uš-šan-zi 	ḫu-uš-še-er 	ḫu-uš-ša-an-du	#		needed for declension templates		
live	active	3	plural	latin	ḫuššanzi 	ḫuššer 	ḫuššandu	#		needed for declension templates		
heal	active	1	singular	cuneiform	𒈪𒉡𒈪 	𒈪𒉡𒌦 	𒈪𒉡𒀠𒇻	#		needed for declension templates		
heal	active	1	singular	transliteration	mi-nu-mi 	mi-nu-un 	mi-nu-al-lu	#		needed for declension templates		
heal	active	1	singular	latin	minumi 	minunun 	minuwallu	#		needed for declension templates		
heal	active	2	singular	cuneiform	𒈪𒉡𒅆 	𒈪𒉡𒋫 	𒈪𒉡	#		needed for declension templates		
heal	active	2	singular	transliteration	mi-nu-ši 	mi-nu-ut 	mi-nu	#		needed for declension templates		
heal	active	2	singular	latin	minuši 	minut 	minu	#		needed for declension templates		
heal	active	3	singular	cuneiform	𒈪𒉡𒊻𒍣 	𒈪𒉡𒋫 	𒈪𒉡𒁺	#		needed for declension templates		
heal	active	3	singular	transliteration	mi-nu-uz-zi 	mi-nu-ut 	mi-nu-ud-du	#		needed for declension templates		
heal	active	3	singular	latin	minuzzi 	minut 	minuddu	#		needed for declension templates		
heal	active	1	plural	cuneiform	𒈪𒉡𒈠𒉌 	𒈪𒉡𒈨𒂗 	𒈪𒉡𒈠𒉌	#		needed for declension templates		
heal	active	1	plural	transliteration	mi-nu-ma-ni 	mi-nu-me-en 	mi-nu-ma-ni	#		needed for declension templates		
heal	active	1	plural	latin	minumani 	minumen 	minumani	#		needed for declension templates		
heal	active	2	plural	cuneiform	𒈪𒉡𒋫𒉌 	𒈪𒉡𒋼𒂗 	𒈪𒉡𒋼𒂗	#		needed for declension templates		
heal	active	2	plural	transliteration	mi-nu-ut-ta-ni 	mi-nu-ut-te-en 	mi-nu-ut-te-en	#		needed for declension templates		
heal	active	2	plural	latin	minuttani 	minutten 	minutten	#		needed for declension templates		
heal	active	3	plural	cuneiform	𒈪𒉡𒀭𒍣 	𒈪𒉡𒅕 	𒈪𒉡𒀭𒁺	#		needed for declension templates		
heal	active	3	plural	transliteration	mi-nu-an-zi 	mi-nu-er 	mi-nu-an-du	#		needed for declension templates		
heal	active	3	plural	latin	minuwanzi 	minuer 	minuwandu	#		needed for declension templates		
heal	middle	1	singular	cuneiform	𒈪𒉡𒄴𒄩𒊑 	𒈪𒉡𒄴𒄩𒀜 	𒈪𒉡𒄴𒄩𒊒	#		needed for declension templates		
heal	middle	1	singular	transliteration	mi-nu-uḫ-ḫa-ri 	mi-nu-uḫ-ḫa-at 	mi-nu-uḫ-ḫa-ru	#		needed for declension templates		
heal	middle	1	singular	latin	minuḫḫari 	minuḫḫat 	minuḫḫaru	#		needed for declension templates		
heal	middle	2	singular	cuneiform	𒈪𒉡𒌓𒋫𒊑 	𒈪𒉡𒌓𒋫𒀜 	𒈪𒉡𒄴𒄷𒌓	#		needed for declension templates		
heal	middle	2	singular	transliteration	mi-nu-ut-ta-ri 	mi-nu-ut-ta-at 	mi-nu-ḫu-ut	#		needed for declension templates		
heal	middle	2	singular	latin	minuttari 	minutat 	minuḫḫut	#		needed for declension templates		
heal	middle	3	singular	cuneiform	𒈪𒉡𒀀𒊑, 𒈪𒉡𒌓𒋫𒊑 	𒈪𒉡𒌓𒋫𒀜 	𒈪𒉡𒀀𒊒, 𒈪𒉡𒌓𒋫𒊒	#		needed for declension templates		
heal	middle	3	singular	transliteration	mi-nu-a-ri, mi-nu-ut-ta-ri 	mi-nu-ut-ta-at 	mi-nu-a-ru, mi-nu-ut-ta-ru	#		needed for declension templates		
heal	middle	3	singular	latin	minuari, minuttari 	minutat 	minuwaru, minuttaru	#		needed for declension templates		
heal	middle	1	plural	cuneiform	𒈪𒉡𒈠𒀸𒋫 	𒈪𒉡𒈠𒀸𒋫𒀜 	𒈪𒉡𒈠𒀸𒋫𒀜	#		needed for declension templates		
heal	middle	1	plural	transliteration	mi-nu-ma-aš-ta 	mi-nu-ma-aš-ta-at 	mi-nu-ma-aš-ta-at	#		needed for declension templates		
heal	middle	1	plural	latin	minumašta 	minumaštat 	minumaštat	#		needed for declension templates		
heal	middle	2	plural	cuneiform	𒈪𒉡𒌓𒁺𒈠 	𒈪𒉡𒌓𒁺𒈠𒀜 	𒈪𒉡𒌓𒌅𒈠𒀜	#		needed for declension templates		
heal	middle	2	plural	transliteration	mi-nu-ud-du-ma 	mi-nu-ud-du-ma-at 	mi-nu-tu-ma-at	#		needed for declension templates		
heal	middle	2	plural	latin	minudduma 	minudumat 	minuttumat	#		needed for declension templates		
heal	middle	3	plural	cuneiform	𒈪𒉡𒀭𒋫𒊑 	𒈪𒉡𒀭𒋫𒀜 	𒈪𒉡𒀭𒋫𒊒	#		needed for declension templates		
heal	middle	3	plural	transliteration	mi-nu-an-ta-ri 	mi-nu-an-ta-at 	mi-nu-an-ta-ru 	#		needed for declension templates		
heal	middle	3	plural	latin	minuanttari 	minuantat 	minuantaru	#		needed for declension templates		
push	active	1	singular	cuneiform	𒁉𒌍𒅆𒂊𒈪 	𒁉𒌍𒅆𒂗𒌦 	𒁉𒌍𒅆𒀠𒇻	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	1	singular	transliteration	pé-eš-ši-e-mi 	pé-eš-ši-en-un 	pé-eš-ši-ya-al-lu	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	1	singular	latin	peššiemi 	peššienun 	peššiyallu 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	2	singular	cuneiform	𒁉𒌍𒅆𒂊𒌋𒀀𒉌 	𒁉𒌍𒅆𒂊𒌋𒂗 	𒁉𒌍𒅆𒂊𒌋𒀀𒉌	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	2	singular	transliteration	pé-eš-ši-e-u-a-ni 	pé-eš-ši-e-u-en 	pé-eš-ši-e-u-a-ni	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	2	singular	latin	peššiyeweni 	peššiyewen 	peššiyeweni 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	3	singular	cuneiform	𒁉𒌍𒅆𒂊𒅆 	𒁉𒌍𒅆𒌍 	𒁉𒌍𒅆𒂊	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	3	singular	transliteration	pé-eš-ši-e-ši 	pé-eš-ši-eš 	pé-eš-ši-e	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	3	singular	latin	peššieši 	peššieš 	peššie(t) 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	1	plural	cuneiform	𒁉𒌍𒅆𒀉𒋫𒉌 	𒁉𒌍𒅆𒀉𒋼𒂗 	𒁉𒌍𒅆𒀉𒋼𒂗	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	1	plural	transliteration	pé-eš-ši-et-ta-ni 	pé-eš-ši-et-te-en 	pé-eš-ši-et-te-en	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	1	plural	latin	peššiettani 	peššietten 	peššietten 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	2	plural	cuneiform	𒁉𒌍𒅆𒄑𒍣 	𒁉𒌍𒅆𒀉 	𒁉𒌍𒅆𒀉𒁺	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	2	plural	transliteration	pé-eš-ši-ez-zi 	pé-eš-ši-et 	pé-eš-ši-ed-du	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	2	plural	latin	peššiezzi 	peššiet 	peššieddu 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	3	plural	cuneiform	𒁉𒌍𒅆𒅀𒀭𒍣 	𒁉𒌍𒅆𒂊𒅕 	𒁉𒌍𒅆𒅀𒀭𒁺	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	3	plural	transliteration	pé-eš-ši-ya-an-zi 	pé-eš-ši-e-er 	pé-eš-ši-ya-an-du 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	active	3	plural	latin	peššiyanzi 	peššiēr 	peššiyandu 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	1	singular	cuneiform	𒁉𒌍𒅆𒅀𒄴𒄩𒊑 	𒁉𒌍𒅆𒅀𒄴𒄩𒀜 	𒁉𒌍𒅆𒅀𒄴𒄩𒊒	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	1	singular	transliteration	pé-eš-ši-ya-aḫ-ḫa-ri 	pé-eš-ši-ya-aḫ-ḫa-at 	pé-eš-ši-ya-aḫ-ḫa-ru	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	1	singular	latin	peššiyaḫḫari 	peššiyaḫḫat 	peššiyaḫḫaru 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	2	singular	cuneiform	𒁉𒌍𒅆𒅀𒀀𒌋𒉿𒀸𒋫 	𒁉𒌍𒅆𒅀𒀀𒌋𒉿𒀸𒋫𒀜 	𒁉𒌍𒅆𒅀𒀀𒌋𒉿𒀸𒋫𒀜	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	2	singular	transliteration	pé-eš-ši-ya-u-wa-aš-ta 	pé-eš-ši-ya-u-wa-aš-ta-at 	pé-eš-ši-ya-u-wa-aš-ta-at	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	2	singular	latin	peššiettari 	peššiettat 	peššiyaḫḫut 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	3	singular	cuneiform	𒁉𒌍𒅆𒅀𒀜𒋫𒊑 	𒁉𒌍𒅆𒀉𒋫𒀜 	𒁉𒌍𒅆𒅀𒄴𒄷𒌓	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	3	singular	transliteration	pé-eš-ši-ya-at-ta-ri 	pé-eš-ši-et-ta-at 	pé-eš-ši-ya-aḫ-ḫu-ut	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	3	singular	latin	peššiyari, peššiettari 	peššiettat 	peššiyaru, peššiettaru 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	1	plural	cuneiform	𒁉𒌍𒅆𒅀𒀜𒁺𒈠 	𒁉𒌍𒅆𒀉𒁺𒈠𒀜 	𒁉𒌍𒅆𒀉𒌅𒈠𒀜	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	1	plural	transliteration	pé-eš-ši-ya-ad-du-ma 	pé-eš-ši-ed-du-ma-at 	pé-eš-ši-et-tu-ma-at	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	1	plural	latin	peššiyawašta 	peššiyawaštat 	peššiyawaštat 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	2	plural	cuneiform	𒁉𒌍𒅆𒅀𒀀𒊑, 𒁉𒌍𒅆𒀉𒋫𒊑 	𒁉𒌍𒅆𒀉𒋫𒀜 	𒁉𒌍𒅆𒅀𒀀𒊒, 𒁉𒌍𒅆𒀉𒋫𒊒	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	2	plural	transliteration	pé-eš-ši-ya-ri, pé-eš-ši-et-ta-ri 	pé-eš-ši-et-ta-at 	pé-eš-ši-ya-ru, pé-eš-ši-et-ta-ru	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	2	plural	latin	peššiyadduma 	peššieddumat 	peššiettumat 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	3	plural	cuneiform	𒁉𒌍𒅆𒅀𒀭𒋫𒊑 	𒁉𒌍𒅆𒅀𒀭𒋫𒀜 	𒁉𒌍𒅆𒅀𒀭𒋫𒊒	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	3	plural	transliteration	pé-eš-ši-ya-an-ta-ri 	pé-eš-ši-ya-an-ta-at 	pé-eš-ši-ya-an-ta-ru 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
push	middle	3	plural	latin	peššiyantari 	peššiyantat 	peššiyantaru 	#	"meaning is closer to ""shove"" or ""throw"""	needed for declension templates		
hold	active	1	singular	cuneiform	𒂊𒅁𒈪 	𒂊𒅁𒁍𒌦 	𒀊𒉺𒀠𒇻	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	1	singular	transliteration	e-ep-mi 	e-ep-pu-un 	ap-pa-al-lu	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	1	singular	latin	ēppmi 	ēppun 	appallu 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	2	singular	cuneiform	𒂊𒅁𒅆 	𒂊𒅁𒋫 	𒂊𒅁	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	2	singular	transliteration	e-ep-ši 	e-ep-ta 	e-ep	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	2	singular	latin	ēppši 	ēppt 	ēpp 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	3	singular	cuneiform	𒂊𒅁𒍣 	𒂊𒅁𒋫 	𒂊𒅁𒁺	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	3	singular	transliteration	e-ep-zi 	e-ep-ta 	e-ep-du	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	3	singular	latin	ēppzi 	ēppt 	ēppdu 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	1	plural	cuneiform	𒀊𒁍𒂊𒉌 	𒂊𒅁𒁍𒂗 	𒀊𒁍𒂊𒉌	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	1	plural	transliteration	ap-pu-e-ni 	e-ep-pu-en 	ap-pu-e-ni	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	1	plural	latin	appueni 	ēppuen 	appueni 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	2	plural	cuneiform	𒀊𒋼𒉌 	𒂊𒅁𒋼𒂗 	𒂊𒅁𒋼𒂗	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	2	plural	transliteration	ap-te-ni 	e-ep-te-en 	e-ep-te-en	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	2	plural	latin	appteni 	ēppten 	ēppten 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	3	plural	cuneiform	𒀊𒉺𒀭𒍣 	𒂊𒅁pe𒅕 	𒀊𒉺𒀭𒁺	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	3	plural	transliteration	ap-pa-an-zi 	e-ep-pe-er 	ap-pa-an-du 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	active	3	plural	latin	appanzi 	ēpper 	appandu 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	1	singular	cuneiform	𒀊𒄩𒊑 	𒀊𒄩𒀜 	𒀊𒄩𒊒	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	1	singular	transliteration	ap-ḫa-ri 	ap-ḫa-at 	ap-ḫa-ru	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	1	singular	latin	appḫari 	appḫat 	appaḫḫaru 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	2	singular	cuneiform	𒀊𒋫𒊑 	𒀊𒋫𒀜 	𒀊𒄷𒌓	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	2	singular	transliteration	ap-ta-ri 	ap-ta-at 	ap-ḫu-ut	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	2	singular	latin	apptari 	apptat 	appḫut 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	3	singular	cuneiform	𒀊𒉺𒊑, 𒀊𒋫𒊑 	𒀊𒋫𒀜 	𒀊𒉺𒊒, 𒀊𒋫𒊒	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	3	singular	transliteration	ap-pa-ri, ap-ta-ri 	ap-ta-at 	ap-pa-ru, ap-ta-ru	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	3	singular	latin	appari, apptari 	apptat 	apparu, apptaru 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	1	plural	cuneiform	𒀊𒁍𒉿𒀸𒋫 	𒀊𒁍𒉿𒀸𒋫𒀜 	𒀊𒁍𒉿𒀸𒋫𒀜	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	1	plural	transliteration	ap-pu-wa-aš-ta 	ap-pu-wa-aš-ta-at 	ap-pu-wa-aš-ta-at	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	1	plural	latin	appuašta 	appuaštat 	appuaštat 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	2	plural	cuneiform	𒀊𒁺𒈠 	𒀊𒁺𒈠𒀜 	𒀊𒌅𒈠𒀜	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	2	plural	transliteration	ap-du-ma 	ap-du-ma-at 	ap-tu-ma-at	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	2	plural	latin	appduma 	appdumat 	apptumat 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	3	plural	cuneiform	𒀊𒉺𒀭𒋫𒊑 	𒀊𒉺𒀭𒋫𒀜 	𒀀𒀭𒋫𒊒	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	3	plural	transliteration	ap-pa-an-ta-ri 	ap-pa-an-ta-at 	ap-pa-an-ta-ru 	#	"meaning is closer to ""sieze"" or ""take"""			
hold	middle	3	plural	latin	appantari 	appantat 	appantaru 	#	"meaning is closer to ""sieze"" or ""take"""			
find	active	1	singular	cuneiform	𒌑𒂊𒈪𒅀𒈪 	𒌑𒂊𒈪𒅀𒀭𒌦 	𒌑𒂊𒈪𒅀𒀠𒇻	#				
find	active	1	singular	transliteration	ú-e-mi-ya-mi 	ú-e-mi-ya-an-un 	ú-e-mi-ya-al-lu	#				
find	active	1	singular	latin	wemiyami 	wemiyanun 	wemiyallu 	#				
find	active	2	singular	cuneiform	𒌑𒂊𒈪𒅀𒅆 	𒌑𒂊𒈪𒌍 	𒌑𒂊𒈪𒅀	#				
find	active	2	singular	transliteration	ú-e-mi-ya-ši 	ú-e-mi-eš 	ú-e-mi-ya	#				
find	active	2	singular	latin	wemiaši 	wemieš 	wemiya(t) 	#				
find	active	3	singular	cuneiform	𒌑𒂊𒈪𒄑𒍣 	𒌑𒂊𒈪𒀉 	𒌑𒂊𒈪𒅀𒀜𒁺	#				
find	active	3	singular	transliteration	ú-e-mi-ez-zi 	ú-e-mi-et 	ú-e-mi-ya-ad-du	#				
find	active	3	singular	latin	wemiezzi 	wemiet 	wemiyaddu 	#				
find	active	1	plural	cuneiform	𒌑𒂊𒈪𒅀𒌋𒂊𒉌 	𒌑𒂊𒈪𒅀𒌋𒂗 	𒌑𒂊𒈪𒅀𒌋𒂊𒉌	#				
find	active	1	plural	transliteration	ú-e-mi-ya-u-e-ni 	ú-e-mi-ya-u-en 	ú-e-mi-ya-u-e-ni	#				
find	active	1	plural	latin	wemiyaweni 	wemiyawen 	wemiyaweni 	#				
find	active	2	plural	cuneiform	𒌑𒂊𒈪𒀉𒋫𒉌 	𒌑𒂊𒈪𒀉𒋼𒂗 	𒌑𒂊𒈪𒀉𒋼𒂗	#				
find	active	2	plural	transliteration	ú-e-mi-et-ta-ni 	ú-e-mi-et-te-en 	ú-e-mi-et-te-en	#				
find	active	2	plural	latin	wemiyetteni 	wemiyetten 	wemiyetten 	#				
find	active	3	plural	cuneiform	𒌑𒂊𒈪𒅀𒀭𒍣 	𒌑𒂊𒈪𒂊𒅕 	𒌑𒂊𒈪𒅀𒀭𒁺	#				
find	active	3	plural	transliteration	ú-e-mi-ya-an-zi 	ú-e-mi-e-er 	ú-e-mi-ya-an-du 	#				
find	active	3	plural	latin	wemiyanzi 	wemiēr 	wemiyandu 	#				
find	middle	1	singular	cuneiform	𒌑𒂊𒈪𒅀𒄴𒄩𒊑 	𒌑𒂊𒈪𒅀𒄴𒄩𒀜 	𒌑𒂊𒈪𒅀𒄴𒄩𒊒	#				
find	middle	1	singular	transliteration	ú-e-mi-ya-aḫ-ḫa-ri 	ú-e-mi-ya-aḫ-ḫa-at 	ú-e-mi-ya-aḫ-ḫa-ru	#				
find	middle	1	singular	latin	wemiyaḫḫari 	wemiyaḫḫat 	wemiyaḫḫaru 	#				
find	middle	2	singular	cuneiform	𒌑𒂊𒈪𒅀𒀜𒋫𒊑 	𒌑𒂊𒈪𒅀𒀜𒋫𒀜 	𒌑𒂊𒈪𒅀𒄴𒄷𒌓	#				
find	middle	2	singular	transliteration	ú-e-mi-ya-at-ta-ri 	ú-e-mi-ya-at-ta-at 	ú-e-mi-ya-aḫ-ḫu-ut	#				
find	middle	2	singular	latin	wemiyattari 	wemiyattat 	wemiyaḫḫut 	#				
find	middle	3	singular	cuneiform	𒌑𒂊𒈪𒅀𒀀𒊑, 𒌑𒂊𒈪𒅀𒀜𒋫𒊑 	𒌑𒂊𒈪𒅀𒀜𒋫𒀜 	𒌑𒂊𒈪𒅀𒀀𒊒, 𒌑𒂊𒈪𒅀𒀜𒋫𒊒	#				
find	middle	3	singular	transliteration	ú-e-mi-ya-a-ri, ú-e-mi-ya-at-ta-ri 	ú-e-mi-ya-at-ta-at 	ú-e-mi-ya-a-ru, ú-e-mi-ya-at-ta-ru	#				
find	middle	3	singular	latin	wemiyari, wemiyattari 	wemiyattat 	wemiyaru, wemiyattaru 	#				
find	middle	1	plural	cuneiform	𒌑𒂊𒈪𒅀𒀀𒌋𒉿𒀸𒋫 	𒌑𒂊𒈪𒅀𒀀𒌋𒉿𒀸𒋫𒀜 	𒌑𒂊𒈪𒅀𒀀𒌋𒉿𒀸𒋫𒀜	#				
find	middle	1	plural	transliteration	ú-e-mi-ya-a-u-wa-aš-ta 	ú-e-mi-ya-a-u-wa-aš-ta-at 	ú-e-mi-ya-a-u-wa-aš-ta-at	#				
find	middle	1	plural	latin	wemiyawašta 	wemiyawaštat 	wemiyawaštat 	#				
find	middle	2	plural	cuneiform	𒌑𒂊𒈪𒅀𒀜𒁺𒈠 	𒌑𒂊𒈪𒅀𒀜𒁺𒈠𒀜 	𒌑𒂊𒈪𒅀𒀜𒌅𒈠𒀜	#				
find	middle	2	plural	transliteration	ú-e-mi-ya-ad-du-ma 	ú-e-mi-ya-ad-du-ma-at 	ú-e-mi-ya-at-tu-ma-at	#				
find	middle	2	plural	latin	wemiyadduma 	wemiyaddumat 	wemiyattumat 	#				
find	middle	3	plural	cuneiform	𒌑𒂊𒈪𒅀𒀭𒋫𒊑 	𒌑𒂊𒈪𒅀𒀭𒋫𒀜 	𒌑𒂊𒈪𒅀𒀭𒋫𒊒	#				
find	middle	3	plural	transliteration	ú-e-mi-ya-an-ta-ri 	ú-e-mi-ya-an-ta-at 	ú-e-mi-ya-an-ta-ru 	#				
find	middle	3	plural	latin	wemiyantari 	wemiyantat 	wemiyantaru 	#				
hit	active	1	singular	cuneiform	𒉿𒀠𒄴𒈪 	𒉿𒀠𒄷𒌦 	𒉿𒀠𒄩𒀠𒇻	#				
hit	active	1	singular	transliteration	wa-al-aḫ-mi 	wa-al-ḫu-un 	wa-al-ḫa-al-lu	#				
hit	active	1	singular	latin	walaḫmi 	walḫun 	walḫallu 	#				
hit	active	2	singular	cuneiform	𒉿𒀠𒄴𒅆 	𒉿𒀠𒄴𒋫 	𒉿𒀠𒄴	#				
hit	active	2	singular	transliteration	wa-al-aḫ-ši 	wa-al-aḫ-ta 	wa-al-aḫ	#				
hit	active	2	singular	latin	walaḫši 	walaḫt 	walaḫ 	#				
hit	active	3	singular	cuneiform	𒉿𒀠𒄴𒍣 	𒉿𒀠𒄴𒋫 	𒉿𒀠𒄴𒁺	#				
hit	active	3	singular	transliteration	wa-al-aḫ-zi 	wa-al-aḫ-ta 	wa-al-aḫ-du	#				
hit	active	3	singular	latin	walaḫzi 	walaḫt 	walaḫdu 	#				
hit	active	1	plural	cuneiform	𒉿𒀠𒄷𒂊𒉌 	𒉿𒀠𒄷𒂗 	𒉿𒀠𒄷𒂊𒉌	#				
hit	active	1	plural	transliteration	wa-al-ḫu-e-ni 	wa-al-ḫu-en 	wa-al-ḫu-e-ni	#				
hit	active	1	plural	latin	walḫueni 	walḫuen 	walḫueni 	#				
hit	active	2	plural	cuneiform	𒉿𒀠𒄴𒋼𒉌 	𒉿𒀠𒄴𒋼𒂗 	𒉿𒀠𒄴𒋼𒂗	#				
hit	active	2	plural	transliteration	wa-al-aḫ-te-ni 	wa-al-aḫ-te-en 	wa-al-aḫ-te-en	#				
hit	active	2	plural	latin	walaḫteni 	walaḫten 	walaḫten 	#				
hit	active	3	plural	cuneiform	𒉿𒀠𒄩𒀭𒍣 	𒉿𒀠𒄭𒅕 	𒉿𒀠𒄩𒀭𒁺	#				
