#swadesh 207 id	part-of-speech	English	Standard Arabic	Standard Arabic IPA	Modern Hebrew	Modern Hebrew IPA	Akkadian	Old Egyptian	Middle Egyptian	Late Egyptian
149	noun	star	نَجْم‎ (najm), كَوْكَب‎ (kawkab)	/nad͡ʒm/, /kaw.kab/	כוכב‎ 	/koˈχav/	kakkabu	sbꜣ	sbꜣ	sbꜣ
150	noun	water	مَاء‎ (māʾ)	/maːʔ/	מים‎ 	/ˈmaim/	mû	mw	mw	mw
151	noun	rain	مَطَر‎ (maṭar)	/ma.tˤar/	גשם‎ 	/ˈɡeʃem/	zunnu	ḥwt	ḥwt	ḥwt
152	noun	river	نَهْر‎ (nahr), نَهَر‎ (nahar)	/nahr/, /na.har/	נהר‎ 	/naˈhaʁ/	nāru	jtrw	jtrw	jtrw
153	noun	lake	بُحَيْرَة‎ (buḥayra)	/bu.ħaj.ra/	אגם‎ 	/aˈɡam/	tāmtu	š, ḥnt	š, ḥnt	š, ḥnt
154	noun	sea	بَحْر‎ (baḥr), يَمّ‎ (yamm)	/baħr/, /jamm/	ים‎ 	/ˈjam/	tâmtu	wꜣḏ-wr	wꜣḏ-wr	wꜣḏ-wr
155	noun	salt	مِلْح‎ (milḥ)	/milħ/	מלח‎ 	/ˈmelaχ/	𒁵 (ṭabtu)	ḥmꜣt	ḥmꜣt	ḥmꜣt
156	noun	stone	حَجَر‎ (ḥajar)	/ħa.d͡ʒar/	אבן‎ 	/ˈeven/	abnu	jnr	jnr	jnr
157	noun	sand	رَمْل‎ (raml)	/raml/	חול‎ 	/ˈχol/	bāṣu	šꜥy	šꜥy	šꜥy
158	noun	dust	غُبَار‎ (ḡubār)	/ɣu.baːr/	אבק‎ 	/aˈvak/	eperu	ḫmw	ḫmw	ḫmw
159	noun	earth	أَرْض‎ (ʾarḍ)	/ʔardˤ/	אדמה‎ 	/adaˈma/	erṣetu	tꜣ	tꜣ	tꜣ
160	noun	cloud	سَحَابَة‎ (saḥāba), غَيْمَة‎ (ḡayma), غَمَامَة‎ (ḡamāma), عَنَانَة‎ (ʿanāna)	/sa.ħaː.ba/, /ɣaj.ma/, /ɣa.maː.ma/, /ʕa.naː.na/	ענן‎ 	/aˈnan/	erpetu	sṯzw, gp	sṯzw, gp	sṯzw, gp
161	noun	fog	ضَبَاب‎ (ḍabāb)	/dˤa.baːb/	ערפל‎ 	/aʁaˈfel/	imbāru	sjm	sjm	sjm
162	noun	sky	سَمَاء‎ (samāʾ)	/sa.maːʔ/	שמים‎ 	/ʃaˈmaim/	šamû	pt	pt	pt
163	noun	wind	رِيح‎ (rīḥ)	/riːħ/	רוח‎ 	/ˈʁuaχ/	šāru	ṯꜣw	ṯꜣw	ṯꜣw
164	noun	snow	ثَلْج‎ (ṯalj)	/θald͡ʒ/	שלג‎ 	/ˈʃeleɡ/	šalgu	—	—	sꜣrꜣqw
165	noun	ice	جَلِيد‎ (jalīd)	/d͡ʒa.liːd/	קרח‎ 	/ˈkeʁaχ/		—	—	—
166	noun	smoke	دُخَان‎ (duḵān), دُخَّان‎ (duḵḵān)	/du.xaːn/, /dux.xaːn/	עשן‎ 	/aˈʃan/	qutru	ḥtj	ḥtj	ḥtj
167	noun	fire	نَارَ‎ (nāra)	/naːr/	אש‎ 	/ˈeʃ/	išātu	sḏt, ḫt	sḏt, ḫt	sḏt, ḫt
168	noun	ash	رَمَاد‎ (ramād)	/ra.maːd/	אפר‎ 	/ˈefeʁ/	didallu, ṭikmēnu	ssf, later sfsf	ssf, later sfsf	ssf, later sfsf
169	verb	to burn	حَرَقَ‎ (ḥaraqa)	/ħa.ra.qa/	שרף‎ 	/saˈʁaf/	napāxu	ḏꜣf, rkḥ, mꜣẖ	ḏꜣf, rkḥ, mꜣẖ	ḏꜣf, rkḥ, mꜣẖ
170	noun	road	طَرِيق‎ (ṭarīq)	/tˤa.riːq/	דרך‎ 	/ˈdeʁeχ/	xūlu	wꜣt	wꜣt	wꜣt
171	noun	mountain	جَبَل‎ (jabal)	/d͡ʒa.bal/	הר‎ 	/ˈhaʁ/	šadû	ḏw	ḏw	ḏw
172	adjective	red	أَحْمَر‎ (ʾaḥmar), حَمْرَاء‎ (ḥamrāʾ)	/ʔaħ.mar/, /ħam.raːʔ/	אדום‎ 	/aˈdom/	ruššû, pēlu	dšr (including pink, orange, brown)	dšr (including pink, orange, brown)	dšr (including pink, orange, brown)
173	adjective	green	أَخْضَر‎ (ʾaḵḍar), خَضْرَاء‎ (ḵaḍrāʾ)	/ʔax.dˤar/, /xadˤ.raːʔ/	ירוק‎ 	/jaˈʁok/	warqu	wꜣḏ (including blue)	wꜣḏ (including blue)	wꜣḏ (including blue)
174	adjective	yellow	أَصْفَر‎ (ʾaṣfar), صَفْرَاء‎ (ṣafrāʾ)	/ʔasˤ.far/, /sˤaf.raːʔ/	צהוב‎ 	/t͡saˈhov/	warqu	qnjt	qnjt	qnjt
175	adjective	white	أَبْيَض‎ (ʾabyaḍ), بَيْضَاء‎ (bayḍāʾ)	/ʔab.jadˤ/, /baj.dˤaːʔ/	לבן‎ 	/laˈvan/	peṣû	ḥḏ	ḥḏ	ḥḏ
176	adjective	black	أَسْوَد‎ (ʾaswad), سَوْدَاء‎ (sawdāʾ)	/ʔas.wad/, /saw.daːʔ/	שחור‎ 	/ʃaˈχoʁ/	ṣalmu	km	km	km
177	noun	night	لَيْل‎ (layl)	/lajl/	לילה‎ 	/ˈlajla/	mūšu	grḥ	grḥ	grḥ
178	noun	day	يَوْم‎ (yawm)	/jawm/	יום‎ 	/ˈjom/	ūmu	hrw	hrw	hrw
179	noun	year	سَنَة‎ (sana), عَام‎ (ʿām)	/sa.na/, /ʕaːm/	שנה‎ 	/ʃaˈna/	šattu	rnpt	rnpt	rnpt
180	adjective	warm	دَافِئ‎ (dāfiʾ)	/daː.fiʔ/	חם‎ 	/ˈχam/	šaḫnu	šm	šm	šm
181	adjective	cold	بَارِد‎ (bārid)	/baː.rid/	קר‎ 	/ˈkaʁ/	kaṣû	qb	qb	qb
182	adjective	full	مُمْتَلِئ‎ (mumtaliʾ)	/mum.ta.liʔ/	מלא‎ 	/maˈle/	malû	mḥ	mḥ	mḥ
183	adjective	new	جَدِيد‎ (jadīd), حَدِيث‎ (ḥadīṯ)	/d͡ʒa.diːd/, /ħa.diːθ/	חדש‎ 	/χaˈdaʃ/	𒉋 (eššu)	mꜣw	mꜣw	mꜣw
184	adjective	old	قَدِيم‎ (qadīm), عَتِيق‎ (ʿatīq)	/qa.diːm/, /ʕa.tiːq/	ישן‎ 	/jaˈʃan/	labru, 𒋗𒄄 (šību)	jꜣw	jꜣw	jꜣw
185	adjective	good	طَيِّب‎ (ṭayyib)	/tˤaj.jib/	טוב‎ 	/ˈtov/	𒄭 (ṭābu)	nfr	nfr	nfr
186	adjective	bad	سَيِّئ‎ (sayyiʾ)	/saj.jiʔ/	רע‎ 	/ˈʁa/	𒅆𒌨 (lemnu)	bjn	bjn	bjn
187	adjective	rotten	مُتَعَفِّن‎ (mutaʿaffin)	/mu.ta.ʕaf.fin/	רקוב‎ 	/ʁaˈkuv/	𒅆𒌨𒁶 (masku)	ḥwꜣ	ḥwꜣ	ḥwꜣ
188	adjective	dirty	قَذِر‎ (qaḏir), وَسِخ‎ (wasiḵ)	/qa.ðir/, /wa.six/	מלוכלך‎ 	/meluχˈlaχ/	𒈬𒁍 ((w)aršu)	ꜥb	ꜥb	ꜥb
189	adjective	straight	مُسْتَقِيم‎ (mustaqīm)	/mus.ta.qiːm/	ישר‎ 	/jaˈʃaʁ/	ešru	ꜥqꜣ	ꜥqꜣ	ꜥqꜣ
190	adjective	round	مُسْتَدِير‎ (mustadīr)	/mus.ta.diːr/	עגול‎ 	/aˈɡol/	kippatu	dbn, šn	dbn, šn	dbn, šn
191	adjective	sharp	حَادّ‎ (ḥādd)	/ħaːdd/	חד‎ 	/ˈχad/	šēlu	spd	spd	spd
192	adjective	dull	ثَلِم‎ (ṯalim), كَلِيل‎ (kalīl)	/θa.mil/, /ka.liːl/	קהה‎ 	/keˈhe/		nẖs	nẖs	nẖs
193	adjective	smooth	نَاعِم‎ (nāʿim)	/naː.ʕim/	חלק‎ 	/χaˈlak/		nꜥꜥ	nꜥꜥ	nꜥꜥ
194	adjective	wet	رَطْب‎ (raṭb)	/ratˤb/	רטוב‎ 	/ʁaˈtuv/	raṭbu	bꜣ	bꜣ	bꜣ
195	adjective	dry	جَافّ‎ (jāff), يَابِس‎ (yābis)	/d͡ʒaːff/, /jaː.bis/	יבש‎ 	/jaˈveʃ/	ablu	šw	šw	šw
196	adjective	correct	صَحِيح‎ (ṣaḥīḥ)	/sˤa.ħiːħ/	נכון‎ 	/naˈχon/	damqu	ꜥqꜣ, mꜣꜥ, mtj	ꜥqꜣ, mꜣꜥ, mtj	ꜥqꜣ, mꜣꜥ, mtj
197	adjective	near	قَرِيب‎ (qarīb)	/qa.riːb/	קרוב‎ 	/kaˈʁov/	𒋼 (ṭexû)	tkn	tkn	tkn
198	adjective	far	بَعِيد‎ (baʿīd)	/ba.ʕiːd/	רחוק‎ 	/ʁaˈχok/	nešû	wꜣ, ḥr	wꜣ, ḥr	wꜣ, ḥr
199	adjective	right	يَمِين‎ (yamīn)	/ja.miːn/	ימין‎ 	/jaˈmin/	𒍠 (imittu)	wnmj, jmn	wnmj, jmn	wnmj, jmn
200	adjective	left	شِمَال‎ (šimāl), يَسَار‎ (yasār)	/ʃi.maːl/, /ja.saːr/	שמאל‎ 	/ˈsmol/	𒆏𒁍 (šumēlu)	smḥj, jꜣbj	smḥj, jꜣbj	smḥj, jꜣbj
201	preposition	at	عِنْدَ‎ (ʿinda)	/ʕin.da/	ב־‎, אצל‎ 	/ˈbe-/, /et͡sel/		ḥr, m	ḥr, m	ḥr, m
202	preposition	in	فِي‎ (fī), بِ‎ (bi)	/fiː/, /bi/	ב־‎, בתוך‎ 	/be-/, /beˈtoχ/	ina	m	m	m
203	preposition	with	مَعَ‎ (maʿa), بِ‎ (bi)	/ma.ʕa/, /bi/	עם‎ 	/ˈim/		ḥnꜥ, ḫr	ḥnꜥ, ḫr	ḥnꜥ, ḫr, jrm
204	preposition	and	وَ‎ (wa)	/wa/	ו־‎ 	/ve-/	u	—	—	—
205	preposition	if	لَوْ‎ (law), إِذَا‎ (ʾiḏā), إِنْ‎ (ʾin)	/law/, /ʔi.ðaː/, /ʔin/	אם‎ 	/ˈim/	šumma	jr	jr	jr
206	preposition	because	لِأَنَّ‎ (liʾanna), بِسَبَبِ‎ (bisababi), حَيْثُ‎ (ḥayṯu)	/li.ʔan.na/, /bi.sa.ba.bi/, /ħaj.θu/	כי‎, בגלל‎ 	/ˈki/, /biˈɡlal/	aššum	ḏr ntt, n ntt, ḥr ntt	ḏr ntt, n ntt, ḥr ntt	ḏr ntt, n ntt, ḥr ntt
207	noun	name	اِسْم‎ (ism)	/ism/	שם‎ 	/ˈʃem/ 	𒈬 (šumu) 	rn 	rn 	rn 
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
