#swadesh 207 id	part-of-speech	English	Proto-Slavic	Old Church Slavonic	Czech	Polish	Slovak	Lower Sorbian	Upper Sorbian	Bulgarian	Macedonian	Serbo-Croatian	Slovene	Belarusian	Russian	Rusyn	Ukranian
59	noun	flower	*květъ	цвѣтъ (cvětŭ)	květ	kwiat	kvet	kwětk	kwětka	цвете (cvete)	цвет (cvet)	cvet, cvijet	roža, cvet	кве́тка (kvjétka)	цвето́к (cvetók)	квітка (kvitka)	кві́тка (kvítka)
60	noun	grass	*trava	трава (trava)	tráva	trawa	tráva	tšawa	trawa	трева (treva)	трева (treva)	trava	trava	трава́ (travá)	трава́ (travá)	трава (trava)	трава (trava)
61	noun	rope	*(v)ǫže, *povorzъ	вьрвь (vĭrvĭ)	lano, provaz, šňůra	sznur, lina, powróz	lano, povraz	powrjoz	powjaz	въже (vǎže)	јаже (jaže), коноп (konop)	konopac, uže, špaga	vrv	вяро́ўка (vjaróŭka), шнур (šnur)	верёвка (verjóvka), бечёвка (bečóvka)	шпарґа (šparga), шнура (šnura)	вірьо́вка (virʹóvka), моту́зка (motúzka)
62	noun	skin	*koža	кожа (koža)	kůže	skóra	koža	kóža	koža	кожа (koža)	кожа (koža)	koža	koža	ску́ра (skúra)	ко́жа (kóža), шку́ра (škúra)	скора (skora)	шкі́ра (škíra)
63	noun	meat	*męso	мѧсо (męso)	maso	mięso	mäso	měso	mjaso	месо (meso)	месо (meso)	meso	meso	мя́са (mjása)	мя́со (mjáso)	мясо (mjaso), мнясо (mnjaso)	м'я́со (mʺjáso)
64	noun	blood	*kry	крꙑ (kry), руда (ruda)	krev	krew	krv	kšej	krej	кръв (krǎv)	крв (krv)	krv	kri	кроў (kroŭ)	кровь (krovʹ)	кров (krov)	кров (krov)
65	noun	bone	*kostь	кость (kostĭ)	kost	kość	kosť	kósć	kósć	кокал (kokal), кост (kost)	коска (koska)	kost	kost	косць (koscʹ)	кость (kostʹ)	кість (kistʹ), кістка (kistka)	кі́стка (kístka)
66	noun	fat	*sadlo, *skormъ, *tukъ, *tъlščь	тоукъ (tukŭ)	tuk, sádlo, maz	tłuszcz, sadło	tuk	tucne	tuk	мазнина (maznina), тлъстина (tlǎstina), мас (mas), лой (loj)	маст (mast), сало (salo)	mast, salo	maščoba	тлушч (tlušč)	жир (žir)	жыр (žŷr), смар (smar)	жир (žyr)
67	noun	egg	*(j)aje, *(j)ajьce	аицє (aice)	vejce	jajko, jajo	vajce	jajo	jejo	яйце (jajce)	јајце (jajce)	jaje	jajce	я́йка (jájka)	яйцо́ (jajcó)	яйце (jajce)	яйце́ (jajcé)
68	noun	horn	*rogъ	рогъ (rogŭ)	roh	róg	roh	rog	róh	рог (rog)	рог (rog)	rog	rog	рог (roh)	рог (rog)	ріг (rih)	ріг (rih)
69	noun	tail	*xvostъ	опашъ (opašŭ), хвостъ (xvostŭ)	ocas, ohon, chvost	ogon	chvost	wogon	wopuš	опашка (opaška)	опашка (opaška)	rep	rep	хвост (xvost)	хвост (xvost)	хвіст (xvist)	хвіст (xvist)
70	noun	feather	*pero	перїе (perie)	pero	pióro	pero	pjero	pjerjo	перо (pero)	пердув (perduv)	pero	pero	пяро́ (pjaró)	перо́ (peró)	перо (pero)	перо́ (peró)
