#swadesh 207 id	part-of-speech	English	Proto-Italic	Latin	Latin IPA	Vulgar Latin	French	French IPA	Spanish 	Portuguese 	Italian	Romanian
161	noun	fog	*neβelā	caligo, nebula, tenebrae	kaː.ˈlʲiː.ɡoː, ˈnɛ.bʊ.ɫa, t̪ɛ.ˈnɛb.rae̯	*nebula	brouillard	/bʁujaʁ/	niebla, neblina	névoa, neblina	nebbia	negură, ceață
162	noun	sky	*kailom	caelum	ˈkae̯.ɫʊ̃ˑ	*caelo (*celo)	ciel	/sjɛl/	cielo	céu	cielo	cer
163	noun	wind	*wentos	ventus	ˈwɛn̪.t̪ʊs	*vento (*ventu)	vent	/vɑ̃/	viento	vento	vento	vînt/vânt
164	noun	snow	*sniks	nix	ˈnɪks	*nivo ( *neve )	neige	/nɛʒ/	nieve	neve	neve	zăpadă, nea
165	noun	ice	*gelus	gelu	ˈɡɛ.ɫuː	*gielu , *glacia ( *glassa )	glace	/ɡlas/	hielo	gelo	ghiaccio	gheață
166	noun	smoke	*fūmos	fumus	ˈfuː.mʊs	*fumo (*fumu)	fumée	/fyme/	humo	fumo	fumo	fum
167	noun	fire	*əngʷnis	ignis	ˈiːŋ.nɪs	*fuego (*focus, *fogo)	feu	/fø/	fuego	fogo	fuoco	foc
168	noun	ash	*kenis	cinis	ˈkɪ.nɪs	*cinusia ( *cinis , *cinere)	cendre	/sɑ̃dʁ/	ceniza	cinza	cenere	cenușă, scrum
169	verb	to burn	*ouzō	urere, flammare	ˈuː.rɛ.rɛ, fɫam.ˈmaː.rɛ	*brusire , *ardere , *cremare	brûler	/bʁyle/	arder, quemar	arder, queimar	bruciare, ardere	arde
170	noun	road	*wijā	via	ˈwi.a	*via , *strada (*strata), *camin (*camminus)	route	/ʁut/	carretera, camino, vía	estrada, caminho, via	strada, via	drum, cale, stradă
171	noun	mountain	*monts	mons	ˈmõːs	*monte ( *mont ), *montania	montagne	/mɔ̃taɲ/	montaña, monte	montanha, monte	montagna, monte	munte
172	adjective	red	*ruðros	ruber, rufus	ˈrʊ.bɛr, ˈruː.fʊs	*rosso (*russu), *rubis	rouge	/ʁuʒ/	rojo	vermelho, rubro	rosso, vermiglio (a specific kind of red)	roșu
173	adjective	green	*weyziðis	viridis	ˈwɪ.rɪ.d̪ɪs	*verde (*virdis)	vert	/vɛʁ/	verde	verde	verde	verde
174	adjective	yellow	*flāwos	croceus, flavus	ˈkrɔ.ke.ʊs, ˈfɫaː.wʊs	*giallo (*galbinu)	jaune	/ʒon/	amarillo	amarelo	giallo	galben
175	adjective	white	*alβos	albus, candidus	ˈaɫ.bʊs, ˈkan.d̪ɪ.d̪ʊs	*blancus (*blanco)	blanc	/blɑ̃/	blanco	branco	bianco	alb
176	adjective	black	*niɣros	ater, niger	ˈaː.t̪ɛ̞r, ˈnɪ.ɡɛ̞r	*negro (*nigro, *nero)	noir	/nwaʁ/	negro	negro	nero	negru
177	noun	night	*noks	nox	nɔks	*nocte (*notte, *noctis)	nuit	/nɥi/	noche	noite	notte	noapte
178	noun	day	*djous	dies	ˈd̪i.eːs	*dia , *dies , *juorno (*diurnu)	jour	/ʒuʁ/	día	dia	giorno	zi
179	noun	year	*wetos	annus	ˈan.nʊs	*anno (*annu)	an, année	/ɑ̃/, /ane/	año	ano	anno	an
180	adjective	warm	*kaliðos	calidus	ˈka.lʲɪ.dʊs	*calidus (*caldo), *calor	chaud	/ʃo/	caliente, cálido	quente	caldo	cald
181	adjective	cold	*frīgos	frigidus	ˈfriː.ɡɪ.d̪ʊs	*fredo (*frigide)	froid	/fʁwa/	frío	frio	freddo	frig
182	adjective	full	*plēnos	plenus	ˈplʲeː.nʊs	*pleno (*plenu)	plein	/plɛ̃/	lleno	cheio	pieno	plin
183	adjective	new	*nowos	novus	ˈnɔ.wʊs	*nuovo (*nouvo, *nove)	nouveau, neuf	/nuvo/, /nœf/	nuevo	novo	nuovo	nou
184	adjective	old	*senos	vetus	ˈwɛ.t̪ʊs	*vetulus , *veclus (*viello, *vetus)	vieux	/vjø/	viejo	velho	vecchio	vechi
185	adjective	good	*dwenos	bonus	ˈbɔ.nʊs	*bono (*bonu, *bon)	bon	/bɔ̃/	bueno	bom	buono	bun
186	adjective	bad	*malos	malus	ˈma.ɫʊs	*malo , *malvado	mauvais	/movɛ/	malo adj., mal adv.	mau adj., mal adv.	cattivo	rău
187	adjective	rotten	*pūtos	putridus	ˈpʊ.t̪rɪ.d̪ʊs	*putrido , *podre	pourri	/puri/	podrido	podre	marcio, putrido	putred
188	adjective	dirty	*swerdiðos	sordidus, immundus	ˈsɔr.d̪ɪ.d̪ʊs, ɪm.mʊn̪.d̪ʊs	*sordido , *sucio	sale	/sal/	sucio	sujo	sporco, sudicio, sordido poetic 	murdar
189	adjective	straight	*rektos	rectus	ˈreːk.t̪ʊs	*recto , *directo ( *drectus )	droit	/dʁwa/	recto	reto	dritto	drept
190	adjective	round	*rotontnos	rotundus	rɔ.ˈt̪ʊn̪.d̪ʊs	*rotondo (*retundus)	rond	/ʁɔ̃/	redondo	redondo	rotondo, tondo	rotund
191	adjective	sharp (as a knife)	*akowtos	acutus	a.ˈkuː.t̪ʊs	*acuto , *affilato	tranchant	/tʁɑ̃ʃɑ̃/	afilado	afiado	affilato	ascuțit
192	adjective	dull (as a knife)	*heβes	hebes, retusus	ˈhɛ.bɛs, rɛ.ˈt̪uː.sʊs	*muttius (*smussato), *rombo	émoussé	/emuse/	sin filo, romo	rombo	spuntato, smussato	bont
193	adjective	smooth	*lēnis	suavis	sʊ.ˈaː.wɪs	*liscio (*liseus, *levis)	lisse	/lis/	liso	liso	liscio	neted
194	adjective	wet	*wegmiðos	umidus, aqueus	ˈuː.mɪ.d̪ʊs, ˈa.kᶣe.ʊs	*baneum (*bagnato), *molliato (*mollio)	mouillé	/muje/	húmedo, mojado	molhado	umido, madido, bagnato	ud, umed
195	adjective	dry	*seikkos	siccus	ˈsɪk.kʊs	*seco (*sec, *siccu)	sec	/sɛk/	seco	seco	secco	uscat, sec
196	adjective	correct	*wēros	rectus	ˈreːk.t̪ʊs	*correcto , *justo	juste	/ʒyst/	correcto	correto	corretto	corect
197	adjective	near	*prokʷe	propinquus, proximus	prɔ.ˈpɪŋ.kʷʊs, ˈprɔk.sɪ.mʊs	*proxime (*propius), *vicino	près	/pʁɛ/	cerca, próximo	perto, próximo	"vicino, adiacente (for ""touching"" proximity)"	aproape, lângă
198	adjective	far	*prokol	longus	ˈɫɔŋ.ɡʊs	*lontano , *distante	loin	/lwɛ̃/	lejos, lejano, distante	longe, longínquo, distante	lontano, distante	departe, distant
199	adjective	right	*deksteros	dexter	ˈd̪ɛks̪.t̪ɛ̞r	*destra (*dextre), *directa	droite	/dʁwat/	derecho	direito	destro, diritto the right	drept
200	adjective	left	*laiwos	laevus, sinister	ˈɫae̯.wʊs, sɪ.ˈnɪs̪.t̪ɛ̞r	*sinister	gauche	/ɡoʃ/	izquierdo	esquerdo	sinistro	stâng
201	preposition	at	*ad	ad, in	ˈad, ˈɪn	*ad (*a)	à	/a/	en, a	em, a	in, a	în, la
202	preposition	in	*en	in	ˈɪn	*in	dans	/dɑ̃/	en	em	in, dentro	în
203	preposition	with	*kom	cum	ˈkʊ̃ˑ	*cum (*con), *abhoc	avec	/avɛk/	con	com	con	cu
204	preposition	and	*et	et, -que	ɛt̪, -kᶣɛ	*et (*e)	et	/e/	y, e (before /i/)	e	"e, ed (before ""e"" vowel)"	și
205	preposition	if	*sei	si	ˈsiː	*si (*se)	si	/si/	si	se	se	dacă
206	preposition	because	*kʷod	quod	kʷɔd̪	*por que (*perquid)	parce que	/paʁsəkə/	porque	porque	perché	pentru că
207	noun	name	*nomən	nomen 	ˈnoːmɛn 	*nomine , *nomen	nom	/nɔ̃/	nombre	nome	nome	nume
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
