son	Bare forms:CaseSingularPluralNominativemacmicVocativea mhica mhacaGenitivemicmacDativemacmic	case	singular	plural	nominative	mac	mic	vocative	a mhic	a mhaca	genitive	mic	mac	dative	mac	mic	Forms with the definite article:CaseSingularPluralNominativean macna micGenitivean mhicna macDativeleis an macdon mhacleis na mic	case	singular	plural	nominative	an mac	na mic	genitive	an mhic	na mac	dative	leis an macdon mhac	leis na mic
son	case	singular	plural																										
son	nominative	mac	mic																										
son	vocative	a mhic	a mhaca																										
son	genitive	mic	mac																										
son	dative	mac	mic																										
son	case	singular	plural																										
son	nominative	an mac	na mic																										
son	genitive	an mhic	na mac																										
son	dative	leis an macdon mhac	leis na mic																										
sound	Bare formsCaseSingularPluralNominativefuaimfuaimeannaVocativea fhuaima fhuaimeannaGenitivefuaimefuaimeannaDativefuaimfuaimeanna	case	singular	plural	Nominative	fuaim	fuaimeanna	Vocative	a fhuaim	a fhuaimeanna	Genitive	fuaime	fuaimeanna	Dative	fuaim	fuaimeanna	Forms with the definite articleCaseSingularPluralNominativean fhuaimna fuaimeannaGenitivena fuaimena bhfuaimeannaDativeleis an bhfuaimdon fhuaimleis na fuaimeanna	case	singular	plural	Nominative	an fhuaim	na fuaimeanna	Genitive	na fuaime	na bhfuaimeanna	Dative	leis an bhfuaimdon fhuaim	leis na fuaimeanna
sound	case	singular	plural																										
sound	Nominative	fuaim	fuaimeanna																										
sound	Vocative	a fhuaim	a fhuaimeanna																										
sound	Genitive	fuaime	fuaimeanna																										
sound	Dative	fuaim	fuaimeanna																										
sound	case	singular	plural																										
sound	Nominative	an fhuaim	na fuaimeanna																										
sound	Genitive	na fuaime	na bhfuaimeanna																										
sound	Dative	leis an bhfuaimdon fhuaim	leis na fuaimeanna																										
warmth	Bare forms (no plural of this noun)CaseSingularNominativeteasVocativea theasGenitiveteasaDativeteas	case	singular	Nominative	teas	Vocative	a theas	Genitive	teasa	Dative	teas	Forms with the definite article:CaseSingularNominativean teasGenitivean teasaDativeleis an teasdon teas	case	singular	Nominative	an teas	Genitive	an teasa	Dative	leis an teasdon teas
warmth	case	singular																		
warmth	Nominative	teas																		
warmth	Vocative	a theas																		
warmth	Genitive	teasa																		
warmth	Dative	teas																		
warmth	case	singular																		
warmth	Nominative	an teas																		
warmth	Genitive	an teasa																		
warmth	Dative	leis an teasdon teas																		
water	Bare formsCaseSingularPluralNominativeuisceuiscíVocativea uiscea uiscíGenitiveuisceuiscíDativeuisceuiscí	case	singular	plural	Nominative	uisce	uiscí	Vocative	a uisce	a uiscí	Genitive	uisce	uiscí	Dative	uisce	uiscí	Forms with the definite articleCaseSingularPluralNominativean t-uiscena huiscíGenitivean uiscena n-uiscíDativeleis an uiscedon uisceleis na huiscí	case	singular	plural	Nominative	an t-uisce	na huiscí	Genitive	an uisce	na n-uiscí	Dative	leis an uiscedon uisce	leis na huiscí
water	case	singular	plural																										
water	Nominative	uisce	uiscí																										
water	Vocative	a uisce	a uiscí																										
water	Genitive	uisce	uiscí																										
water	Dative	uisce	uiscí																										
water	case	singular	plural																										
water	Nominative	an t-uisce	na huiscí																										
water	Genitive	an uisce	na n-uiscí																										
water	Dative	leis an uiscedon uisce	leis na huiscí																										
way	Bare forms:CaseSingularPluralNominativebealachbealaíVocativea bhealaigha bhealaíGenitivebealaighbealaíDativebealachbealaí	case	singular	plural	nominative	bealach	bealaí	vocative	a bhealaigh	a bhealaí	genitive	bealaigh	bealaí	dative	bealach	bealaí	Forms with the definite article:CaseSingularPluralNominativean bealachna bealaíGenitivean bhealaighna mbealaíDativeleis an mbealachdon bhealachleis na bealaí	case	singular	plural	nominative	an bealach	na bealaí	genitive	an bhealaigh	na mbealaí	dative	leis an mbealachdon bhealach	leis na bealaí
way	case	singular	plural																										
way	nominative	bealach	bealaí																										
way	vocative	a bhealaigh	a bhealaí																										
way	genitive	bealaigh	bealaí																										
way	dative	bealach	bealaí																										
way	case	singular	plural																										
way	nominative	an bealach	na bealaí																										
way	genitive	an bhealaigh	na mbealaí																										
way	dative	leis an mbealachdon bhealach	leis na bealaí																										
wind	Bare formsCaseSingularPluralNominativegaothgaothaVocativea ghaotha ghaothaGenitivegaoithegaothDativegaothgaoith (archaic, dialectal)gaotha	case	singular	plural	Nominative	gaoth	gaotha	Vocative	a ghaoth	a ghaotha	Genitive	gaoithe	gaoth	Dative	gaothgaoith (archaic, dialectal)	gaotha	Forms with the definite articleCaseSingularPluralNominativean ghaothna gaothaGenitivena gaoithena ngaothDativeleis an ngaothleis an ngaoith (archaic, dialectal)don ghaothdon ghaoith (archaic, dialectal)leis na gaotha	case	singular	plural	Nominative	an ghaoth	na gaotha	Genitive	na gaoithe	na ngaoth	Dative	leis an ngaothleis an ngaoith (archaic, dialectal)don ghaothdon ghaoith (archaic, dialectal)	leis na gaotha
wind	case	singular	plural																										
wind	Nominative	gaoth	gaotha																										
wind	Vocative	a ghaoth	a ghaotha																										
wind	Genitive	gaoithe	gaoth																										
wind	Dative	gaothgaoith (archaic, dialectal)	gaotha																										
wind	case	singular	plural																										
wind	Nominative	an ghaoth	na gaotha																										
wind	Genitive	na gaoithe	na ngaoth																										
wind	Dative	leis an ngaothleis an ngaoith (archaic, dialectal)don ghaothdon ghaoith (archaic, dialectal)	leis na gaotha																										
wind	Bare forms:CaseSingularPluralNominativegaothgaothaVocativea ghaoitha ghaothaGenitivegaoithgaothDativegaothgaotha	case	singular	plural	nominative	gaoth	gaotha	vocative	a ghaoith	a ghaotha	genitive	gaoith	gaoth	dative	gaoth	gaotha	Forms with the definite article:CaseSingularPluralNominativean gaothna gaothaGenitivean ghaoithna ngaothDativeleis an ngaothdon ghaothleis na gaotha	case	singular	plural	nominative	an gaoth	na gaotha	genitive	an ghaoith	na ngaoth	dative	leis an ngaothdon ghaoth	leis na gaotha
wind	case	singular	plural																										
wind	nominative	gaoth	gaotha																										
wind	vocative	a ghaoith	a ghaotha																										
wind	genitive	gaoith	gaoth																										
wind	dative	gaoth	gaotha																										
wind	case	singular	plural																										
wind	nominative	an gaoth	na gaotha																										
wind	genitive	an ghaoith	na ngaoth																										
wind	dative	leis an ngaothdon ghaoth	leis na gaotha																										
wind		singular	singular	plural (m/f)	plural (m/f)
wind	positive	masculine	feminine	(strong noun)	(weak noun)
wind	Nominative	gaoth	ghaoth	gaotha;ghaotha²	gaotha;ghaotha²
wind	Vocative	ghaoith	ghaoth	gaotha	gaotha
wind	Genitive	ghaoith	gaoithe	gaotha	gaoth
wind	Dative	gaoth;ghaoth¹	ghaoth;ghaoith (archaic)	gaotha;ghaotha²	gaotha;ghaotha²
wind	comparative	níos gaoithe	níos gaoithe	níos gaoithe	níos gaoithe
wind	superlative	is gaoithe	is gaoithe	is gaoithe	is gaoithe
window	Bare formsCaseSingularPluralNominativefuinneogfuinneogaVocativea fhuinneoga fhuinneogaGenitivefuinneoigefuinneogDativefuinneogfuinneoig (archaic, dialectal)fuinneoga	case	singular	plural	Nominative	fuinneog	fuinneoga	Vocative	a fhuinneog	a fhuinneoga	Genitive	fuinneoige	fuinneog	Dative	fuinneogfuinneoig (archaic, dialectal)	fuinneoga	Forms with the definite articleCaseSingularPluralNominativean fhuinneogna fuinneogaGenitivena fuinneoigena bhfuinneogDativeleis an bhfuinneogleis an bhfuinneoig (archaic, dialectal)don fhuinneogdon fhuinneoig (archaic, dialectal)leis na fuinneoga	case	singular	plural	Nominative	an fhuinneog	na fuinneoga	Genitive	na fuinneoige	na bhfuinneog	Dative	leis an bhfuinneogleis an bhfuinneoig (archaic, dialectal)don fhuinneogdon fhuinneoig (archaic, dialectal)	leis na fuinneoga
window	case	singular	plural																										
window	Nominative	fuinneog	fuinneoga																										
window	Vocative	a fhuinneog	a fhuinneoga																										
window	Genitive	fuinneoige	fuinneog																										
window	Dative	fuinneogfuinneoig (archaic, dialectal)	fuinneoga																										
window	case	singular	plural																										
window	Nominative	an fhuinneog	na fuinneoga																										
window	Genitive	na fuinneoige	na bhfuinneog																										
window	Dative	leis an bhfuinneogleis an bhfuinneoig (archaic, dialectal)don fhuinneogdon fhuinneoig (archaic, dialectal)	leis na fuinneoga																										
woman	Bare formsCaseSingularPluralNominativebeanmnáVocativea bheana mhnáGenitivemnábanDativebeanmnaoi (archaic or dialectal)mnámnáibh (archaic)	case	singular	plural	Nominative	bean	mná	Vocative	a bhean	a mhná	Genitive	mná	ban	Dative	beanmnaoi (archaic or dialectal)	mnámnáibh (archaic)	Forms with the definite articleCaseSingularPluralNominativean bheanna mnáGenitivena mnána mbanDativeleis an mbean; don bheanleis an mnaoi; don mhnaoi (archaic or dialectal)leis na mnáleis na mnáibh (archaic)	case	singular	plural	Nominative	an bhean	na mná	Genitive	na mná	na mban	Dative	leis an mbean; don bheanleis an mnaoi; don mhnaoi (archaic or dialectal)	leis na mnáleis na mnáibh (archaic)
woman	case	singular	plural																										
woman	Nominative	bean	mná																										
woman	Vocative	a bhean	a mhná																										
woman	Genitive	mná	ban																										
woman	Dative	beanmnaoi (archaic or dialectal)	mnámnáibh (archaic)																										
woman	case	singular	plural																										
woman	Nominative	an bhean	na mná																										
woman	Genitive	na mná	na mban																										
woman	Dative	leis an mbean; don bheanleis an mnaoi; don mhnaoi (archaic or dialectal)	leis na mnáleis na mnáibh (archaic)																										
woman			singular	singular	singular	plural	plural	plural	relative	autonomous
woman			first	second	third	first	second	third	relative	autonomous
woman	indicative	present	beanaim	beanann tú;  beanair†	beanann sé, sí	beanaimid	beanann sibh	beanann siad;  beanaid†	a bheanann; a bheanas /a mbeanann*; a mbeanas*	beantar
woman	indicative	past	bhean mé; bheanas	bhean tú; bheanais	bhean sé, sí	bheanamar; bhean muid	bhean sibh; bheanabhair	bhean siad; bheanadar	a bhean /ar bhean*	beanadh
woman	indicative	past habitual	bheanainn / mbeanainn‡‡	bheantá / mbeantá‡‡	bheanadh sé, sí / mbeanadh sé, sí‡‡	bheanaimis; bheanadh muid / mbeanaimis‡‡; mbeanadh muid‡‡	bheanadh sibh / mbeanadh sibh‡‡	bheanaidís; bheanadh siad / mbeanaidís‡‡; mbeanadh siad‡‡	a bheanadh /a mbeanadh*	bheantaí / mbeantaí‡‡
woman	future	future	beanfaidh mé;  beanfad	beanfaidh tú;  beanfair†	beanfaidh sé, sí	beanfaimid;  beanfaidh muid	beanfaidh sibh	beanfaidh siad;  beanfaid†	a bheanfaidh; a bheanfas /a mbeanfaidh*; a mbeanfas*	beanfar
woman	conditional	conditional	bheanfainn / mbeanfainn‡‡	bheanfá / mbeanfá‡‡	bheanfadh sé, sí / mbeanfadh sé, sí‡‡	bheanfaimis; bheanfadh muid / mbeanfaimis‡‡; mbeanfadh muid‡‡	bheanfadh sibh / mbeanfadh sibh‡‡	bheanfaidís; bheanfadh siad / mbeanfaidís‡‡; mbeanfadh siad‡‡	a bheanfadh /a mbeanfadh*	bheanfaí / mbeanfaí‡‡
woman	subjunctive	present	go mbeana mé;  go mbeanad†	go mbeana tú;  go mbeanair†	go mbeana sé, sí	go mbeanaimid;  go mbeana muid	go mbeana sibh	go mbeana siad;  go mbeanaid†	—	go mbeantar
woman	subjunctive	past	dá mbeanainn	dá mbeantá	dá mbeanadh sé, sí	dá mbeanaimis;  dá mbeanadh muid	dá mbeanadh sibh	dá mbeanaidís;  dá mbeanadh siad	—	dá mbeantaí
woman	imperative	imperative	beanaim	bean	beanadh sé, sí	beanaimis	beanaigí;  beanaidh†	beanaidís	—	beantar
woman	verbal noun	verbal noun	beant	beant	beant	beant	beant	beant	beant	beant
woman	past participle	past participle	beanta	beanta	beanta	beanta	beanta	beanta	beanta	beanta
work	Bare formsCaseSingularPluralNominativeobairoibreachaVocativea obaira oibreachaGenitiveoibreoibreachaDativeobairoibreacha	case	singular	plural	Nominative	obair	oibreacha	Vocative	a obair	a oibreacha	Genitive	oibre	oibreacha	Dative	obair	oibreacha	Forms with the definite articleCaseSingularPluralNominativean obairna hoibreachaGenitivena hoibrena n-oibreachaDativeleis an obairdon obairleis na hoibreacha	case	singular	plural	Nominative	an obair	na hoibreacha	Genitive	na hoibre	na n-oibreacha	Dative	leis an obairdon obair	leis na hoibreacha
work	case	singular	plural																										
work	Nominative	obair	oibreacha																										
work	Vocative	a obair	a oibreacha																										
work	Genitive	oibre	oibreacha																										
work	Dative	obair	oibreacha																										
work	case	singular	plural																										
work	Nominative	an obair	na hoibreacha																										
work	Genitive	na hoibre	na n-oibreacha																										
work	Dative	leis an obairdon obair	leis na hoibreacha																										
