	code	name	latitude	longitude	genus	family	Vso	Vso2	Vom	Vson	Vson2	Vn	Vsoq	Vsow	Vsow2	Np	Nr	Ng	Nd	Nn	Na
898	mkl	Maklew	-7.66666666667	139.416666667	Bulaka River	Bulaka River	SOV			Other		NegV				Postpositions		Genitive-Noun		Noun-Numeral	
899	mko															Prepositions					
900	mkq	Mankon	6.0	10.1666666667	Wide Grassfields	Niger-Congo	SVO												Noun-Demonstrative		
901	mku	Maranungku	-13.6666666667	130.0	Wagaydy	Western Daly	SOV		No dominant order	OptDoubleNeg		OptDoubleNeg	No question particle	Initial interrogative phrase		Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
902	mkz	Makaa	3.41666666667	12.25	Bantu	Niger-Congo	SVO			MorphNeg		ObligDoubleNeg							Noun-Demonstrative		Noun-Adjective
903	mla	Mambila	6.75	11.5	Mambiloid	Niger-Congo	SVO											Noun-Genitive			Noun-Adjective
904	mlg	Malgwa	11.5	13.75	Biu-Mandara	Afro-Asiatic	SVO			MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
905	mlk									Other		NegV		Mixed				No dominant order	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
906	mlm	Mlabri (Minor)	18.5	101.0	Khmuic	Austro-Asiatic	SVO									Prepositions		Genitive-Noun	Noun-Demonstrative		Noun-Adjective
907	mlu	Maleu	-5.71666666667	148.416666667	Oceanic	Austronesian	SVO		VOX	SVONeg		VNeg				Prepositions	Noun-Relative clause	No dominant order	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
908	mmb	Mangap-Mbula	-5.66666666667	148.083333333	Oceanic	Austronesian	SVO		VOX	SVONeg		VNeg	Final			Prepositions	Noun-Relative clause	No dominant order	Noun-Demonstrative		Noun-Adjective
909	mme											NegV				Postpositions		Genitive-Noun			Adjective-Noun
910	mmi												Final			Prepositions				Noun-Numeral	
911	mmn	Mamanwa	9.41666666667	125.5	Greater Central Philippine	Austronesian	VSO		VOX	NegVSO		NegV		Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	No dominant order
912	mmv	Mamvu	3.25	29.0	Mangbutu-Efe	Central Sudanic	SVO			MorphNeg		[Neg-V]						No dominant order	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
913	mmw											[Neg-V]		Not initial interrogative phrase						Noun-Numeral	Noun-Adjective
914	mna	Muna	-5.0	122.5	Celebic	Austronesian	SVO			SNegVO		NegV	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
915	mnc	Manchu	49.5	127.5	Tungusic	Altaic	SOV			MorphNeg		[V-Neg]	No question particle			Postpositions					Adjective-Noun
916	mnd	Mandarin	34.0	110.0	Chinese	Sino-Tibetan	SVO		XVO	SNegVO		NegV	Final	Not initial interrogative phrase		No dominant order	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
917	mne	Maidu (Northeast)	40.0	-120.666666667	Maiduan	Penutian	SOV			MorphNeg		[V-Neg]	No question particle	Initial interrogative phrase			Relative clause-Noun	Genitive-Noun	Demonstrative-Noun		Adjective-Noun
918	mng	Manggarai	-8.5	120.333333333	Central Malayo-Polynesian	Austronesian	SVO		VOX				No question particle	Not initial interrogative phrase	Vso	Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
919	mni	Moni	-3.66666666667	137.0	Paniai Lakes	Trans-New Guinea	SOV			Other		NegV	No question particle					Genitive-Noun		Noun-Numeral	
920	mnm	Manam	-4.0	145.0	Oceanic	Austronesian	SOV			SONegV		NegV	No question particle	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
921	mno	Mono (in United States)	38.0	-119.0	Northern Uto-Aztecan	Uto-Aztecan	SOV			NegSOV		NegV	Second position	Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative suffix		
922	mns	Mansi	62.0	62.0	Ugric	Uralic	SOV			SONegV		NegV	Initial	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
923	mnt											NegV						Noun-Genitive	Noun-Demonstrative		
924	mnv	Minaveha	-9.6	150.466666667	Oceanic	Austronesian	SOV									Postpositions		Genitive-Noun	Demonstrative suffix	Noun-Numeral	Noun-Adjective
925	mny	Margany	-27.0	144.5	Northern Pama-Nyungan	Pama-Nyungan	SOV			NegSOV		NegV	Initial	Initial interrogative phrase				Genitive-Noun			
926	mnz															Prepositions		Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Adjective-Noun
927	moa	Mono-Alu	-7.05	155.75	Oceanic	Austronesian	No dominant order		No dominant order							No dominant order	Noun-Relative clause	No dominant order	Demonstrative-Noun	No dominant order	Noun-Adjective
928	moe	Mordvin (Erzya)	53.0	45.5	Mordvin	Uralic	SVO			Other		NegV				Postpositions					Adjective-Noun
929	mof	Mofu-Gudur	10.5	14.0	Biu-Mandara	Afro-Asiatic	SVO		VOX							Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
930	mog	Moghol	35.0	62.0	Mongolic	Altaic	SOV			Other		NegV									
931	moh	Mohawk	43.5	-74.25	Northern Iroquoian	Iroquoian	No dominant order		No dominant order			OptDoubleNeg						Genitive-Noun	Demonstrative-Noun	Numeral-Noun	
932	mok	Mokilese	6.66666666667	159.75	Oceanic	Austronesian	SVO			SNegVO		NegV	Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	No dominant order	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
933	mom	Mombum	-8.25	138.75	Mombum	Mombum	SOV			ObligDoubleNeg		ObligDoubleNeg				Postpositions		Genitive-Noun		Noun-Numeral	
934	mon	Mon	14.8333333333	100.5	Monic	Austro-Asiatic	SVO			SNegVO		NegV	Final	Not initial interrogative phrase		Prepositions		Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
935	moo	Mooré	12.8333333333	-1.25	Oti-Volta	Niger-Congo	SVO		VOX	ObligDoubleNeg		ObligDoubleNeg	Final	Not initial interrogative phrase		No dominant order		Genitive-Noun	Demonstrative suffix	Noun-Numeral	Noun-Adjective
936	mor	Mor	-2.95	135.75	South Halmahera - West New Guinea	Austronesian	SVO			SVONeg		VNeg		Not initial interrogative phrase		Prepositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
937	mos	Mosetén	-14.75	-67.8333333333	Mosetenan	Mosetenan	SVO			More than one position		NegV	Second position	Initial interrogative phrase			Noun-Relative clause	Genitive-Noun			No dominant order
938	mot									MorphNeg		[V-Neg]					Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
939	mou	Moru	4.75	29.75	Moru-Ma'di	Central Sudanic	No dominant order	SOV or SVO	No dominant order	More than one position	SVO/SOV, but SVONeg	VNeg	Final	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
940	mov	Movima	-13.8333333333	-65.6666666667	Movima	Movima	No dominant order	VSO or VOS		More than one position		NegV	No question particle	Initial interrogative phrase		Prepositions					
941	mpa	Murrinh-Patha	-14.6666666667	129.666666667	Murrinh-Patha	Southern Daly	SOV		OVX	SONegV		NegV	Final	Not initial interrogative phrase		No dominant order	Mixed	Noun-Genitive	Noun-Demonstrative		Noun-Adjective
942	mpo											NegV							Noun-Demonstrative	Noun-Numeral	Noun-Adjective
943	mpr	Maipure	5.5	-67.5	Alto-Orinoco	Arawakan	SVO							Initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun		Numeral-Noun	Noun-Adjective
944	mpt	Mian	-4.75	141.5	Ok	Trans-New Guinea	SOV		OXV	MorphNeg		[V-Neg]	Final	Not initial interrogative phrase		Postpositions	Internally headed	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
945	mpu	Mpur	-0.75	133.25	Mpur	Mpur	SVO			SVONeg		VNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause		Noun-Demonstrative	Noun-Numeral	Noun-Adjective
946	mqf	Momuna	-4.83333333333	139.25	Somahai	Trans-New Guinea	SOV									Postpositions					
947	mra	Mara	-15.0	135.166666667	Mara	Mangarrayi-Maran	No dominant order		No dominant order			Type 1 / Type 3	No question particle	Initial interrogative phrase		Prepositions		No dominant order	Demonstrative-Noun		Noun-Adjective
948	mrc	Marchha	30.25	79.5833333333	Bodic	Sino-Tibetan	SOV												Demonstrative-Noun	Numeral-Noun	Adjective-Noun
949	mrd	Marind	-7.83333333333	140.166666667	Marind-Yaqay	Trans-New Guinea	SOV			Other		NegV	Final			Postpositions		Genitive-Noun		No dominant order	
950	mrg	Margi	11.0	13.0	Biu-Mandara	Afro-Asiatic	SVO			SVONeg		VNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
951	mrh	Marrithiyel	-13.8333333333	130.0	Bringen	Western Daly	SOV		No dominant order	Other		NegV				Postpositions				Noun-Numeral	Noun-Adjective
952	mri	Moraori	-8.58333333333	140.666666667	Moraori	Moraori	SOV			Other		NegV	Final			Postpositions		Genitive-Noun		Noun-Numeral	
953	mrl	Murle	6.5	33.5	South Surmic	Eastern Sudanic	VSO		VOX	NegVSO		NegV	No question particle	Not initial interrogative phrase		No dominant order	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
954	mro	Moro	11.0	30.1666666667	Heiban	Kordofanian	SVO		VOX	SNegVO		NegV	Initial	Not initial interrogative phrase		No dominant order	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
955	mrq	Marquesan	-8.91666666667	-140.083333333	Oceanic	Austronesian	VSO			NegSVO	VSO, but NegSVO	NegV	Initial			Prepositions	Noun-Relative clause	Noun-Genitive	Mixed	Numeral-Noun	Noun-Adjective
956	mrr	Maringarr	-14.25	130.0	Bringen	Western Daly	SOV		No dominant order	Other		NegV						Genitive-Noun		Noun-Numeral	Noun-Adjective
957	mrs	Mairasi	-3.5	134.0	Mairasic	Mairasic	SOV			MorphNeg		[V-Neg]									
958	mrt	Martuthunira	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	SVO		VOX	SNegVO		NegV	No question particle	Initial interrogative phrase		No adpositions	Adjoined	No dominant order	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
959	mru	Maru	23.5	98.5	Burmese-Lolo	Sino-Tibetan	SOV			SONegV		NegV	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
960	mrw	Muruwari	-28.75	147.0	Southeastern Pama-Nyungan	Pama-Nyungan	No dominant order		No dominant order	Other		NegV	Initial	Initial interrogative phrase				Genitive-Noun			Adjective-Noun
961	msc	Muisca	5.0	-74.0	Chibcha-Duit	Chibchan	SOV			MorphNeg		[V-Neg]	No question particle					Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
962	msg	Mising	28.5	94.8333333333	Tani	Sino-Tibetan	SOV			MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Adjective-Noun
963	msk	Masakin	10.6666666667	30.0	Talodi	Kordofanian	No dominant order	SVO or VSO		ObligDoubleNeg	SVO/VSO, but NegSVONeg	ObligDoubleNeg					Noun-Relative clause	Noun-Genitive	Demonstrative suffix	Noun-Numeral	Noun-Adjective
964	msl	Masalit	13.3333333333	22.0	Maban	Maban	SOV			MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase			Noun-Relative clause	Noun-Genitive		Noun-Numeral	Noun-Adjective
965	msm	Musom	-6.58333333333	147.0	Oceanic	Austronesian	SVO			Other		VNeg				Prepositions	Noun-Relative clause		Noun-Demonstrative	Noun-Numeral	Noun-Adjective
966	msn	Maisin	-9.5	149.166666667	Oceanic	Austronesian	SOV			ObligDoubleNeg		ObligDoubleNeg	Final			Postpositions	Internally headed	Genitive-Noun	Noun-Demonstrative		Noun-Adjective
967	msq	Musqueam	49.1666666667	-123.0	Central Salish	Salishan	VSO			NegVSO		NegV				Prepositions		Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
968	mss	Miwok (Southern Sierra)	37.5	-120.0	Miwok	Penutian	No dominant order		No dominant order			NegV		Initial interrogative phrase				No dominant order	Demonstrative-Noun	Numeral-Noun	No dominant order
969	mtb	Matuumbi	-8.5	39.0	Bantu	Niger-Congo	SVO			More than one position		VNeg						Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
970	mto	Malto	25.0	87.3333333333	Dravidian	Dravidian	SOV												Demonstrative-Noun	Numeral-Noun	Adjective-Noun
971	mts	Matis	-4.41666666667	-70.25	Panoan	Pano-Tacanan	SOV		OXV	MorphNeg		[V-Neg]	No question particle					Genitive-Noun		Noun-Numeral	Noun-Adjective
972	mtt	Massachusett	42.5	-71.0	Algonquian	Algic	No dominant order		No dominant order				No question particle			Prepositions		Noun-Genitive	Demonstrative-Noun		
973	mtu	Motu	-9.33333333333	147.0	Oceanic	Austronesian	SOV			More than one position		Type 1 / Type 2	Final	Not initial interrogative phrase		Postpositions		Genitive-Noun			Noun-Adjective
974	mua	Makua	-15.0	38.6666666667	Bantu	Niger-Congo	SVO			MorphNeg		[Neg-V]				Prepositions		Noun-Genitive	Mixed	Noun-Numeral	Noun-Adjective
975	mud																Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
976	mug											[Neg-V]									
977	mui									MorphNeg		[V-Neg]		Initial interrogative phrase							
978	mum	Mumuye	9.0	11.6666666667	Mumuye-Yandang	Niger-Congo	SVO			OptDoubleNeg		OptDoubleNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	No dominant order	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
979	mun	Mundari	23.0	84.6666666667	Munda	Austro-Asiatic	SOV			SONegV		NegV	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
980	mup	Mupun	9.5	8.83333333333	West Chadic	Afro-Asiatic	SVO		VOX	OptDoubleNeg		OptDoubleNeg	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
981	mur	Mursi	5.58333333333	36.0833333333	South Surmic	Eastern Sudanic	SVO			SONegV	SVO, but SONegV	NegV					Noun-Relative clause	Noun-Genitive	Demonstrative suffix	Noun-Numeral	Noun-Adjective
982	mus	Mussau	-1.45	149.616666667	Oceanic	Austronesian	SVO		VOX	SNegVO		NegV	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Adjective-Noun
983	mut	Mutsun	36.8333333333	-121.5	Costanoan	Penutian	SVO			SNegVO		NegV	Initial	Initial interrogative phrase			Noun-Relative clause	Genitive-Noun	Demonstrative-Noun		
984	muu	Mundurukú	-7.0	-58.0	Munduruku	Tupian	SOV							Initial interrogative phrase		Postpositions					
985	mwb	Manobo (Western Bukidnon)	7.66666666667	124.75	Greater Central Philippine	Austronesian	VSO			NegVSO		NegV		Initial interrogative phrase		Prepositions		Noun-Genitive	Demonstrative-Noun		Adjective-Noun
986	mwe	Mwera	-9.0	39.0	Bantu	Niger-Congo	SVO		VOX	MorphNeg		[Neg-V]				No adpositions		Noun-Genitive		Noun-Numeral	Noun-Adjective
987	mwo	Mwotlap	-13.5833333333	167.583333333	Oceanic	Austronesian	SVO			ObligDoubleNeg		ObligDoubleNeg	No question particle				Noun-Relative clause		Noun-Demonstrative	Noun-Numeral	Noun-Adjective
988	mxa															Prepositions		Noun-Genitive			Noun-Adjective
989	mxc	Mixtec (Chalcatongo)	17.05	-97.5833333333	Mixtec	Oto-Manguean	VSO		VOX	NegVSO		NegV	No question particle	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
990	mxe	Ifira-Mele	-17.75	168.25	Oceanic	Austronesian	SVO			OptDoubleNeg		OptDoubleNeg					Noun-Relative clause	No dominant order	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
991	mxj	Mixtec (Jicaltepec)	16.3333333333	-98.0	Mixtec	Oto-Manguean	VSO		VOX	NegVSO		NegV	Final	Initial interrogative phrase		Prepositions			Noun-Demonstrative	Numeral-Noun	Noun-Adjective
992	mxo	Mixtec (Ocotepec)	17.1666666667	-97.75	Mixtec	Oto-Manguean	VSO		VOX	NegVSO		NegV	Initial	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
993	mxp	Mixtec (Peñoles)	17.0833333333	-96.9166666667	Mixtec	Oto-Manguean	VSO		VOX	NegVSO		NegV	Final	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative suffix	Numeral-Noun	Noun-Adjective
994	mxx	Mixe (Ayutla)	17.0833333333	-96.0833333333	Mixe-Zoque	Mixe-Zoque	No dominant order		No dominant order			OptDoubleNeg	Final					Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
995	mxy	Mixtec (Yosondúa)	16.9166666667	-97.5833333333	Mixtec	Oto-Manguean	VSO		VOX				Final	Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
996	myg	Mayogo	3.0	29.0	Ubangi	Niger-Congo	SVO			SVONeg		VNeg				Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Adjective-Noun
997	myi	Mangarrayi	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	OVS			ONegVS		NegV	Final	Not initial interrogative phrase		Prepositions	Noun-Relative clause	No dominant order	Demonstrative-Noun	No dominant order	Noun-Adjective
998	mym	Malayalam	10.0	76.5	Dravidian	Dravidian	SOV			MorphNeg		[V-Neg]	Final	Not initial interrogative phrase			Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
999	myn	Ma'anyan	-2.0	115.0	Barito	Austronesian	SVO										Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1000	myr	Matsés	-5.41666666667	-73.25	Panoan	Pano-Tacanan	SOV									Postpositions		Genitive-Noun			Noun-Adjective
1001	mzc									MorphNeg		[V-Neg]									Noun-Adjective
1002	mzh	Mazatec (Huautla)	18.25	-96.8333333333	Popolocan	Oto-Manguean	No dominant order		No dominant order				Initial	Initial interrogative phrase		Prepositions					
1003	mzn															Postpositions					Adjective-Noun
1004	nab	Nabak	-6.41666666667	147.0	Huon	Trans-New Guinea	SOV			SONegV		NegV	No question particle			Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1005	nad	Nadëb	-1.0	-66.5	Nadahup	Nadahup	OSV			More than one position	OSV but NegSVO/O[Neg-V]S	Type 1 / Type 3	No question particle	Not initial interrogative phrase		Postpositions		Genitive-Noun			
1006	nag	Nagatman	-3.75	141.5	Yale	Yale	SOV		OXV	More than one position		Type 1 / Type 2	Final	Not initial interrogative phrase		Postpositions					No dominant order
1007	nah											NegV									Adjective-Noun
1008	naj	Neo-Aramaic (Arbel Jewish)	36.3833	44.0	Semitic	Afro-Asiatic	SOV		OVX	SONegV		NegV	No question particle	Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
1009	nak	Nakanai	-5.58333333333	150.583333333	Oceanic	Austronesian	SVO			SNegVO		NegV				Prepositions		Noun-Genitive	Noun-Demonstrative	No dominant order	Noun-Adjective
1010	nal	Nalik	-2.95	151.333333333	Oceanic	Austronesian	SVO			SNegVO		NegV				Prepositions	Noun-Relative clause		Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1011	nam	Namia	-3.83333333333	141.75	Yellow River	Sepik	SOV			MorphNeg		[Neg-V]	Final	Not initial interrogative phrase		Postpositions	Mixed	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1012	nar	Nara (in Ethiopia)	15.0833333333	37.5833333333	Nara	Eastern Sudanic	SOV			SONegV		NegV				Postpositions	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative		Noun-Adjective
1013	nas	Nasioi	-6.33333333333	155.583333333	South Bougainville	South Bougainville	SOV		No dominant order	More than one position		Type 2 / Type 4	Second position	Not initial interrogative phrase		Postpositions		No dominant order	Demonstrative-Noun	Numeral-Noun	No dominant order
1014	nat	Natchez	31.75	-91.3333333333	Natchez	Natchez	SOV									Postpositions	Noun-Relative clause				Noun-Adjective
1015	nau	Nauruan	-0.5	166.916666667	Oceanic	Austronesian	No dominant order												Mixed		Noun-Adjective
1016	nav	Navajo	36.1666666667	-108.0	Athapaskan	Na-Dene	SOV		OXV	More than one position		NegV	In either of two positions	Not initial interrogative phrase		Postpositions	Internally headed	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Noun-Adjective
1017	nax											NegV		Not initial interrogative phrase					Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1018	nbd	Nubian (Dongolese)	18.25	30.75	Nubian	Eastern Sudanic	SOV			MorphNeg		[V-Neg]	No question particle	Not initial interrogative phrase		Postpositions	Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1019	nbe	Ngombe	3.0	23.0	Bantu	Niger-Congo	SVO														
1020	nbm	Ngbaka (Ma'bo)	3.56	18.36	Ubangi	Niger-Congo	SVO			SVONeg		VNeg	Final	Not initial interrogative phrase							
1021	nbr	Ngäbere	8.66666666667	-82.0	Guaymiic	Chibchan	SOV		OVX	Other		NegV		Not initial interrogative phrase		Postpositions		Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1022	nca	Nicobarese (Car)	9.0	93.0	Nicobarese	Austro-Asiatic	VOS		VOX	NegVOS		NegV		Mixed		Prepositions		Noun-Genitive	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1023	ncm	Ncàm	9.33333333333	0.666666666667	Oti-Volta	Niger-Congo	SVO			SNegVO		NegV	Final	Not initial interrogative phrase		No dominant order	Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1024	ndb	Ndebele	-25.3333333333	29.0	Bantu	Niger-Congo	SVO			MorphNeg		ObligDoubleNeg	Final	Not initial interrogative phrase				Noun-Genitive	Noun-Demonstrative		Noun-Adjective
1025	nde											[Neg-V]				Prepositions		Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1026	ndi	Ngbandi	3.75	22.0	Ubangi	Niger-Congo	SVO						No question particle	Not initial interrogative phrase		Prepositions		Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1027	ndj	Ndjébbana	-12.1666666667	134.116666667	Ndjébbana	Mangrida	No dominant order		No dominant order	Other		NegV	No question particle	Not initial interrogative phrase		Postpositions			Demonstrative-Noun	Noun-Numeral	Noun-Adjective
1028	ndo	Ndonga	-18.0	17.0	Bantu	Niger-Congo	SVO			Other		NegV		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1029	ndr	Nadroga	-18.0833333333	177.416666667	Oceanic	Austronesian	No dominant order			Other		NegV	No question particle				Noun-Relative clause	Noun-Genitive	Noun-Demonstrative		Noun-Adjective
1030	ndt	Ndut	14.9166666667	-16.9166666667	Cangin	Niger-Congo	SVO		VOX	MorphNeg		[V-Neg]		Not initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1031	ndu	Ndumu	-1.66666666667	13.5833333333	Bantu	Niger-Congo	SVO			ObligDoubleNeg		ObligDoubleNeg		Not initial interrogative phrase		Prepositions		Noun-Genitive	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1032	ndy	Ndyuka	4.5	-54.5	Creoles and Pidgins	other	SVO		VOX	SNegVO		NegV	No question particle	Initial interrogative phrase		Prepositions	Noun-Relative clause	No dominant order	Noun-Demonstrative	Numeral-Noun	Adjective-Noun
1033	neh	Nehan	-4.5	154.2	Oceanic	Austronesian	SVO		VOX	SNegVO		NegV		Initial interrogative phrase		Prepositions	Noun-Relative clause	Noun-Genitive	Noun-Demonstrative	Numeral-Noun	Noun-Adjective
1034	nep	Nepali	28.0	85.0	Indic	Indo-European	SOV			MorphNeg		[V-Neg]		Not initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1035	nev	Nevome	31.0	-112.5	Tepiman	Uto-Aztecan	SOV			Other		NegV	Initial	Initial interrogative phrase		Postpositions		Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1036	new	Newari (Kathmandu)	27.6666666667	85.5	Himalayish	Sino-Tibetan	SOV			MorphNeg		[Neg-V]	Final	Not initial interrogative phrase		Postpositions	Relative clause-Noun	Genitive-Noun	Demonstrative-Noun	Noun-Numeral	Adjective-Noun
1037	ney	Neyo	5.0	-6.0	Kru	Niger-Congo	No dominant order	SOV or SVO	No dominant order				Final	Initial interrogative phrase			Noun-Relative clause	Genitive-Noun	Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1038	nez	Nez Perce	46.0	-116.0	Sahaptian	Penutian	No dominant order		No dominant order	Other		NegV	Initial	Initial interrogative phrase			Noun-Relative clause	Genitive-Noun	Demonstrative-Noun	Numeral-Noun	Adjective-Noun
1039	nga	Nganasan	71.0	93.0	Samoyedic	Uralic	SOV			SONegV		NegV	No question particle								Adjective-Noun
1040	ngb	Ngbaka (Minagende)	3.5	20.0	Gbaya-Manza-Ngbaka	Niger-Congo	SVO		VOX				Final	Not initial interrogative phrase		Prepositions		Noun-Genitive	Noun-Demonstrative	Noun-Numeral	
1041	ngd	Ngad'a	-8.83333333333	121.0	Central Malayo-Polynesian	Austronesian	SVO			Other		NegV	No question particle	Not initial interrogative phrase		Prepositions		Noun-Genitive		No dominant order	Noun-Adjective
1042	ngg	Ngan'gityemerri	-14.25	130.416666667	Ngankikurungkurr	Southern Daly	No dominant order									Postpositions			Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1043	ngi								No dominant order	Other		NegV	Second position	Initial interrogative phrase		No adpositions	Mixed	Genitive-Noun	Demonstrative-Noun		No dominant order
1044	ngj									Other		NegV									Noun-Adjective
1045	ngk	Ngankikurungkurr	-14.0	130.5	Ngankikurungkurr	Southern Daly	No dominant order		No dominant order			NegV	No question particle	Not initial interrogative phrase		Postpositions	Adjoined		Noun-Demonstrative	Noun-Numeral	Noun-Adjective
1046	ngl	Ngalakan	-14.25	134.0	Eastern Gunwinyguan	Gunwinyguan	No dominant order		No dominant order			[V-Neg]				No adpositions	Noun-Relative clause	No dominant order	Demonstrative-Noun		Noun-Adjective
