	latitude	longitude	code	name	pattern	family	genus	Vso	Vsom	Vson	Vsoq	Vsow	Nprgdna
1029	-18.0833333333	177.416666667	ndr	Nadroga		Austronesian	Oceanic	*	* 	*			      Na gdr 
1009	-5.58333333333	150.583333333	nak	Nakanai		Austronesian	Oceanic	sVo	sVo 	snVo			p   # Na#gd  
1010	-2.95	151.333333333	nal	Nalik		Austronesian	Oceanic	sVo	sVo 	snVo			p     Na# dr 
1015	-0.5	166.916666667	nau	Nauruan		Austronesian	Oceanic	*	* 	*			  d   Na  d  
1033	-4.5	154.2	neh	Nehan		Austronesian	Oceanic	sVo	sVom	snVo		wsVo	p   # Na gdr 
1076	-21.5	168.0	nne	Nengone		Austronesian	Oceanic	sVo	sVo 	snVo			    # N  gd  
1051	-16.9166666667	168.5	ngu	Nguna		Austronesian	Oceanic	sVo	sVo 	snVo			p     Na#gd  
1060	-15.5666666667	-175.616666667	nif	Niuafo'ou		Austronesian	Oceanic	Vso	Vso 	nVso		Vso	p     Na  dr 
1062	-19.05	-170.116666667	niu	Niuean		Austronesian	Oceanic	Vso	Vsom	nVso		Vso	p   # Na g r 
1165	-16.5	168.25	pms	Paamese		Austronesian	Oceanic	sVo	sVo 	sⁿVo		sVo	p     Na#g r 
1145	-6.91666666667	146.583333333	pat	Patep		Austronesian	Oceanic	sVo	sVo 	sVon		sVo	p  g  Na# dr 
1174	6.88333333333	158.25	poh	Pohnpeian		Austronesian	Oceanic	sVo	sVom	snVo			p  g  Na#gdr 
1189	-16.5	167.75	psw	Port Sandwich		Austronesian	Oceanic	sVo	sVo 	sⁿVo			p     Na#gdr 
1192	7.33333333333	149.333333333	pul	Puluwat		Austronesian	Oceanic	sVo	sVo 	snVo		sVo	p  g# Na  dr 
1205	-15.5	168.166666667	rag	Raga		Austronesian	Oceanic	sVo	sVo 	snVnꜝ¹o			p     Na#gdr 
1209	-27.1166666667	-109.366666667	rap	Rapanui		Austronesian	Oceanic	Vso	Vso 	nVnˀ¹so	qVso		p   # Na gdr 
1227	-12.5	177.066666667	rot	Rotuman		Austronesian	Oceanic	sVo	sVom	snVnꜝ¹o	qsVo	sVo	p     Na#gdr 
1228	-8.25	157.333333333	rov	Roviana		Austronesian	Oceanic	Vso	Vsom	nVso			    # Na gdr 
1242	-15.1666666667	167.083333333	sak	Sakao		Austronesian	Oceanic	sVo	sVo 	sⁿVo		sVo	p     Na#gdr 
1299	-10.5833333333	150.716666667	slb	Saliba (in Papua New Guinea)		Austronesian	Oceanic	soV	soVm	snoV	soVq	soV	  dg  Na#  rp
1244	-13.9166666667	-171.833333333	sam	Samoan		Austronesian	Oceanic	Vsos	Vsos 	nV¹sos	qVsos	Vsos	p d # Na#gdr 
1288	-4.66666666667	152.916666667	sir	Siar		Austronesian	Oceanic	sVo	sVo 	snVo			p d #aN  gdr 
1310	-9.83333333333	147.833333333	sng	Sinaugoro		Austronesian	Oceanic	soV	soV 	sonV	soVq	soV	 rdg  Na#   p
1287	-5.95	147.333333333	sio	Sio		Austronesian	Oceanic	sVo	sVom	sVon	sVoq	sVo	p  g  Na# dr 
1289	-7.0	156.833333333	sis	Sisiqa		Austronesian	Oceanic	sVo	sVo 	snVo		wsVo	p   # Na gdr 
1317	-1.91666666667	138.75	sob	Sobei		Austronesian	Oceanic	sVo	sVom	snVo	sVoq	sVo	p  g  Na# dr 
1320	5.33333333333	132.25	son	Sonsorol-Tobi		Austronesian	Oceanic	sVo	sVo 	snV¹o	qsVo	sVo	p   #aNa gd  
1253	-16.3	168.216666667	sea	Southeast Ambrym		Austronesian	Oceanic	sVo	sVo 	sVo			      Na  dr 
1337	-11.5	153.45	sud	Sudest		Austronesian	Oceanic	sVo	sVo 	snV¹o			   g  Na# dr 
1354	-17.6666666667	-149.583333333	tah	Tahitian		Austronesian	Oceanic	Vso	Vso 	nVso		Vso	p dg# Na#g r 
1352	-5.53333333333	154.633333333	taf	Taiof		Austronesian	Oceanic	sVo	sVo 	snVo			    # Na gdr 
1357	-4.66666666667	146.0	tak	Takia		Austronesian	Oceanic	soV	somV	sonV	soVq		   g  Na  drp
1425	-15.6666666667	167.166666667	tmm	Tamabo		Austronesian	Oceanic	sVo	sVo 	snVo			      Na#gdr 
1366	-10.3333333333	150.666666667	taw	Tawala		Austronesian	Oceanic	soV	soV 	sonV¹			p dg  Na#  rp
1380	-5.66666666667	155.0	teo	Teop		Austronesian	Oceanic	sVo	sVo 	snVnꜝ¹o			p   # Na gdr 
1386	-2.71666666667	150.8	tgk	Tigak		Austronesian	Oceanic	sVo	sVom	snVo	sVoq	sVo	p   # Na gdr 
1405	-21.6666666667	165.75	tin	Tinrin		Austronesian	Oceanic	sVos	sVos 	snV¹os		sVos	p   #aN  gdr 
1370	-2.58333333333	140.666666667	tbt	Tobati		Austronesian	Oceanic	osV	osV 	osnVnˀ¹		osV	   g  Na# drp
1415	-4.25	152.083333333	tla	Tolai		Austronesian	Oceanic	sVo	sVom	snV¹o	qsVo		p d #aNa g r 
1433	-21.1666666667	-175.166666667	tng	Tongan		Austronesian	Oceanic	Vsos	Vsos 	nV¹sos		Vsos	p     Na#gdr 
1475	-3.08333333333	142.416666667	tum	Tumleo		Austronesian	Oceanic	sVo	sVo 	sVo			      Na#    
1435	-2.55	150.25	tnk	Tungak		Austronesian	Oceanic	sVo	sVo 	sVo			p   # Na gdr 
1481	-8.5	179.166666667	tvl	Tuvaluan		Austronesian	Oceanic	oVs	oVs 	onVs			p   # Na gdr 
1497	9.91666666667	139.583333333	uli	Ulithian		Austronesian	Oceanic	sVo	sVom	snVo			p  g# Na  dr 
1500	-18.6666666667	169.083333333	ura	Ura		Austronesian	Oceanic	sVo	sVo 	sVo			      Na#g   
1517	-16.1666666667	167.416666667	vnm	Vinmavis		Austronesian	Oceanic	sVo	sVo 	snVnꜝ¹o		sVo	p     Na#gdr 
1536	-10.1666666667	150.166666667	wed	Wedau		Austronesian	Oceanic	soV	soV 	sonV¹		soV	p dg  Na    p
1556	7.33333333333	143.833333333	wol	Woleaian		Austronesian	Oceanic	sVo	sVom	snVo		sVo	p  g# Na gdr 
1575	-21.6666666667	166.0	xar	Xârâcùù		Austronesian	Oceanic	sVo	sVom	snVo			p  g#aN  gd  
1140	22.5	120.833333333	pai	Paiwan		Austronesian	Paiwan	Vsos	Vsos 	nV¹sos		wVsos	p d   Na#g r 
1141	7.5	134.583333333	pal	Palauan		Austronesian	Palauan	sVo	sVom	snVo		Vso	p d #aN  g r 
1232	22.8333333333	120.833333333	ruk	Rukai (Tanan)		Austronesian	Rukai	Vsos	Vsos 	nV¹sos		Vsos	prd #aNa g r 
121	-4.33333333333	123.0	baj	Bajau (Sama)		Austronesian	Sama-Bajaw	*	* 	*			p     Na gdr 
236	6.33333333333	116.333333333	bwc	Bajau (West Coast)		Austronesian	Sama-Bajaw	sVso	sVso 	snV¹so			p   # Na gdr 
56	-1.83333333333	136.5	amq	Ambai		Austronesian	South Halmahera - West New Guinea	sVo	sVom	sVon	sVoq	sVo	p  g  Na# dr 
158	-1.0	136.0	bik	Biak		Austronesian	South Halmahera - West New Guinea	sVo	sVom	sVon		wsVo	p  g  Na# dr 
553	-3.0	133.5	irr	Irarutu		Austronesian	South Halmahera - West New Guinea	sVo	sVo 	sVon		sVo	p  g  Na# d  
936	-2.95	135.75	mor	Mor		Austronesian	South Halmahera - West New Guinea	sVo	sVo 	sVon		sVo	p  g  Na# d  
1350	0.0	127.5	tab	Taba		Austronesian	South Halmahera - West New Guinea	sVo	sVom	sVon		sVo	p  g  Na# dr 
1565	-1.66666666667	137.583333333	wrm	Warembori		Austronesian	South Halmahera - West New Guinea	sVo	sVo 	sVon			p  g  Na     
224	-4.0	120.0	bug	Bugis		Austronesian	South Sulawesi	sVo	sVo 	snV¹o		sVo	      N  gdr 
1588	9.58333333333	138.166666667	yap	Yapese		Austronesian	Yapese	Vso	Vso 	nVso			p   # Na gdr 
410	-3.0	141.583333333	fqs	Momu		Baibai-Fas	Baibai-Fas	soV	soV 	soV			   g  N     p
146	14.9166666667	-3.83333333333	bgm	Bangime		Bangime	Bangime	soV	soV 	soV			      Na#    
104	1.5	-78.25	awp	Awa Pit		Barbacoan	Barbacoan	soV	smoV	sonVnꜝ¹	soVq	soV	  dg#aN     p
248	0.666666666667	-79.0	cay	Cayapa		Barbacoan	Barbacoan	soV	soV 	soVⁿ		wsoV	  dg#aN      
1458	-1.0	-79.3333333333	tsf	Tsafiki		Barbacoan	Barbacoan	soV	soV 	soVⁿ			 rdg#aN     p
216	43.0	-3.0	bsq	Basque		Basque	Basque	soV	smoV	sonV		soV	 r g# Na  d p
142	10.3333333333	34.6666666667	ber	Berta		Berta	Berta	sVo	sVo 	sⁿVo	sVoq		      Na# ᵈr 
218	7.16666666667	-71.25	bti	Betoi		Betoi	Betoi	soV	soV 	soVⁿ		wsoV	      N     p
53	-3.58333333333	141.25	amn	Amanab		Border	Border	soV	smoV	sonVnꜝ¹		soV	  dg  Na     
106	-2.91666666667	140.583333333	awy	Awyi		Border	Border	soV	soV 	soV			      Na#    
864	-3.0	140.833333333	mem	Manem		Border	Border	soV	soV 	soV			      N      
898	-7.66666666667	139.416666667	mkl	Maklew		Bulaka River	Bulaka River	soV	soV 	sonV¹			   g  N #   p
1605	-7.66666666667	139.166666667	ylm	Yelmek		Bulaka River	Bulaka River	soV	soV 	sonV¹			   g  N #g  p
183	-17.75	125.75	bnb	Bunuba		Bunuban	Bunuban	*	* 	*			p dg aN     p⁴
459	-18.3333333333	126.333333333	goo	Gooniyandi		Bunuban	Bunuban	*	* 	*			p dg# Na g  p⁴
229	36.5	74.5	bur	Burushaski		Burushaski	Burushaski	soV	soV 	soⁿV		soV	 rdg#aN     p
1539	33.3333333333	-97.3333333333	wic	Wichita		Caddoan	Northern Caddoan	soVs	soVs 	sonV¹s			  d # Na   r 
571	-5.41666666667	-76.5	jeb	Jebero		Cahuapanan	Cahuapanan	*	* 	*			  d  aN  g r 
242	1.16666666667	-77.0	cam	Camsá		Camsá	Camsá	*	* 	*			    #aNa    p
243	-4.16666666667	-77.0	can	Candoshi		Candoshi	Candoshi	soV	soV 	soVⁿ			   g  N      
74	0.0	-54.0	apl	Apalaí		Cariban	Cariban	soVs	soVms²	soVⁿs		soVs	   g# Na#   p
244	5.5	-56.0	car	Carib		Cariban	Cariban	soV	soV 	soVⁿ			  dg#aN     p
253	5.5	-65.0	cde	Carib (De'kwana)		Cariban	Cariban	soV	soVm	soVⁿ		wsoV	  dg# Na   rp
501	-1.0	-59.0	hix	Hixkaryana		Cariban	Cariban	oVs	oVms²	oVⁿs		woVs	   g# Na   rp
641	-12.4166666667	-53.0833333333	kkq	Kuikúro		Cariban	Cariban	oVs	oVs 	oVs			   g  N    ³p
818	4.0	-60.0	mac	Macushi		Cariban	Cariban	soVs	soVs 	soVn¹s		wsoVs	 rdg# Na   rp
1406	3.25	-55.75	tir	Tiriyo		Cariban	Cariban	oVs	oVs 	oVⁿs		woVs	   g  N     p
1521	1.0	-59.0	wai	Wai Wai		Cariban	Cariban	*	* 	*			   g  N     p
318	-13.5	-65.5	cyv	Cayuvava		Cayuvava	Cayuvava	Vos	Vos 	ⁿVos			p d #aN  g   
119	11.6666666667	16.0	bag	Bagirmi		Central Sudanic	Bongo-Bagirmi	sVo	sVom	sVon	sVoq	sVo	p     Na#gdr 
149	4.33333333333	20.5833333333	bgr	Bagiro		Central Sudanic	Bongo-Bagirmi	sVo	sVom	sVon		sVo	p     N #gdrp
164	4.83333333333	29.25	bka	Baka (in South Sudan)		Central Sudanic	Bongo-Bagirmi	sVo	sVo 	sVon			p    aN #gdr 
148	7.5	28.5	bgo	Bongo		Central Sudanic	Bongo-Bagirmi	sVo	sVo 	snVnˀ¹o	sVoq	sVo	p d  aNa gdꜝoun  
474	9.5	22.5	gul	Gula (in Central African Republic)		Central Sudanic	Bongo-Bagirmi	sVo	sVo 	sVon	sVoq		p     Na#gdrp
576	6.0	30.0	jmo	Jur Mödö		Central Sudanic	Bongo-Bagirmi	sVo	sVom	sVon		sVo	p     Na gdr 
593	10.0	23.0	kar	Kara (in Central African Republic)		Central Sudanic	Bongo-Bagirmi	sVo	sVo 	sVon	sVoq	sVo	p     Na#gdr 
609	12.0	18.0	ken	Kenga		Central Sudanic	Bongo-Bagirmi	sVo	sVo 	sVon	sVoq		p     N #gdrp
844	8.25	17.5	mby	Mbay		Central Sudanic	Bongo-Bagirmi	sVo	sVom	sVon	sVoq	sVo	p     Na#gdrp
1047	8.66666666667	16.0	ngm	Ngambay		Central Sudanic	Bongo-Bagirmi	sVo	sVom	sVon	sVoq	sVo	p     Na#gdr 
1618	8.5	25.25	yul	Yulu		Central Sudanic	Bongo-Bagirmi	sVo	sVom	sVno	sVoq		p     Na#gdr 
31	7.33333333333	25.6666666667	aja	Aja		Central Sudanic	Kresh	sVo	sVo 	sVon			p   #aN #g   
701	8.5	24.5	kre	Kresh		Central Sudanic	Kresh	sVo	sVo 	snVnˀ¹o	sVoq	sVo	p   #aN  g r 
771	2.0	30.5	ldu	Lendu		Central Sudanic	Lendu	soVo	soVo 	sonVn¹o		soVo	 rdg#aN    rp
1089	1.33333333333	30.25	nti	Ngiti		Central Sudanic	Lendu	soVo	soVo 	sonV¹o			  dg#aN     p
843	2.5	26.5	mbt	Mangbetu		Central Sudanic	Mangbetu	sVo	sVo 	snVn¹o			   g  Na#gᵈ  
778	2.0	29.0	les	Lese		Central Sudanic	Mangbutu-Efe	*	* 	*			   g  Na#gd  
912	3.25	29.0	mmv	Mamvu		Central Sudanic	Mangbutu-Efe	sVo	sVo 	sⁿVo			   g  Na#gd  
100	4.66666666667	30.0	avo	Avokaya		Central Sudanic	Moru-Ma'di	soVo	soVo 	soVo			   g  N  gd p
783	3.5	30.0	lgt	Logoti		Central Sudanic	Moru-Ma'di	soVo	soVo 	sVon	soVoq	soVo	   g  Na# drp
808	3.08333333333	30.9166666667	lug	Lugbara		Central Sudanic	Moru-Ma'di	soVo	soVo 	sVon	soVoq	soVo	   g  Na# drp
819	3.25	31.5	mad	Ma'di		Central Sudanic	Moru-Ma'di	soVo	soVo 	sVon	soVoq	soVo	   g  Na#gdrp
939	4.75	29.75	mou	Moru		Central Sudanic	Moru-Ma'di	soVo	soVo 	sVon	soVoq	soVo	      Na#gdrp
1203	47.9166666667	-124.25	qui	Quileute		Chimakuan	Chimakuan	Vso	Vso 	nVso		wVso	  d #aN  g   
310	29.6666666667	-91.0	ctm	Chitimacha		Chitimacha	Chitimacha	soV	soV 	soVⁿ	soVq		   g  Na#  rp
392	3.0	-77.0	epe	Epena Pedee		Choco	Choco	soV	soVm	soVⁿ		wsoV	  dg  Na#  ⁵p
1258	-53.0	-70.0	sel	Selknam		Chonan	Chonan Proper	oVs	oVs 	oVns			     aN     p
445	-41.0	-67.0	gku	Gününa Küne		Chonan	Puelche	sVos	sVos 	sⁿVos			p  g# Na g   
249	34.5	-120.25	cba	Chumash (Barbareño)		Chumash	Chumash	Vos	Vos 	ⁿVos			p ᵈ   N  g   
291	28.0	-100.0	coa	Coahuilteco		Coahuiltecan	Coahuiltecan	soV	soV 	soVⁿ			   g  N      
797	-12.5	131.916666667	lml	Limilngan		Darwin Region	Limilngan	*	* 	*			  d   Na# d  
326	14.3333333333	-3.58333333333	dds	Donno So		Dogon	Dogon	soV	soV 	soVⁿ	soVq		   g  Na# d⁵p
577	14.4166666667	-2.5	jms	Jamsay		Dogon	Dogon	soV	soV 	soVⁿ	soVq	soV	 r g  Na# drp
165	11.5	76.75	bkb	Betta Kurumba		Dravidian	Dravidian	soV	soV 	soV			      N     p
458	19.0	81.0	gon	Gondi		Dravidian	Dravidian	soV	soV 	soVⁿ	soVq	soV	  dg#aN     p
671	14.0	76.0	knd	Kannada		Dravidian	Dravidian	soV	soV 	soVⁿ	soVq	soV	 rdg#aN    rp
686	20.0	78.5	kol	Kolami		Dravidian	Dravidian	soV	soV 	soVⁿn¹		soV	 rdg#aN     p
692	17.5	81.3333333333	koy	Koya		Dravidian	Dravidian	soV	somV	soVⁿ			 rdg#aN      
731	18.75	82.6666666667	kuv	Kuvi		Dravidian	Dravidian	soV	soV 	soVⁿ	soVq	soV	 rdg#aN     p
998	10.0	76.5	mym	Malayalam		Dravidian	Dravidian	soV	soV 	soVⁿ	soVq	soV	 rdg#aN      
970	25.0	87.3333333333	mto	Malto		Dravidian	Dravidian	soV	soV 	soV			  d #aN      
1424	11.0	78.5	tml	Tamil		Dravidian	Dravidian	soV	smoV	soVⁿ		soV	 rdg#aN     p
1378	16.0	79.0	tel	Telugu		Dravidian	Dravidian	soV	soV 	soVⁿ		soV	 rdg#aN     p
1474	12.75	75.3333333333	tul	Tulu		Dravidian	Dravidian	soV	soV 	soVⁿ		soV	  dg#aN     p
373	-5.5	142.5	dun	Duna		Duna-Bogaya	Duna	soV	soV 	sonVnˀ¹	soVq	soV	   g  Na# d p
859	-1.16666666667	133.5	mea	Meyah		East Bird's Head	East Bird's Head	sVo	sVom	sVon	sVoq	sVo	p  g  Na# dr 
1263	-1.5	134.0	sgb	Sougb		East Bird's Head	East Bird's Head	sVo	sVo 	sVon		sVo	p  g  Na# dr 
667	-13.5833333333	130.833333333	kmw	Kamu		Eastern Daly	Eastern Daly	*	* 	*			      Na  d p
853	-13.8333333333	130.416666667	mdl	Matngele		Eastern Daly	Eastern Daly	soV	soV 	sonV¹		soV	      Na#   p
1279	10.8333333333	30.0	sht	Shatt		Eastern Sudanic	Daju	sVo	sVo 	sVon			      Na#gdr 
1284	12.3333333333	21.75	sil	Sila		Eastern Sudanic	Daju	soV	soV 	sonV			      Na g   
538	11.5	34.0	igs	Ingessana		Eastern Sudanic	Eastern Jebel	sVo	sVo 	sVon		sVo	p     Na gᵈr 
126	5.0	31.6666666667	bar	Bari		Eastern Sudanic	Eastern Nilotic	sVo	sVo 	snVo		sVo	p d   Na#g r 
659	3.0	34.1666666667	kmj	Karimojong		Eastern Sudanic	Eastern Nilotic	Vso	Vsom	nⁿVso	Vsoq	Vso	p     Na#gdr 
816	-3.0	36.0	maa	Maasai		Eastern Sudanic	Eastern Nilotic	Vso	Vso 	nⁿVso	qVso	Vso	p d   Na#g r 
1644	0.25	35.0		Nandi		Eastern Sudanic	Eastern Nilotic	Vso	Vsom	ⁿVso	Vsoq	Vso	p     Na#gᵈr 
1383	1.83333333333	33.8333333333	tes	Teso		Eastern Sudanic	Eastern Nilotic	Vso	Vso 	nsVo			p     Na#gdr 
1429	3.0	35.5	tna	Turkana		Eastern Sudanic	Eastern Nilotic	Vso	Vsom	ⁿVso	Vsoq	Vso	p     Na#gdr 
541	3.75	34.1666666667	ik	Ik		Eastern Sudanic	Kuliak	Vso	Vso 	nVso	Vsoq	wVso	p  g  Na#gᵈr 
1316	2.58333333333	34.75	so	So		Eastern Sudanic	Kuliak	Vso	Vso 	nVso	Vsoq	wVso	p     Na#gdr 
823	6.75	35.0	maj	Majang		Eastern Sudanic	Majang	Vso	Vsom	nsVo	Vsoq	Vso	     aN #gdrp
1012	15.0833333333	37.5833333333	nar	Nara (in Ethiopia)		Eastern Sudanic	Nara	soV	soV 	sonV			   g  Na  drp
1018	18.25	30.75	nbd	Nubian (Dongolese)		Eastern Sudanic	Nubian	soV	soV 	soVⁿ		soV	  dg  Na#  rp
1069	23.0	33.0	nku	Nubian (Kunuz)		Eastern Sudanic	Nubian	soV	soV 	soVⁿ			  dg  Na#  r 
1102	12.1666666667	29.3333333333	nyi	Nyimang		Eastern Sudanic	Nyimang	soV	soV 	sonV			   g  Na  d p
240	5.33333333333	35.3333333333	cai	Chai		Eastern Sudanic	South Surmic	soVo	soVo 	sonVn¹o		soVo	  d   Na#gdꜝoun p
341	4.5	33.5	did	Didinga		Eastern Sudanic	South Surmic	Vso	Vso 	nVso			p     Na#gdr 
683	7.0	36.0833333333	koe	Koegu		Eastern Sudanic	South Surmic	sVo	sVo 	snVⁿo			p     Na#gdr 
860	5.0	37.0	mee	Me'en		Eastern Sudanic	South Surmic	sVo	sVo 	soVⁿ	sVoq	sVo	      Na#gᵈr 
953	6.5	33.5	mrl	Murle		Eastern Sudanic	South Surmic	Vso	Vsom	nVso		Vso	p     Na#gdrp
981	5.58333333333	36.0833333333	mur	Mursi		Eastern Sudanic	South Surmic	sVo	sVo 	sonV			      Na#gᵈr 
1379	4.41666666667	32.5	ten	Tennet		Eastern Sudanic	South Surmic	Vso	Vsom	nsVo		Vso	p     Na#gdrp
1453	5.75	35.25	trm	Tirmaga		Eastern Sudanic	South Surmic	sVo	sVo 	sonVⁿ/so[n-V-n]		sVo	  d   N   dꜝounrp
1159	1.5	35.5	pkt	Pokot		Eastern Sudanic	Southern Nilotic	Vso	Vsom	nVnˀ¹so		Vso	p     Na#gᵈr 
1254	1.33333333333	34.5833333333	seb	Sebei		Eastern Sudanic	Southern Nilotic	Vso	Vso 	Vso			p     Na#gᵈ  
1421	14.5	22.0	tma	Tama		Eastern Sudanic	Taman	soV	soV 	soVⁿ			   g  Na     
1426	11.9166666667	29.4166666667	tmn	Temein		Eastern Sudanic	Temein	sVo	sVo 	snVnˀ¹o			      Na#gd  
11	3.0	32.6666666667	acl	Acholi		Eastern Sudanic	Western Nilotic	sVo	sVo 	snVn¹o		sVo	p     Na#g r 
70	8.0	33.5	any	Anywa		Eastern Sudanic	Western Nilotic	*	* 	*		*	p     Na#gᵈr 
345	8.5	28.0	din	Dinka		Eastern Sudanic	Western Nilotic	soVo	soVo 	snoV		soVo	p     Na#gᵈrp
763	2.16666666667	33.0	lan	Lango		Eastern Sudanic	Western Nilotic	sVo	sVom	snVo		sVo	p     Na#gdr 
812	-0.5	34.75	luo	Luo		Eastern Sudanic	Western Nilotic	sVo	sVom	snV¹o		sVo	p     Na#gdr 
1094	8.33333333333	32.0	nue	Nuer		Eastern Sudanic	Western Nilotic	soVo	soVo 	soVn		soVo	p     Na#gdr 
1144	5.0	32.5	par	Päri		Eastern Sudanic	Western Nilotic	oVs	oVms²	onV¹s		oVs	p     Na#g r 
1273	9.66666666667	31.75	shl	Shilluk		Eastern Sudanic	Western Nilotic	sVo	sVo 	snVo		sVo	p     Na#g   
866	-9.91666666667	144.083333333	mer	Meryam Mir		Eastern Trans-Fly	Eastern Trans-Fly	soV	soV 	sonV¹		soV	   g#aN      
37	54.0	-166.0	ale	Aleut		Eskimo-Aleut	Aleut	soV	soV 	soV			      N      
467	64.0	-51.0	grw	Greenlandic (West)		Eskimo-Aleut	Eskimo	soV	somV	soVⁿ		soV	  dg  Na# drp
1611	59.5	-160.0	ypk	Yup'ik (Central)		Eskimo-Aleut	Eskimo	*	* 	*		w*	     aNa     
1620	65.0	-173.0	yus	Yupik (Siberian)		Eskimo-Aleut	Eskimo	*	*oVm	*			   g  N   d  
415	13.5	25.0	fur	Fur		Fur	Fur	soV	soV 	sonVnꜝ¹		soV	  dg  Na#  rp
465	-17.0833333333	137.166666667	grr	Garrwa		Garrwan	Garrwan	sVso	sVso 	snV¹so		wsVso	p dg# Na#    
238	-2.5	137.5	bzi	Bauzi		Geelvink Bay	Geelvink Bay	soV	smoV	soVn			      N     p
424	12.0	92.6666666667	gan	Great Andamanese		Great Andamanese	Great Andamanese	soV	soV 	soV			   g  Na    p
8	-8.25	124.666666667	abv	Abui		Greater West Bomberai	Alor-Pantar	soV	soV 	soVn		soV	  dg  Na#  r 
16	-8.2	124.0	adg	Adang		Greater West Bomberai	Alor-Pantar	soV	soV 	sonVnˀ¹		soV	   g  Na# d p
897	-8.66666666667	126.5	mkj	Makasae		Greater West Bomberai	East Timor	soV	soV 	sonV			   g  Na gdrp
137	-3.16666666667	132.666666667	bdw	Baham		Greater West Bomberai	West Bomberai	soV	soV 	soV			      Na  d  
539	-2.91666666667	132.25	iha	Iha		Greater West Bomberai	West Bomberai	soV	somV	soV			      N      
315	6.5	-70.0	cui	Cuiba		Guahiban	Guahiban	soV	soV 	sonVnꜝ¹			      Na     
436	5.0	-69.0	ghb	Guahibo		Guahiban	Guahiban	soV	soV 	soV		wsoV	      N    rp
3	-29.0	-61.0	abi	Abipón		Guaicuruan	Abipon	sVo	sVom	snV¹o		wsVo	p dg aNa g r 
605	-20.0	-57.0	kdw	Kadiwéu		Guaicuruan	Kadiwéu	sVo	sVo 	sⁿVo		wsVo	   g  N  g   
849	-28.0	-60.5	mcv	Mocoví		Guaicuruan	Qom	sVo	sVo 	sⁿVo		wsVo	  dg#aNa g r 
1152	-25.0	-60.0	pga	Pilagá		Guaicuruan	Qom	sVo	sVo 	sⁿVo	qsVo	wsVo	  d   Na g r 
1439	-26.5	-59.0	tob	Toba		Guaicuruan	Qom	sVos	sVos 	sⁿVos		wsVos	  d #aN  g   
468	-17.0	-58.0	gto	Guató		Guató	Guató	Vso	Vso 	Vso			p d   Na g   
449	12.5	35.8333333333	gmz	Gumuz		Gumuz	Gumuz	sVo	sVo 	sVn¹o			p    aNa gdr 
67	-14.0	136.5	ann	Anindilyakwa		Gunwinyguan	Anindilyakwa	*	* 	*			p dg  N  g  p⁴
1046	-14.25	134.0	ngl	Ngalakan		Gunwinyguan	Eastern Gunwinyguan	*	* 	*			  dg  Na g r 
1222	-12.8333333333	134.583333333	rmb	Rembarnga		Gunwinyguan	Eastern Gunwinyguan	soV	soV 	soV			  d   N      
132	-12.5	133.75	bbw	Bininj Gun-Wok		Gunwinyguan	Marne	*	*oVm	*	q*	w*	p dg#aNa# d p
450	-12.0	134.0	gnb	Gunbalang		Gunwinyguan	Marne	sVo	sVom	sV¹⁰&nVnꜝ¹o		wsVo	p d #aN    r 
1064	-13.5	134.833333333	nkb	Ngalkbun		Gunwinyguan	Marne	soV	soV 	soV	qsoV		      Na g   
1095	-13.75	135.666666667	nug	Nunggubuyu		Gunwinyguan	Nunggubuyu	*	* 	*		w*	  dg aNa g r 
1568	-13.1666666667	131.25	wry	Waray (in Australia)		Gunwinyguan	Western Gunwinyguan	sVo	sVo 	sVo			      N     p
482	53.0	-132.0	hai	Haida		Haida	Haida	soV	smoV	sonVnꜝ¹			  dg  Na#  ⁵p
488	-1.0	134.0	hat	Hatam		Hatim-Mansim	Hatim-Mansim	sVo	sVom	sVon	sVoq	sVo	p  g  Na# dr 
1169	24.0	107.0	pnu	Bunu (Younuo)		Hmong-Mien	Hmongic	sVo	sVo 	snV¹o			   g# Na  d  
506	28.0	105.0	hmo	Hmong Njua		Hmong-Mien	Hmongic	sVo	sVo 	snVo		sVo	p  g# Na  dr 
880	25.0	111.0	mie	Mien		Hmong-Mien	Mienic	sVo	sVo 	snV¹o	sVoq	sVo	  dg# Na     
280	-8.0	-77.5	cln	Cholón		Hobitu-Cholon	Hobitu-Cholon	soV	soV 	soVⁿ			  dg#aN     p
540	4.91666666667	5.66666666667	ijo	Ijo (Kolokuma)		Ijoid	Ijoid	soV	soV 	soVⁿn¹		soV	 rdg#aN      
554	-13.0	-58.0	irx	Iranxe		Iranxe	Iranxe	soV	soV 	soVⁿ			   g  Na#    
931	43.5	-74.25	moh	Mohawk		Iroquoian	Northern Iroquoian	*	* 	*			  dg# N      
1119	43.0	-75.6666666667	ond	Oneida		Iroquoian	Northern Iroquoian	*	* 	*		w*	  dg  N  g ⁵ 
1309	42.5	-77.5	snc	Seneca		Iroquoian	Northern Iroquoian	*	* 	*			      N      
1478	36.0	-77.5	tus	Tuscarora		Iroquoian	Northern Iroquoian	*	* 	*		w*	      N      
1573	44.3333333333	-77.5	wya	Wyandot		Iroquoian	Northern Iroquoian	*	* 	*			      N      
262	35.5	-83.5	che	Cherokee		Iroquoian	Southern Iroquoian	*	* 	*		w*	 rdg#aN     p
559	-12.8333333333	-64.3333333333	ito	Itonama		Itonama	Itonama	sVo	sVo 	sVo			  dg aNa g   
