direct	present		middle/passive	indicative	ᾰ̓́γομαι	ᾰ̓́γῃ,ᾰ̓́γει	ᾰ̓́γεται	ᾰ̓́γεσθον	ᾰ̓́γεσθον	ᾰ̓γόμεθᾰ	ᾰ̓́γεσθε	ᾰ̓́γονται								
direct	present		middle/passive	subjunctive	ᾰ̓́γωμαι	ᾰ̓́γῃ	ᾰ̓́γηται	ᾰ̓́γησθον	ᾰ̓́γησθον	ᾰ̓γώμεθᾰ	ᾰ̓́γησθε	ᾰ̓́γωνται								
direct	present		middle/passive	optative	ᾰ̓γοίμην	ᾰ̓́γοιο	ᾰ̓́γοιτο	ᾰ̓́γοισθον	ᾰ̓γοίσθην	ᾰ̓γοίμεθᾰ	ᾰ̓́γοισθε	ᾰ̓́γοιντο								
direct	present		middle/passive	imperative	 	ᾰ̓́γου	ᾰ̓γέσθω	ᾰ̓́γεσθον	ᾰ̓γέσθων	 	ᾰ̓́γεσθε	ᾰ̓γέσθων								
direct	imperfect		active	indicative	ἦγον	ἦγες	ἦγε(ν)	ἤγετον	ἠγέτην	ἤγομεν	ἤγετε	ἦγον								
direct	imperfect		middle/passive	indicative	ἠγόμην	ἤγου	ἤγετο	ἤγεσθον	ἠγέσθην	ἠγόμεθᾰ	ἤγεσθε	ἤγοντο								
direct	future		active	indicative	ᾰ̓́ξω	ᾰ̓́ξεις	ᾰ̓́ξει	ᾰ̓́ξετον	ᾰ̓́ξετον	ᾰ̓́ξομεν	ᾰ̓́ξετε	ᾰ̓́ξουσῐ(ν)								
direct	future		active	optative	ᾰ̓́ξοιμῐ	ᾰ̓́ξοις	ᾰ̓́ξοι	ᾰ̓́ξοιτον	ᾰ̓ξοίτην	ᾰ̓́ξοιμεν	ᾰ̓́ξοιτε	ᾰ̓́ξοιεν								
direct	future		middle	indicative	ᾰ̓́ξομαι	ᾰ̓́ξῃ,ᾰ̓́ξει	ᾰ̓́ξεται	ᾰ̓́ξεσθον	ᾰ̓́ξεσθον	ᾰ̓ξόμεθᾰ	ᾰ̓́ξεσθε	ᾰ̓́ξονται								
direct	future		middle	optative	ᾰ̓ξοίμην	ᾰ̓́ξοιο	ᾰ̓́ξοιτο	ᾰ̓́ξοισθον	ᾰ̓ξοίσθην	ᾰ̓ξοίμεθᾰ	ᾰ̓́ξοισθε	ᾰ̓́ξοιντο								
direct	future		passive	indicative	ᾰ̓χθήσομαι	ᾰ̓χθήσῃ	ᾰ̓χθήσεται	ᾰ̓χθήσεσθον	ᾰ̓χθήσεσθον	ᾰ̓χθησόμεθᾰ	ᾰ̓χθήσεσθε	ᾰ̓χθήσονται								
direct	future		passive	optative	ᾰ̓χθησοίμην	ᾰ̓χθήσοιο	ᾰ̓χθήσοιτο	ᾰ̓χθήσοισθον	ᾰ̓χθησοίσθην	ᾰ̓χθησοίμεθᾰ	ᾰ̓χθήσοισθε	ᾰ̓χθήσοιντο								
direct	aorist		active	indicative	ἤγᾰγον	ἤγᾰγες	ἤγᾰγε(ν)	ἠγᾰ́γετον	ἠγᾰγέτην	ἠγᾰ́γομεν	ἠγᾰ́γετε	ἤγᾰγον								
direct	aorist		active	subjunctive	ᾰ̓γᾰ́γω	ᾰ̓γᾰ́γῃς	ᾰ̓γᾰ́γῃ	ᾰ̓γᾰ́γητον	ᾰ̓γᾰ́γητον	ᾰ̓γᾰ́γωμεν	ᾰ̓γᾰ́γητε	ᾰ̓γᾰ́γωσῐ(ν)								
