	Id	English	Part	hieroglyphics	transcription	
273	13-102	twelve	numeral			
274	13-103	fifteen	numeral			
275	13-104	twenty	numeral			
276	13-105	hundred	numeral	𓍢	št	
277	13-106	thousand	numeral			
278	13-107	count	noun	𓇋𓊪𓏛	jp	
279	13-140	every|all	adjective	𓎟	nb	
280	13-150	much|many	adjective	𓆈𓄿𓏥	ꜥšꜣ	
281	13-160	more	adjective	𓇉𓄿𓅱𓏛𓏥𓁷𓏤	ḥꜣw ḥr	
282	13-170	little|few	adjective	𓂝𓈖𓂧𓅪	ꜥnd	
283	13-180	enough	adjective			
284	13-181	some	adjective	𓈖𓉔𓄿𓏲𓅪𓏭𓏛𓏥	nhy	
285	13-190	multitude|crowd	noun	𓂧𓋬𓅓𓆓𓅱𓏛𓀭𓏥	dmḏw	
286	13-20	two	numeral	𓌢𓈖𓏌𓏲𓏮	snw	
287	13-210	full	adjective	𓏏𓏏𓏝	twt	
288	13-220	empty	adjective			
289	13-230	part|piece	noun	𓊪𓊃𓈙𓏏𓏭𓏴𓏛	psšty	
290	13-240	half	adjective	𓎼𓋴𓐛	gs	
291	13-30	three	numeral	𓐍𓂸𓏏𓏥	ḫmt	
292	13-330	alone|only	adjective	𓌡𓏲𓂝𓏤𓅪	wꜥj	
293	13-340	first	ordinal	𓄂𓏏𓏭𓏴𓂻𓏪	ḥꜣwtyw	
294	13-350	last	adjective			
295	13-360	second	ordinal	𓎔𓏭𓏏	mḥ sn	
296	13-370	pair	noun	𓎛𓏏𓏭𓇋𓇋𓄛	ḥꜣjty	
297	13-380	twice	adverbial	𓊃𓊪𓊗	sp	
298	13-40	four	numeral	𓆑𓂧𓅱𓏭𓏮	fdw	
299	13-420	third	ordinal	𓐍𓂸𓏥𓏌	ḫmt nw	
300	13-440	thrice	adverbial			
301	13-50	five	numeral			
302	13-60	six	numeral			
303	13-70	seven	numeral	𓊃𓆑𓐍𓅱𓏭𓏭𓏥	sfḫw	
304	13-80	eight	numeral			
305	13-90	nine	numeral	𓊪𓋴𓆓𓏥𓏥𓏥	psḏ	
306	14-110	time	noun	𓂋𓂋𓆵	rr	
307	14-120	age	noun			
308	14-130	new	adjective	𓌳𓄿𓏛	mꜣwy	
309	14-140	young	adjective	𓈙𓂋𓇋𓅪𓀀	šrj	
310	14-150	old	adjective	𓇋𓇩𓋴𓏭𓆰𓏫	jsy	
311	14-160	early	adjective			
