appear	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)
see	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
see	subjunctive	subjunctive	first	second	third	first	second	third
see	active	present	videam	videās	videat	videāmus	videātis	videant
see	active	imperfect	vidērem	vidērēs	vidēret	vidērēmus	vidērētis	vidērent
see	active	perfect	vīderim	vīderīs	vīderit	vīderīmus	vīderītis	vīderint
see	active	pluperfect	vīdissem	vīdissēs	vīdisset	vīdissēmus	vīdissētis	vīdissent
see	passive	present	videar	videāris, videāre	videātur	videāmur	videāminī	videantur
see	passive	imperfect	vidērer	vidērēris, vidērēre	vidērētur	vidērēmur	vidērēminī	vidērentur
see	passive	perfect	vīsus + present active subjunctive of sum	vīsus + present active subjunctive of sum	vīsus + present active subjunctive of sum	vīsus + present active subjunctive of sum	vīsus + present active subjunctive of sum	vīsus + present active subjunctive of sum
see	passive	pluperfect	vīsus + imperfect active subjunctive of sum	vīsus + imperfect active subjunctive of sum	vīsus + imperfect active subjunctive of sum	vīsus + imperfect active subjunctive of sum	vīsus + imperfect active subjunctive of sum	vīsus + imperfect active subjunctive of sum
see	imperative	imperative	singular	singular	singular	plural	plural	plural
see	imperative	imperative	first	second	third	first	second	third
see	active	present	—	vidē	—	—	vidēte	—
see	active	future	—	vidētō	vidētō	—	vidētōte	videntō
see	passive	present	—	vidēre	—	—	vidēminī	—
see	passive	future	—	vidētor	vidētor	—	—	videntor
see	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
see	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
see	infinitives	infinitives	vidēre	vīdisse	vīsūrum esse	vidērī, vidērier1	vīsum esse	vīsum īrī
see	participles	participles	vidēns	—	vīsūrus	—	vīsus	videndus
see	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
see	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
see	verbal nouns	verbal nouns	videndī	videndō	videndum	videndō	vīsum	vīsū
show	   conjugation of mōnstrō (first conjugation)	   conjugation of mōnstrō (first conjugation)	   conjugation of mōnstrō (first conjugation)	   conjugation of mōnstrō (first conjugation)	   conjugation of mōnstrō (first conjugation)	   conjugation of mōnstrō (first conjugation)	   conjugation of mōnstrō (first conjugation)	   conjugation of mōnstrō (first conjugation)
show	indicative	indicative	singular	singular	singular	plural	plural	plural
show	indicative	indicative	first	second	third	first	second	third
show	active	present	mōnstrō	mōnstrās	mōnstrat	mōnstrāmus	mōnstrātis	mōnstrant
show	active	imperfect	mōnstrābam	mōnstrābās	mōnstrābat	mōnstrābāmus	mōnstrābātis	mōnstrābant
show	active	future	mōnstrābō	mōnstrābis	mōnstrābit	mōnstrābimus	mōnstrābitis	mōnstrābunt
show	active	perfect	mōnstrāvī	mōnstrāvistī	mōnstrāvit	mōnstrāvimus	mōnstrāvistis	mōnstrāvērunt, mōnstrāvēre
show	active	pluperfect	mōnstrāveram	mōnstrāverās	mōnstrāverat	mōnstrāverāmus	mōnstrāverātis	mōnstrāverant
show	active	future perfect	mōnstrāverō	mōnstrāveris	mōnstrāverit	mōnstrāverimus	mōnstrāveritis	mōnstrāverint
show	passive	present	mōnstror	mōnstrāris, mōnstrāre	mōnstrātur	mōnstrāmur	mōnstrāminī	mōnstrantur
show	passive	imperfect	mōnstrābar	mōnstrābāris, mōnstrābāre	mōnstrābātur	mōnstrābāmur	mōnstrābāminī	mōnstrābantur
show	passive	future	mōnstrābor	mōnstrāberis, mōnstrābere	mōnstrābitur	mōnstrābimur	mōnstrābiminī	mōnstrābuntur
show	passive	perfect	mōnstrātus + present active indicative of sum	mōnstrātus + present active indicative of sum	mōnstrātus + present active indicative of sum	mōnstrātus + present active indicative of sum	mōnstrātus + present active indicative of sum	mōnstrātus + present active indicative of sum
show	passive	pluperfect	mōnstrātus + imperfect active indicative of sum	mōnstrātus + imperfect active indicative of sum	mōnstrātus + imperfect active indicative of sum	mōnstrātus + imperfect active indicative of sum	mōnstrātus + imperfect active indicative of sum	mōnstrātus + imperfect active indicative of sum
show	passive	future perfect	mōnstrātus + future active indicative of sum	mōnstrātus + future active indicative of sum	mōnstrātus + future active indicative of sum	mōnstrātus + future active indicative of sum	mōnstrātus + future active indicative of sum	mōnstrātus + future active indicative of sum
show	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
show	subjunctive	subjunctive	first	second	third	first	second	third
show	active	present	mōnstrem	mōnstrēs	mōnstret	mōnstrēmus	mōnstrētis	mōnstrent
show	active	imperfect	mōnstrārem	mōnstrārēs	mōnstrāret	mōnstrārēmus	mōnstrārētis	mōnstrārent
show	active	perfect	mōnstrāverim	mōnstrāverīs	mōnstrāverit	mōnstrāverīmus	mōnstrāverītis	mōnstrāverint
show	active	pluperfect	mōnstrāvissem	mōnstrāvissēs	mōnstrāvisset	mōnstrāvissēmus	mōnstrāvissētis	mōnstrāvissent
show	passive	present	mōnstrer	mōnstrēris, mōnstrēre	mōnstrētur	mōnstrēmur	mōnstrēminī	mōnstrentur
show	passive	imperfect	mōnstrārer	mōnstrārēris, mōnstrārēre	mōnstrārētur	mōnstrārēmur	mōnstrārēminī	mōnstrārentur
show	passive	perfect	mōnstrātus + present active subjunctive of sum	mōnstrātus + present active subjunctive of sum	mōnstrātus + present active subjunctive of sum	mōnstrātus + present active subjunctive of sum	mōnstrātus + present active subjunctive of sum	mōnstrātus + present active subjunctive of sum
show	passive	pluperfect	mōnstrātus + imperfect active subjunctive of sum	mōnstrātus + imperfect active subjunctive of sum	mōnstrātus + imperfect active subjunctive of sum	mōnstrātus + imperfect active subjunctive of sum	mōnstrātus + imperfect active subjunctive of sum	mōnstrātus + imperfect active subjunctive of sum
show	imperative	imperative	singular	singular	singular	plural	plural	plural
show	imperative	imperative	first	second	third	first	second	third
show	active	present	—	mōnstrā	—	—	mōnstrāte	—
show	active	future	—	mōnstrātō	mōnstrātō	—	mōnstrātōte	mōnstrantō
show	passive	present	—	mōnstrāre	—	—	mōnstrāminī	—
show	passive	future	—	mōnstrātor	mōnstrātor	—	—	mōnstrantor
show	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
show	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
show	infinitives	infinitives	mōnstrāre	mōnstrāvisse	mōnstrātūrum esse	mōnstrārī	mōnstrātum esse	mōnstrātum īrī
show	participles	participles	mōnstrāns	—	mōnstrātūrus	—	mōnstrātus	mōnstrandus
show	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
show	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
show	verbal nouns	verbal nouns	mōnstrandī	mōnstrandō	mōnstrandum	mōnstrandō	mōnstrātum	mōnstrātū
startle	   conjugation of pavefaciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of pavefaciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of pavefaciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of pavefaciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of pavefaciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of pavefaciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of pavefaciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of pavefaciō (third conjugation iō-variant, irregular and partially suppletive in the passive)
startle	indicative	indicative	singular	singular	singular	plural	plural	plural
startle	indicative	indicative	first	second	third	first	second	third
startle	active	present	pavefaciō	pavefacis	pavefacit	pavefacimus	pavefacitis	pavefaciunt
startle	active	imperfect	pavefaciēbam	pavefaciēbās	pavefaciēbat	pavefaciēbāmus	pavefaciēbātis	pavefaciēbant
startle	active	future	pavefaciam	pavefaciēs	pavefaciet	pavefaciēmus	pavefaciētis	pavefacient
startle	active	perfect	pavefēcī	pavefēcistī	pavefēcit	pavefēcimus	pavefēcistis	pavefēcērunt, pavefēcēre
startle	active	pluperfect	pavefēceram	pavefēcerās	pavefēcerat	pavefēcerāmus	pavefēcerātis	pavefēcerant
startle	active	future perfect	pavefēcerō	pavefēceris	pavefēcerit	pavefēcerimus	pavefēceritis	pavefēcerint
startle	passive	present	pavefīō	pavefīs	pavefit	pavefīmus	pavefītis	pavefīunt
startle	passive	imperfect	pavefīēbam	pavefīēbās	pavefīēbat	pavefīēbāmus	pavefīēbātis	pavefīēbant
startle	passive	future	pavefīam	pavefīēs	pavefīet	pavefīēmus	pavefīētis	pavefīent
startle	passive	perfect	pavefactus + present active indicative of sum	pavefactus + present active indicative of sum	pavefactus + present active indicative of sum	pavefactus + present active indicative of sum	pavefactus + present active indicative of sum	pavefactus + present active indicative of sum
startle	passive	pluperfect	pavefactus + imperfect active indicative of sum	pavefactus + imperfect active indicative of sum	pavefactus + imperfect active indicative of sum	pavefactus + imperfect active indicative of sum	pavefactus + imperfect active indicative of sum	pavefactus + imperfect active indicative of sum
startle	passive	future perfect	pavefactus + future active indicative of sum	pavefactus + future active indicative of sum	pavefactus + future active indicative of sum	pavefactus + future active indicative of sum	pavefactus + future active indicative of sum	pavefactus + future active indicative of sum
startle	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
startle	subjunctive	subjunctive	first	second	third	first	second	third
startle	active	present	pavefaciam	pavefaciās	pavefaciat	pavefaciāmus	pavefaciātis	pavefaciant
startle	active	imperfect	pavefacerem	pavefacerēs	pavefaceret	pavefacerēmus	pavefacerētis	pavefacerent
startle	active	perfect	pavefēcerim	pavefēcerīs	pavefēcerit	pavefēcerīmus	pavefēcerītis	pavefēcerint
startle	active	pluperfect	pavefēcissem	pavefēcissēs	pavefēcisset	pavefēcissēmus	pavefēcissētis	pavefēcissent
startle	passive	present	pavefīam	pavefīās	pavefīat	pavefīāmus	pavefīātis	pavefīant
startle	passive	imperfect	pavefierem	pavefierēs	pavefieret	pavefierēmus	pavefierētis	pavefierent
startle	passive	perfect	pavefactus + present active subjunctive of sum	pavefactus + present active subjunctive of sum	pavefactus + present active subjunctive of sum	pavefactus + present active subjunctive of sum	pavefactus + present active subjunctive of sum	pavefactus + present active subjunctive of sum
startle	passive	pluperfect	pavefactus + imperfect active subjunctive of sum	pavefactus + imperfect active subjunctive of sum	pavefactus + imperfect active subjunctive of sum	pavefactus + imperfect active subjunctive of sum	pavefactus + imperfect active subjunctive of sum	pavefactus + imperfect active subjunctive of sum
startle	imperative	imperative	singular	singular	singular	plural	plural	plural
startle	imperative	imperative	first	second	third	first	second	third
startle	active	present	—	paveface	—	—	pavefacite	—
startle	active	future	—	pavefacitō	pavefacitō	—	pavefacitōte	pavefaciuntō
startle	passive	present	—	pavefī	—	—	pavefīte	—
startle	passive	future	—	pavefītō	pavefītō	—	pavefītōte	pavefīuntō
startle	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
startle	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
startle	infinitives	infinitives	pavefacere	pavefēcisse	pavefactūrum esse	pavefierī	pavefactum esse	pavefactum īrī
startle	participles	participles	pavefaciēns	—	pavefactūrus	—	pavefactus	pavefaciendus, pavefaciundus
startle	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
startle	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
startle	verbal nouns	verbal nouns	pavefaciendī	pavefaciendō	pavefaciendum	pavefaciendō	pavefactum	pavefactū
swim	   conjugation of natō (first conjugation)	   conjugation of natō (first conjugation)	   conjugation of natō (first conjugation)	   conjugation of natō (first conjugation)	   conjugation of natō (first conjugation)	   conjugation of natō (first conjugation)	   conjugation of natō (first conjugation)	   conjugation of natō (first conjugation)
swim	indicative	indicative	singular	singular	singular	plural	plural	plural
swim	indicative	indicative	first	second	third	first	second	third
swim	active	present	natō	natās	natat	natāmus	natātis	natant
swim	active	imperfect	natābam	natābās	natābat	natābāmus	natābātis	natābant
swim	active	future	natābō	natābis	natābit	natābimus	natābitis	natābunt
swim	active	perfect	natāvī	natāvistī	natāvit	natāvimus	natāvistis	natāvērunt, natāvēre
swim	active	pluperfect	natāveram	natāverās	natāverat	natāverāmus	natāverātis	natāverant
swim	active	future perfect	natāverō	natāveris	natāverit	natāverimus	natāveritis	natāverint
swim	passive	present	nator	natāris, natāre	natātur	natāmur	natāminī	natantur
swim	passive	imperfect	natābar	natābāris, natābāre	natābātur	natābāmur	natābāminī	natābantur
swim	passive	future	natābor	natāberis, natābere	natābitur	natābimur	natābiminī	natābuntur
swim	passive	perfect	natātus + present active indicative of sum	natātus + present active indicative of sum	natātus + present active indicative of sum	natātus + present active indicative of sum	natātus + present active indicative of sum	natātus + present active indicative of sum
swim	passive	pluperfect	natātus + imperfect active indicative of sum	natātus + imperfect active indicative of sum	natātus + imperfect active indicative of sum	natātus + imperfect active indicative of sum	natātus + imperfect active indicative of sum	natātus + imperfect active indicative of sum
swim	passive	future perfect	natātus + future active indicative of sum	natātus + future active indicative of sum	natātus + future active indicative of sum	natātus + future active indicative of sum	natātus + future active indicative of sum	natātus + future active indicative of sum
swim	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
swim	subjunctive	subjunctive	first	second	third	first	second	third
swim	active	present	natem	natēs	natet	natēmus	natētis	natent
swim	active	imperfect	natārem	natārēs	natāret	natārēmus	natārētis	natārent
swim	active	perfect	natāverim	natāverīs	natāverit	natāverīmus	natāverītis	natāverint
swim	active	pluperfect	natāvissem	natāvissēs	natāvisset	natāvissēmus	natāvissētis	natāvissent
swim	passive	present	nater	natēris, natēre	natētur	natēmur	natēminī	natentur
swim	passive	imperfect	natārer	natārēris, natārēre	natārētur	natārēmur	natārēminī	natārentur
swim	passive	perfect	natātus + present active subjunctive of sum	natātus + present active subjunctive of sum	natātus + present active subjunctive of sum	natātus + present active subjunctive of sum	natātus + present active subjunctive of sum	natātus + present active subjunctive of sum
swim	passive	pluperfect	natātus + imperfect active subjunctive of sum	natātus + imperfect active subjunctive of sum	natātus + imperfect active subjunctive of sum	natātus + imperfect active subjunctive of sum	natātus + imperfect active subjunctive of sum	natātus + imperfect active subjunctive of sum
swim	imperative	imperative	singular	singular	singular	plural	plural	plural
swim	imperative	imperative	first	second	third	first	second	third
swim	active	present	—	natā	—	—	natāte	—
swim	active	future	—	natātō	natātō	—	natātōte	natantō
swim	passive	present	—	natāre	—	—	natāminī	—
swim	passive	future	—	natātor	natātor	—	—	natantor
swim	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
swim	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
swim	infinitives	infinitives	natāre	natāvisse	natātūrum esse	natārī	natātum esse	natātum īrī
swim	participles	participles	natāns	—	natātūrus	—	natātus	natandus
swim	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
swim	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
swim	verbal nouns	verbal nouns	natandī	natandō	natandum	natandō	natātum	natātū
walk	   conjugation of ambulō (first conjugation)	   conjugation of ambulō (first conjugation)	   conjugation of ambulō (first conjugation)	   conjugation of ambulō (first conjugation)	   conjugation of ambulō (first conjugation)	   conjugation of ambulō (first conjugation)	   conjugation of ambulō (first conjugation)	   conjugation of ambulō (first conjugation)
walk	indicative	indicative	singular	singular	singular	plural	plural	plural
walk	indicative	indicative	first	second	third	first	second	third
walk	active	present	ambulō	ambulās	ambulat	ambulāmus	ambulātis	ambulant
walk	active	imperfect	ambulābam	ambulābās	ambulābat	ambulābāmus	ambulābātis	ambulābant
walk	active	future	ambulābō	ambulābis	ambulābit	ambulābimus	ambulābitis	ambulābunt
walk	active	perfect	ambulāvī	ambulāvistī, ambulāstī1	ambulāvit, ambulāt1	ambulāvimus, ambulāmus1	ambulāvistis, ambulāstis1	ambulāvērunt, ambulāvēre, ambulārunt1
walk	active	pluperfect	ambulāveram, ambulāram1	ambulāverās, ambulārās1	ambulāverat, ambulārat1	ambulāverāmus, ambulārāmus1	ambulāverātis, ambulārātis1	ambulāverant, ambulārant1
walk	active	future perfect	ambulāverō, ambulārō1	ambulāveris, ambulāris1	ambulāverit, ambulārit1	ambulāverimus, ambulārimus1	ambulāveritis, ambulāritis1	ambulāverint, ambulārint1
walk	passive	present	ambulor	ambulāris, ambulāre	ambulātur	ambulāmur	ambulāminī	ambulantur
walk	passive	imperfect	ambulābar	ambulābāris, ambulābāre	ambulābātur	ambulābāmur	ambulābāminī	ambulābantur
walk	passive	future	ambulābor	ambulāberis, ambulābere	ambulābitur	ambulābimur	ambulābiminī	ambulābuntur
walk	passive	perfect	ambulātus + present active indicative of sum	ambulātus + present active indicative of sum	ambulātus + present active indicative of sum	ambulātus + present active indicative of sum	ambulātus + present active indicative of sum	ambulātus + present active indicative of sum
walk	passive	pluperfect	ambulātus + imperfect active indicative of sum	ambulātus + imperfect active indicative of sum	ambulātus + imperfect active indicative of sum	ambulātus + imperfect active indicative of sum	ambulātus + imperfect active indicative of sum	ambulātus + imperfect active indicative of sum
walk	passive	future perfect	ambulātus + future active indicative of sum	ambulātus + future active indicative of sum	ambulātus + future active indicative of sum	ambulātus + future active indicative of sum	ambulātus + future active indicative of sum	ambulātus + future active indicative of sum
walk	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
walk	subjunctive	subjunctive	first	second	third	first	second	third
walk	active	present	ambulem	ambulēs	ambulet	ambulēmus	ambulētis	ambulent
walk	active	imperfect	ambulārem	ambulārēs	ambulāret	ambulārēmus	ambulārētis	ambulārent
walk	active	perfect	ambulāverim, ambulārim1	ambulāverīs, ambulārīs1	ambulāverit, ambulārit1	ambulāverīmus, ambulārīmus1	ambulāverītis, ambulārītis1	ambulāverint, ambulārint1
walk	active	pluperfect	ambulāvissem, ambulāssem1	ambulāvissēs, ambulāssēs1	ambulāvisset, ambulāsset1	ambulāvissēmus, ambulāssēmus1	ambulāvissētis, ambulāssētis1	ambulāvissent, ambulāssent1
walk	passive	present	ambuler	ambulēris, ambulēre	ambulētur	ambulēmur	ambulēminī	ambulentur
walk	passive	imperfect	ambulārer	ambulārēris, ambulārēre	ambulārētur	ambulārēmur	ambulārēminī	ambulārentur
walk	passive	perfect	ambulātus + present active subjunctive of sum	ambulātus + present active subjunctive of sum	ambulātus + present active subjunctive of sum	ambulātus + present active subjunctive of sum	ambulātus + present active subjunctive of sum	ambulātus + present active subjunctive of sum
walk	passive	pluperfect	ambulātus + imperfect active subjunctive of sum	ambulātus + imperfect active subjunctive of sum	ambulātus + imperfect active subjunctive of sum	ambulātus + imperfect active subjunctive of sum	ambulātus + imperfect active subjunctive of sum	ambulātus + imperfect active subjunctive of sum
walk	imperative	imperative	singular	singular	singular	plural	plural	plural
walk	imperative	imperative	first	second	third	first	second	third
walk	active	present	—	ambulā	—	—	ambulāte	—
walk	active	future	—	ambulātō	ambulātō	—	ambulātōte	ambulantō
walk	passive	present	—	ambulāre	—	—	ambulāminī	—
walk	passive	future	—	ambulātor	ambulātor	—	—	ambulantor
walk	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
walk	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
walk	infinitives	infinitives	ambulāre	ambulāvisse, ambulāsse1	ambulātūrum esse	ambulārī	ambulātum esse	ambulātum īrī
walk	participles	participles	ambulāns	—	ambulātūrus	—	ambulātus	ambulandus
walk	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
walk	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
walk	verbal nouns	verbal nouns	ambulandī	ambulandō	ambulandum	ambulandō	ambulātum	ambulātū
warm	   conjugation of calē̆faciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of calē̆faciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of calē̆faciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of calē̆faciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of calē̆faciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of calē̆faciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of calē̆faciō (third conjugation iō-variant, irregular and partially suppletive in the passive)	   conjugation of calē̆faciō (third conjugation iō-variant, irregular and partially suppletive in the passive)
warm	indicative	indicative	singular	singular	singular	plural	plural	plural
warm	indicative	indicative	first	second	third	first	second	third
warm	active	present	calē̆faciō	calē̆facis	calē̆facit	calē̆facimus	calē̆facitis	calē̆faciunt
warm	active	imperfect	calē̆faciēbam	calē̆faciēbās	calē̆faciēbat	calē̆faciēbāmus	calē̆faciēbātis	calē̆faciēbant
warm	active	future	calē̆faciam	calē̆faciēs	calē̆faciet	calē̆faciēmus	calē̆faciētis	calē̆facient
warm	active	perfect	calē̆fēcī	calē̆fēcistī	calē̆fēcit	calē̆fēcimus	calē̆fēcistis	calē̆fēcērunt, calē̆fēcēre
warm	active	pluperfect	calē̆fēceram	calē̆fēcerās	calē̆fēcerat	calē̆fēcerāmus	calē̆fēcerātis	calē̆fēcerant
warm	active	future perfect	calē̆fēcerō	calē̆fēceris	calē̆fēcerit	calē̆fēcerimus	calē̆fēceritis	calē̆fēcerint
warm	passive	present	calē̆fīō	calē̆fīs	calē̆fit	calē̆fīmus	calē̆fītis	calē̆fīunt
warm	passive	imperfect	calē̆fīēbam	calē̆fīēbās	calē̆fīēbat	calē̆fīēbāmus	calē̆fīēbātis	calē̆fīēbant
warm	passive	future	calē̆fīam	calē̆fīēs	calē̆fīet	calē̆fīēmus	calē̆fīētis	calē̆fīent
warm	passive	perfect	calē̆factus + present active indicative of sum	calē̆factus + present active indicative of sum	calē̆factus + present active indicative of sum	calē̆factus + present active indicative of sum	calē̆factus + present active indicative of sum	calē̆factus + present active indicative of sum
warm	passive	pluperfect	calē̆factus + imperfect active indicative of sum	calē̆factus + imperfect active indicative of sum	calē̆factus + imperfect active indicative of sum	calē̆factus + imperfect active indicative of sum	calē̆factus + imperfect active indicative of sum	calē̆factus + imperfect active indicative of sum
warm	passive	future perfect	calē̆factus + future active indicative of sum	calē̆factus + future active indicative of sum	calē̆factus + future active indicative of sum	calē̆factus + future active indicative of sum	calē̆factus + future active indicative of sum	calē̆factus + future active indicative of sum
warm	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
warm	subjunctive	subjunctive	first	second	third	first	second	third
warm	active	present	calē̆faciam	calē̆faciās	calē̆faciat	calē̆faciāmus	calē̆faciātis	calē̆faciant
warm	active	imperfect	calē̆facerem	calē̆facerēs	calē̆faceret	calē̆facerēmus	calē̆facerētis	calē̆facerent
warm	active	perfect	calē̆fēcerim	calē̆fēcerīs	calē̆fēcerit	calē̆fēcerīmus	calē̆fēcerītis	calē̆fēcerint
warm	active	pluperfect	calē̆fēcissem	calē̆fēcissēs	calē̆fēcisset	calē̆fēcissēmus	calē̆fēcissētis	calē̆fēcissent
warm	passive	present	calē̆fīam	calē̆fīās	calē̆fīat	calē̆fīāmus	calē̆fīātis	calē̆fīant
warm	passive	imperfect	calē̆fierem	calē̆fierēs	calē̆fieret	calē̆fierēmus	calē̆fierētis	calē̆fierent
warm	passive	perfect	calē̆factus + present active subjunctive of sum	calē̆factus + present active subjunctive of sum	calē̆factus + present active subjunctive of sum	calē̆factus + present active subjunctive of sum	calē̆factus + present active subjunctive of sum	calē̆factus + present active subjunctive of sum
warm	passive	pluperfect	calē̆factus + imperfect active subjunctive of sum	calē̆factus + imperfect active subjunctive of sum	calē̆factus + imperfect active subjunctive of sum	calē̆factus + imperfect active subjunctive of sum	calē̆factus + imperfect active subjunctive of sum	calē̆factus + imperfect active subjunctive of sum
warm	imperative	imperative	singular	singular	singular	plural	plural	plural
warm	imperative	imperative	first	second	third	first	second	third
warm	active	present	—	calē̆face	—	—	calē̆facite	—
warm	active	future	—	calē̆facitō	calē̆facitō	—	calē̆facitōte	calē̆faciuntō
warm	passive	present	—	calē̆fī	—	—	calē̆fīte	—
warm	passive	future	—	calē̆fītō	calē̆fītō	—	calē̆fītōte	calē̆fīuntō
warm	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
warm	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
warm	infinitives	infinitives	calē̆facere	calē̆fēcisse	calē̆factūrum esse	calē̆fierī	calē̆factum esse	calē̆factum īrī
warm	participles	participles	calē̆faciēns	—	calē̆factūrus	—	calē̆factus	calē̆faciendus, calē̆faciundus
warm	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
warm	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
warm	verbal nouns	verbal nouns	calē̆faciendī	calē̆faciendō	calē̆faciendum	calē̆faciendō	calē̆factum	calē̆factū
watch	   conjugation of spectō (first conjugation)	   conjugation of spectō (first conjugation)	   conjugation of spectō (first conjugation)	   conjugation of spectō (first conjugation)	   conjugation of spectō (first conjugation)	   conjugation of spectō (first conjugation)	   conjugation of spectō (first conjugation)	   conjugation of spectō (first conjugation)
watch	indicative	indicative	singular	singular	singular	plural	plural	plural
watch	indicative	indicative	first	second	third	first	second	third
watch	active	present	spectō	spectās	spectat	spectāmus	spectātis	spectant
watch	active	imperfect	spectābam	spectābās	spectābat	spectābāmus	spectābātis	spectābant
watch	active	future	spectābō	spectābis	spectābit	spectābimus	spectābitis	spectābunt
watch	active	perfect	spectāvī	spectāvistī, spectāstī1	spectāvit, spectāt1	spectāvimus, spectāmus1	spectāvistis, spectāstis1	spectāvērunt, spectāvēre, spectārunt1
watch	active	pluperfect	spectāveram, spectāram1	spectāverās, spectārās1	spectāverat, spectārat1	spectāverāmus, spectārāmus1	spectāverātis, spectārātis1	spectāverant, spectārant1
watch	active	future perfect	spectāverō, spectārō1	spectāveris, spectāris1	spectāverit, spectārit1	spectāverimus, spectārimus1	spectāveritis, spectāritis1	spectāverint, spectārint1
watch	passive	present	spector	spectāris, spectāre	spectātur	spectāmur	spectāminī	spectantur
watch	passive	imperfect	spectābar	spectābāris, spectābāre	spectābātur	spectābāmur	spectābāminī	spectābantur
watch	passive	future	spectābor	spectāberis, spectābere	spectābitur	spectābimur	spectābiminī	spectābuntur
watch	passive	perfect	spectātus + present active indicative of sum	spectātus + present active indicative of sum	spectātus + present active indicative of sum	spectātus + present active indicative of sum	spectātus + present active indicative of sum	spectātus + present active indicative of sum
watch	passive	pluperfect	spectātus + imperfect active indicative of sum	spectātus + imperfect active indicative of sum	spectātus + imperfect active indicative of sum	spectātus + imperfect active indicative of sum	spectātus + imperfect active indicative of sum	spectātus + imperfect active indicative of sum
watch	passive	future perfect	spectātus + future active indicative of sum	spectātus + future active indicative of sum	spectātus + future active indicative of sum	spectātus + future active indicative of sum	spectātus + future active indicative of sum	spectātus + future active indicative of sum
watch	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
watch	subjunctive	subjunctive	first	second	third	first	second	third
watch	active	present	spectem	spectēs	spectet	spectēmus	spectētis	spectent
watch	active	imperfect	spectārem	spectārēs	spectāret	spectārēmus	spectārētis	spectārent
watch	active	perfect	spectāverim, spectārim1	spectāverīs, spectārīs1	spectāverit, spectārit1	spectāverīmus, spectārīmus1	spectāverītis, spectārītis1	spectāverint, spectārint1
watch	active	pluperfect	spectāvissem, spectāssem1	spectāvissēs, spectāssēs1	spectāvisset, spectāsset1	spectāvissēmus, spectāssēmus1	spectāvissētis, spectāssētis1	spectāvissent, spectāssent1
watch	passive	present	specter	spectēris, spectēre	spectētur	spectēmur	spectēminī	spectentur
watch	passive	imperfect	spectārer	spectārēris, spectārēre	spectārētur	spectārēmur	spectārēminī	spectārentur
