Ares	masculine	singular 	Ἄρης	Ἄρεως	Ἄρει	Ἄρη or Ἄρην	Ἄρες	irregular		god of war						
woman	feminine	singular 	γυνή	γυναικός	γυναικί	γυναῖκα	γύναι	irregular								
woman	feminine	plural 	γυναῖκες	γυναικῶν	γυναιξί	γυναῖκας	γυναῖκες	irregular								
Thales	masculine	singular 	Θαλῆς	Θαλοῦ or Θαλέω or Θάλητος	Θαλῇ or Θάλητι	Θαλῆν or Θάλητα	—	irregular		reknown philosopher and mathematician						
Oedipus	masculine	singular 	Οἰδίπους	Οἰδίποδος or Οἰδίπου	Οἰδίποδι	Οἰδίπουν	Οἰδίπου	irregular		mythical king of Thebes						
fire	neuter	singular 	πῦρ	πυρός	πυρί	πῦρ	πῦρ	irregular								
fire	neuter	plural	πυρά	πυρῶν	πυροῖς	πυρά	πυρά 	irregular								
																
Apollo	masculine	singular 	Ἀπόλλων	Ἀπόλλωνος	Ἀπόλλωνι	Ἀπόλλωνα or Ἀπόλλω	Ἄπολλον	irregular		god of the moon						
knee	neuter	singular 	γόνυ	γόνατος	γόνατι	γόνυ	γόνυ	irregular								
knee	neuter	plural 	γόνατα	γονάτων	γόνασι	γόνατα	γόνατα	irregular								
wood	neuter	singular 	δόρυ	δόρατος	δόρατι	δόρυ	δόρυ	irregular								
wood	neuter	plural 	δόρατα	δοράτων	δόρασι	δόρατα	δόρατα	irregular								
Zeus	masculine	singular 	Ζεύς	Διός	Διί	Δία	Ζεῦ	irregular		god of the sky						
liver	neuter	singular 	ἧπαρ	ἥπατος	ἥπατι	ἧπαρ	ἧπαρ	irregular								
liver	neuter	plural 	ἥπατα	ἡπάτων	ἥπασι	ἥπατα	ἥπατα	irregular								
dog	masculine	singular 	κύων	κυνός	κυνί	κύνα	κύον	irregular								
dog	masculine	plural 	κύνες	κυνῶν	κυσί	κύνας	κύνες	irregular								
ship	feminine	singular 	ναῦς	νεώς	νηί	ναῦν	ναῦ	irregular								
ship	feminine	plural 	νῆες	νεῶν	ναυσί	ναῦς	νῆες	irregular								
ear	neuter	singular 	οὖς	ὠτός	ὤτί	οὖς	οὖς	irregular								
ear	neuter	dual 	ὦτε	ὤτοιν	ὤτοιν	ὦτε	ὦτε	irregular								
ear	neuter	plural	ὦτα	ὤτων	ὠσί	ὦτα	ὦτα 	irregular								
																
water	neuter	singular 	ὕδωρ	ὕδατος	ὕδατι	ὕδωρ	ὕδωρ	irregular								
water	neuter	plural 	ὕδατα	ὑδάτων	ὕδασι	ὕδατα	ὕδατα	irregular								
hand	feminine	singular 	χείρ	χειρός	χειρί	χεῖρα	χείρ	irregular								
hand	feminine	dual 	χεῖρε	χεροῖν	χεροῖν	χεῖρε	χεῖρε	irregular								
hand	feminine	plural	χεῖρες	χειρῶν	χερσί	χεῖρας	χεῖρες 	irregular								
																
