appear							singularالْمُفْرَد			singularالْمُفْرَد			singularالْمُفْرَد						dualالْمُثَنَّى			dualالْمُثَنَّى						pluralالْجَمْع			pluralالْجَمْع			pluralالْجَمْع					
appear							1st personالْمُتَكَلِّم			2nd personالْمُخَاطَب			3rd personالْغَائِب						2nd personالْمُخَاطَب			3rd personالْغَائِب						1st personالْمُتَكَلِّم			2nd personالْمُخَاطَب			3rd personالْغَائِب					
appear	past (perfect) indicativeالْمَاضِي			m			عَرُضْتُ‎	ʕaruḍtu		عَرُضْتَ‎	ʕaruḍta		عَرُضَ	ʕaruḍa					عَرُضْتُمَا‎	ʕaruḍtumā		عَرُضَا‎	ʕaruḍā					عَرُضْنَا‎	ʕaruḍnā		عَرُضْتُمْ‎	ʕaruḍtum		عَرُضُوا‎	ʕaruḍū				
appear	past (perfect) indicativeالْمَاضِي			f			عَرُضْتُ‎	ʕaruḍtu		عَرُضْتِ‎	ʕaruḍti		عَرُضَتْ‎	ʕaruḍat					عَرُضْتُمَا‎	ʕaruḍtumā		عَرُضَتَا‎	ʕaruḍatā					عَرُضْنَا‎	ʕaruḍnā		عَرُضْتُنَّ‎	ʕaruḍtunna		عَرُضْنَ‎	ʕaruḍna				
appear	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع			m			أَعْرُضُ‎	ʔaʕruḍu		تَعْرُضُ‎	taʕruḍu		يَعْرُضُ‎	yaʕruḍu					تَعْرُضَانِ‎	taʕruḍāni		يَعْرُضَانِ‎	yaʕruḍāni					نَعْرُضُ‎	naʕruḍu		تَعْرُضُونَ‎	taʕruḍūna		يَعْرُضُونَ‎	yaʕruḍūna				
appear	non-past (imperfect) indicativeالْمُضَارِع الْمَرْفُوع			f			أَعْرُضُ‎	ʔaʕruḍu		تَعْرُضِينَ‎	taʕruḍīna		تَعْرُضُ‎	taʕruḍu					تَعْرُضَانِ‎	taʕruḍāni		تَعْرُضَانِ‎	taʕruḍāni					نَعْرُضُ‎	naʕruḍu		تَعْرُضْنَ‎	taʕruḍna		يَعْرُضْنَ‎	yaʕruḍna				
appear	subjunctiveالْمُضَارِع الْمَنْصُوب			m			أَعْرُضَ‎	ʔaʕruḍa		تَعْرُضَ‎	taʕruḍa		يَعْرُضَ‎	yaʕruḍa					تَعْرُضَا‎	taʕruḍā		يَعْرُضَا‎	yaʕruḍā					نَعْرُضَ‎	naʕruḍa		تَعْرُضُوا‎	taʕruḍū		يَعْرُضُوا‎	yaʕruḍū				
appear	subjunctiveالْمُضَارِع الْمَنْصُوب			f			أَعْرُضَ‎	ʔaʕruḍa		تَعْرُضِي‎	taʕruḍī		تَعْرُضَ‎	taʕruḍa					تَعْرُضَا‎	taʕruḍā		تَعْرُضَا‎	taʕruḍā					نَعْرُضَ‎	naʕruḍa		تَعْرُضْنَ‎	taʕruḍna		يَعْرُضْنَ‎	yaʕruḍna				
appear	jussiveالْمُضَارِع الْمَجْزُوم			m			أَعْرُضْ‎	ʔaʕruḍ		تَعْرُضْ‎	taʕruḍ		يَعْرُضْ‎	yaʕruḍ					تَعْرُضَا‎	taʕruḍā		يَعْرُضَا‎	yaʕruḍā					نَعْرُضْ‎	naʕruḍ		تَعْرُضُوا‎	taʕruḍū		يَعْرُضُوا‎	yaʕruḍū				
appear	jussiveالْمُضَارِع الْمَجْزُوم			f			أَعْرُضْ‎	ʔaʕruḍ		تَعْرُضِي‎	taʕruḍī		تَعْرُضْ‎	taʕruḍ					تَعْرُضَا‎	taʕruḍā		تَعْرُضَا‎	taʕruḍā					نَعْرُضْ‎	naʕruḍ		تَعْرُضْنَ‎	taʕruḍna		يَعْرُضْنَ‎	yaʕruḍna				
appear	imperativeالْأَمْر			m						اُعْرُضْ‎	uʕruḍ								اُعْرُضَا‎	uʕruḍā											اُعْرُضُوا‎	uʕruḍū							
appear	imperativeالْأَمْر			f						اُعْرُضِي‎	uʕruḍī								اُعْرُضَا‎	uʕruḍā											اُعْرُضْنَ‎	uʕruḍna							
