#voice	person	plurality	present indicative	past indicative	imperative   	subjunctive     	optative        	participle    	english-object    	object         	emoji-template           	formation-type                  	descendants                 	
middle	2     	plural   	wrₒǵyédʰh₂we      	wrₒǵyédʰh₂we   	wrₒǵyédʰh₂we 	wrₒǵyḗdʰh₂we    	wrₒǵyóydʰh₂we   	wrₒǵyómnos    	                  	               	🧍<sup>🔧</sup>{{subject}} 	ye-suffix                       	                            	
middle	3     	plural   	wrₒǵyóror         	wrₒǵyóro       	             	wrₒǵyṓror       	wrₒǵyóyro       	wrₒǵyómnos    	                  	               	🧍<sup>🔧</sup>{{subject}} 	ye-suffix                       	                            	
active	1     	singular 	dʰédʰeh₁mi        	dʰédʰeh₁mₒ     	             	dʰédʰeh₁oh₂     	dʰédʰh₁yeh₁mₒ   	dʰédʰh₁nₒts   	the work          	wérǵom         	{{subject}}<sup>🔧</sup>  	reduplicated-athematic          	                            	
active	2     	singular 	dʰédʰeh₁si        	dʰédʰeh₁s      	dʰédʰeh₁     	dʰédʰeh₁esi     	dʰédʰh₁yeh₁s    	dʰédʰh₁nₒts   	the work          	wérǵom         	{{subject}}<sup>🔧</sup>  	reduplicated-athematic          	                            	
active	3     	singular 	dʰédʰeh₁ti        	dʰédʰeh₁t      	dʰédʰeh₁tu   	dʰédʰeh₁eti     	dʰédʰh₁yeh₁t    	dʰédʰh₁nₒts   	the work          	wérǵom         	{{subject}}<sup>🔧</sup>  	reduplicated-athematic          	                            	
active	1     	dual     	dʰédʰh₁wos        	dʰédʰh₁we      	             	dʰédʰeh₁owos    	dʰédʰh₁ih₁we    	dʰédʰh₁nₒts   	the work          	wérǵom         	{{subject}}<sup>🔧</sup>  	reduplicated-athematic          	                            	
active	2     	dual     	dʰédʰh₁tes        	dʰédʰh₁tom     	dʰédʰh₁tom   	dʰédʰeh₁etes    	dʰédʰh₁ih₁tom   	dʰédʰh₁nₒts   	the work          	wérǵom         	{{subject}}<sup>🔧</sup>  	reduplicated-athematic          	                            	
active	3     	dual     	dʰédʰh₁tes        	dʰédʰh₁tām     	dʰédʰh₁tām   	dʰédʰeh₁etes    	dʰédʰh₁ih₁tām   	dʰédʰh₁nₒts   	the work          	wérǵom         	{{subject}}<sup>🔧</sup>  	reduplicated-athematic          	                            	
active	1     	plural   	dʰédʰh₁mos        	dʰédʰh₁me      	             	dʰédʰeh₁omos    	dʰédʰh₁ih₁me    	dʰédʰh₁nₒts   	the work          	wérǵom         	{{subject}}<sup>🔧</sup>  	reduplicated-athematic          	                            	
active	2     	plural   	dʰédʰh₁te         	dʰédʰh₁te      	dʰédʰh₁te    	dʰédʰeh₁ete     	dʰédʰh₁ih₁te    	dʰédʰh₁nₒts   	the work          	wérǵom         	{{subject}}<sup>🔧</sup>  	reduplicated-athematic          	                            	
