chapter_id	entry_id	meaning	Nenets_Phonemic	comment
7	220	door, gate	nʸo; nʸoʔʔ	
7	230	lock (noun)	paklabc̷ʸʔ; taman	
7	231	latch, door-bolt	nʸeʔ nʸaʔʔmor̃c̷ʸʔ	
7	250	window	sidʸer̃ʔʔ; sidʸer̃ʔsi	
7	260	floor	lata	
7	310	fireplace	pʸečka; xor̃	
7	320	stove	pʸečka; xor̃	
7	330	chimney	makoda	
7	370	ladder	tanac̷ʸʔ	
7	420	bed	waʔʔaw	
7	421	pillow	pɨr̃kabtʔʔ	
7	422	blanket	toʔ	
7	430	chair	ŋamdʸosʸʔ; ŋamdʸor̃c̷ʸʔ	
7	440	table	tol; tolʸ	
7	460	candle	sʸer̃ʸekabtʔʔ; sʸedar̃kabt	
7	510	roof	xar̃adʔ maxaley	
7	560	post, pole	sal; ŋu	
7	570	board	lata	
7	620	brick	xɨr̃bisʸ	
8	160	fence	wapasʸ	
8	170	ditch	waŋg; yer̃wɨ ya	
8	220	dig	sabkabasʸ	
8	230	spade	siwa	
8	240	shovel	siwa	
8	311	seed	yaʔsew; sibʸako	
8	330	sickle, scythe	ixilabc̷ʸʔ	
8	510	grass	ŋamdeʔʔ; ŋumʔ	
8	520	hay	ŋumʔ	
8	530	plant (noun)	ŋamdeʔʔ	
8	531	plant (vb)	ŋamtambasʸ	
8	540	root	wano; paŋg; paxaʔ	
8	550	branch	mo; tar̃ka	
8	560	leaf	weba	
8	570	flower	ŋamdeʔʔ	
8	600	tree	pʸa	
8	610	oak	tɨbɨyowa	
8	630	birch	xo	
8	640	pine	ye	
8	650	fir	xadɨ	
8	680	tobacco	sʸar̃	
8	690	smoke (tobacco)	sʸar̃pʸaŋgosʸ	
8	691	pipe	sʸar̃ʔpʸa	
8	720	tree stump	sal	
8	730	tree trunk	pʸaʔ xanɨr̃ʔʔ	
8	740	forked branch	tar̃lʸaŋg; tar̃kasawey	
8	750	bark	sʸabt	
8	760	sap	tʸebt	
8	970	nettle	nac̷dey	
8	980	mushroom	tudako	
9	110	do, make	sʸer̃tabasʸ	
9	120	work	manzar̃asʸ	
9	140	bend	wɨyar̃pasʸ	
9	150	fold	pembasʸ	
9	160	tie, bind	sʸar̃asʸ	
9	161	untie	yekabasʸ	
9	180	chain	yesʸa inʸa	
9	190	rope, cord	inʸa	
9	192	knot (noun)	yu	
9	210	strike (hit, beat)	lador̃pasʸ; lador̃c̷ʸ	
9	211	pound with fist	tɨr̃ar̃c̷ʸ	
9	220	cut	madabasʸ; sapbasʸ	
9	221	cut down	madaybtʸesʸ	
9	222	chop, hew	sapbasʸ	
9	223	stab	ŋetpasʸ	
9	230	knife	xar̃	
9	240	scissors, shears	ŋebtober̃c̷ʸʔ	
9	250	ax	tubka	
9	251	adze	sʸabar̃c̷ʸʔ	
9	260	break	malʸyembasʸ	
9	261	broken	malʸyewɨ	
9	270	split	pepasʸ	
9	280	tear	ŋadpasʸ	
9	290	flay, skin	yaxabasʸ	
9	310	rub, wipe	wɨr̃dambasʸ	
9	320	stretch	weŋgalasʸ	
9	330	pull	nekalpasʸ	
9	340	spread out	lʸexebtambasʸ	
9	341	hang up	ŋɨdar̃ambasʸ; ŋɨdar̃asʸ	
9	342	press	teʔʔlpasʸ	
9	343	squeeze, wring	latr̃ambasʸ	
9	350	pour	xamdabasʸ	
9	360	wash	xaltambasʸ	
9	370	sweep	naʔʔwolpasʸ	
9	380	broom	lataʔ to	
9	422	tool	mir̃w	
9	430	carpenter	mir̃tʸa	
9	440	build	mir̃c̷ʸ	
9	460	bore	par̃eŋgopasʸ	
9	461	hollow out	sabkabasʸ	
9	480	saw	ixibc̷ʸʔ; pila	
9	490	hammer	ma	
9	500	nail	tʸeb; yesʸa tʸeb	
9	560	glue	ibʸa	
9	600	smith, blacksmith	yadar̃ta	
9	610	forge	yadasʸ	
9	620	anvil	yadac̷ʸʔ paŋg	
9	630	cast (metals)	xamdabasʸ	
9	640	gold	solot	
9	650	silver	nʸeney	
9	660	copper, bronze	nʸar̃awa	
9	670	iron	yesʸa	
9	680	lead (noun)	xubtʔʔ	
9	690	tin, tinplate	yesʸa	
9	720	mold (clay etc)	labc̷ʸer̃pasʸ	
9	730	clay	nʸaxaba	
9	740	glass	pe	
9	750	weave, plait	paŋgalpasʸ	
9	770	mat	xuʔʔnʸer̃ʔʔ	
9	840	chisel	sitabc̷ʸʔ	
9	880	paint (noun)	ŋo; ŋolʸepʸa	
9	890	paint (vb)	ŋotabasʸ	
10	110	move	nʸenzxalasʸ	
10	120	turn over	sʸur̃xalʸesʸ; xambxalʸesʸ	
10	130	turn around	sʸur̃ʸelʸesʸ	
10	140	wind, wrap	pebtambasʸ; manonzʸ	
10	150	roll	mantalambasʸ	
10	160	drop (vb)	mantembasʸ; mantesʸ	
10	170	twist	sʸur̃tʸembasʸ	
10	210	rise	yur̃kasʸ	
10	220	raise, lift	ilasʸ	
10	230	fall	moʔʔnaŋgasʸ; moʔʔnasʸ	
10	240	drip	tesasʸ	
10	250	throw	masʸ	
10	252	catch (ball)	nʸaʔʔmasʸ	
10	260	shake	lɨmbr̃asʸ	
10	320	flow	tesasʸ; loxor̃c̷ʸ	
10	330	sink	seyr̃asʸ; pakalc̷ʸ	
10	350	swim	ŋoxolʸosʸ; xuʔʔlʸosʸ	
10	351	dive	seyr̃anasʸ	
10	352	splash	tʸanar̃c̷ʸ	
10	360	sail (vb)	xater̃c̷ʸ; ŋoxolʸosʸ; xuʔʔlʸosʸ	
10	370	fly (vb)	tir̃c̷ʸ	
10	380	blow	posɨbasʸ	
10	410	creep, crawl	nʸenzar̃c̷ʸ; nʸalodor̃c̷ʸ	
10	412	kneel	pulɨbtʸosʸ	
10	430	jump, leap	sanasʸ	
10	431	kick	yenʸedar̃c̷ʸ	
10	440	dance	tar̃asʸ	
10	450	walk	minzʸ; yader̃c̷ʸ	
10	451	limp	medasʸ	
10	460	run	sʸur̃basʸ	
10	470	go	yadasʸ; minzʸ	
10	471	go up	ilŋgasʸ; tantanasʸ	
10	472	climb	tantanasʸ	
10	473	go down	xaʔʔmotanasʸ	
10	474	go out	tar̃potanasʸ; tar̃pasʸ	
10	480	come	tosʸ; tur̃c̷ʸ	
10	481	come back	salc̷ʸ; saltanasʸ	
10	490	go away, depart	tar̃pasʸ	
10	491	disappear	yaŋguwor̃c̷ʸ	
10	510	flee	sʸur̃basʸ	
10	520	follow	maniyesʸ; ŋudopasʸ	
10	530	pursue	nʸodasʸ; pitar̃pasʸ	
10	550	reach, arrive	tosʸ	
10	560	approach	xaxayatanasʸ	
10	570	enter	tʸusʸ; nʸalc̷ʸ	
10	610	carry (bear)	minʸesʸ; minar̃c̷ʸ	
10	620	bring	tasʸ; tewr̃asʸ	
10	630	send	ŋedar̃asʸ	
10	640	lead (vb)	wadasʸ; wadabasʸ	
10	650	drive	tanabasʸ	
10	660	ride	minzʸ	
10	670	push, shove	tɨr̃c̷pasʸ	
10	710	road	sʸexer̃ɨ	
10	720	path	sar̃pʸa	
10	740	bridge	pul	
10	750	carriage, wagon, cart	sʸur̃nʸa xan	
10	760	wheel	sʸur̃nʸa	
10	810	ship	ŋano	
10	830	boat	ŋano	
10	831	canoe	xoyʔ ŋano	
10	850	oar	labʸa	
10	851	paddle (noun)	labʸa	
10	852	row (vb)	labitasʸ	
10	870	mast	yesʸer̃ʔ pʸa	
10	880	sail (noun)	yesʸer̃ʔʔ	
11	110	have	tanʸasʸ; mec̷ʸ	
11	120	own, possess	tanʸasʸ; mec̷ʸ	
11	130	take	mesʸ; nʸaʔʔmasʸ	
11	140	seize, grasp	nʸaʔʔmar̃pasʸ	
11	150	hold	nʸaʔʔambasʸ	
11	160	get, obtain	nʸaʔʔmasʸ; tewasʸ; xadasʸ	
11	170	keep, retain	nʸaʔʔambasʸ	
11	180	thing	ŋamger̃i	
11	210	give	tasʸ	
11	220	give back	mic̷ʸ	
11	240	preserve, look after	letr̃ambasʸ	
11	250	save, rescue	ŋedasʸ	
