chapter_id	entry_id	meaning	Mari_Phonemic	comment
9	461	hollow out	kör̃ɣən'čʸaš; 'kör̃ɣənčʸən šü'taš	
9	480	saw	pi'la	
9	490	hammer	'čʸöɣət	
9	500	nail	pu'ða	
9	560	glue	'lümö	
9	600	smith, blacksmith	ap'šat	
9	610	forge	tap'taš	
9	620	anvil	šan'ðal	
9	630	cast (metals)	βe'laš	
9	640	gold	'šör̃tɲö	
9	650	silver	'šiy	
9	660	copper, bronze	βür̃'ɣeɲe; 'br̃onza	
9	670	iron	'kür̃tɲö	
9	680	lead (noun)	'βüð 'βulno	
9	690	tin, tinplate	'βulno	
9	710	potter	'šun üz'ɣar̃əm 'əštəše	
9	720	mold (clay etc)	nöštə'laš	
9	730	clay	'šun	
9	740	glass	yan'ða; sta'kan	
9	750	weave, plait	ku'aš; to'ðaš	
9	760	basket	'čʸatər̃; 'komðo	
9	770	mat	kü'βar̃ 'šar̃əš	
9	771	rug	ko'βʸor̃	
9	780	netbag	'sʸetka	
9	790	fan (noun)	'βeyer̃	
9	791	fan (vb)	pu'aš; pualta'r̃aš	
9	810	carve	r̃u'en luk'taš; nöštə'laš	
9	820	sculptor	'skulʸptor̃	
9	830	statue	sta'tuy	
9	840	chisel	'iy	
9	880	paint (noun)	čʸi'ya	
9	890	paint (vb)	čʸiyal'taš	
10	110	move	tar̃βa'taš	
10	120	turn over	saβər̃a'laš	
10	130	turn around	saβə'r̃aš; pör̃ðə'ktaš	
10	140	wind, wrap	pütər̃a'laš	
10	150	roll	munčʸaltək'taš	
