chapter_id	entry_id	meaning	Finnish_Phonemic	comment
6	740	bracelet	r̃anner̃engas	
6	750	necklace	kaulaketyu	
6	760	bead	helmi	
6	770	earring	kor̃war̃engas	
6	780	headband, headdress	pæækor̃iste; pææhine	
6	790	tattoo	tatuointi	
6	810	handkerchief, rag	nenæliina	
6	820	towel	püühe; püüheliina	
6	910	comb	kampa	
6	920	brush	har̃ya	
6	921	braid	palmikoida; punoa	
6	930	razor	par̃taweitsi	
6	940	ointment	woide; salwa	
6	950	soap	saippua	
6	960	mirror	peili	
7	110	dwell, live	asua; oleskella	
7	120	house	talo	
7	130	hut	maya; mökki	
7	131	garden-house	puutar̃hamaya	
7	140	tent	teltta	
7	150	yard, court	piha; pihamaa; howi	
7	160	men's house	miestentalo	
7	170	cookhouse	keittokota	
7	180	meeting house	r̃ukoushuone	
7	210	room	huone	
7	220	door, gate	owi; por̃tti	
7	221	doorpost, jamb	owenpieli	
7	230	lock (noun)	lukko	
7	231	latch, door-bolt	linkku	
7	240	key	awain	
7	250	window	ikkuna	
7	260	floor	lattia	
7	270	wall	muur̃i; seinæ	Respectively: of a town; partition.; Respectively: of a town; partition.
7	310	fireplace	takka	
7	320	stove	uuni	
7	330	chimney	sawupiippu	
7	370	ladder	tikapuut; tikkaat	
7	420	bed	wuode; sænkü	
7	421	pillow	tüünü	
7	422	blanket	peite	
7	430	chair	tuoli	
7	440	table	pöütæ	
7	450	lamp, torch	lamppu; soihtu	
7	460	candle	künttilæ	
7	470	shelf	hüllü	
7	480	trough	r̃uuhi; kaukalo	
7	510	roof	katto	
7	520	thatch	olkikatto	
7	530	ridgepole	katonkannatin	
7	540	rafter	kattotuoli	
7	550	beam	hir̃si	
7	560	post, pole	pülwæs; seiwæs; tanko	
7	570	board	lauta; lankku	
7	580	arch	holwi	
7	610	mason	muur̃ar̃i	
7	620	brick	tiili	
7	630	mortar	laastita	
7	640	adobe	polttamaton tiili	
8	110	farmer	talonpoika; maanwilyeliyæ	
8	120	field (for cultivation)	pelto	
8	130	garden	puutar̃ha	
8	150	cultivate, till	wilyellæ; kaswattaa	
8	160	fence	aidata	
8	170	ditch	oya	
8	210	plow	küntææ; aur̃ata; aur̃a	Respectively: verb; substantive.; Respectively: verb; substantive.; Respectively: verb; substantive.
8	212	furrow	wako	
8	220	dig	kaiwaa	
8	230	spade	lapio	
8	240	shovel	kihweli; lapio	
8	250	hoe	kuokka	
8	260	fork	hanko; haar̃ukka	
8	270	rake	har̃awa	
8	310	sow	külwææ	
8	311	seed	siemen	
8	320	mow, reap	niittææ; leikata	
8	330	sickle, scythe	sir̃ppi; wiikate	
8	340	thresh	puida	
8	350	threshing-floor	r̃iihen puimatanner̃	
8	410	crop, harvest	sato; elonkor̃yuu	
8	420	grain (barley, oats etc)	wilya	
8	430	wheat	wehnæ; nisu	
8	440	barley	ohr̃a	
8	450	rye	r̃uis	
8	460	oats	kaur̃a	
8	470	maize, corn	maissi	
8	480	rice	r̃iisi	
8	510	grass	r̃uoho; nur̃mi	
8	520	hay	heinæ	
8	530	plant (noun)	kaswi	
8	531	plant (vb)	istuttaa	
8	540	root	yuur̃i	
8	550	branch	oksa	
8	560	leaf	lehti	
8	570	flower	kukka	
8	600	tree	puu	
8	610	oak	tammi	
8	620	beech	püökki	
8	630	birch	koiwu	
8	640	pine	mæntü; honka	
8	650	fir	kuusi	
8	660	acorn	tammenter̃ho	
8	670	vine	wiiniköünnös	
8	680	tobacco	tupakka	
8	690	smoke (tobacco)	tupakoida; polttaa	
8	691	pipe	piippu	
8	720	tree stump	kanto	
8	730	tree trunk	tüwi	
8	740	forked branch	haar̃ainen oksa	
8	750	bark	kuor̃i	
8	760	sap	mahla; mehu	
8	810	palm tree	palmu	
8	820	coconut	kookospæhkinæ	
8	830	citrus fruit	sitr̃uskaswi	
8	840	banana tree	banaanipuu	
8	850	banyan	banianpuu	
8	910	sweet potato	bataatti	
8	912	yam	yamssiyuur̃i	
8	920	tapioca, manioc, cassava	tapiokasuur̃imot	
8	930	gourd	pullokur̃pitsa	
8	931	pumpkin, squash	kur̃pitsa	
8	940	bamboo	bambu	
8	941	sugar cane	soker̃ir̃uoko	
8	970	nettle	nokkonen	
8	980	mushroom	sieni	
9	110	do, make	tehdæ	
9	120	work	tehdæ tüötæ; tüöskennellæ	
9	140	bend	taiwuttaa	
9	150	fold	poimuttaa	
9	160	tie, bind	sitoa; köüttææ	
9	161	untie	ir̃r̃ottaa; aukaista	
9	180	chain	kahle; ketyu	
9	190	rope, cord	nüör̃i; nauha; köüsi	
9	192	knot (noun)	solmu	
9	210	strike (hit, beat)	lüödæ; iskeæ	
9	211	pound with fist	takoa nür̃keillæ	
9	220	cut	leikata	
9	221	cut down	kar̃sia; leikellæ pois	
9	222	chop, hew	hakata	
9	223	stab	pistææ; læwistææ; puukottaa	
9	230	knife	weitsi	
9	240	scissors, shears	sakset	
9	250	ax	kir̃wes	
9	251	adze	piilukir̃wes	
9	260	break	mur̃taa	
9	261	broken	r̃ikki; mur̃tunut	
9	270	split	sær̃keæ; halkoa	
9	280	tear	r̃epiæ	
9	290	flay, skin	nülkeæ	
9	310	rub, wipe	hier̃oa; hier̃tææ	
9	320	stretch	wenüttææ; yænnittææ	
9	330	pull	wetææ	
9	340	spread out	lewittææ	
9	341	hang up	r̃ipustaa	
9	342	press	painaa	
9	343	squeeze, wring	pur̃istaa; puser̃taa	
9	350	pour	kaataa	
9	360	wash	pestæ	
9	370	sweep	püühkiæ	
9	380	broom	luuta	
9	422	tool	tüökalu; tüöwæline	
9	430	carpenter	puuseppæ	
9	440	build	r̃akentaa	
9	460	bore	por̃ata	
9	461	hollow out	kower̃taa	
9	480	saw	saha	
9	490	hammer	wasar̃a	
9	500	nail	naula	
9	560	glue	liima	
9	600	smith, blacksmith	seppæ	
9	610	forge	takoa	
9	620	anvil	alasin	
9	630	cast (metals)	walaa	
9	640	gold	kulta	
9	650	silver	hopea	
9	660	copper, bronze	kupar̃i; pr̃onssi	
9	670	iron	r̃auta	
9	680	lead (noun)	lüiyü	
9	690	tin, tinplate	tina; tinattu r̃autapelti	
9	710	potter	sawenwalaya	
9	720	mold (clay etc)	walaa; muowailla	
9	730	clay	sawi	
9	740	glass	lasi	
9	750	weave, plait	punoa	
9	760	basket	kor̃i	
9	770	mat	owimatto	
9	771	rug	matto	
9	780	netbag	wer̃kko	
9	790	fan (noun)	wiuhka	
9	791	fan (vb)	tuulettaa	
9	810	carve	weistææ	
9	820	sculptor	kuvanweistæyæ	
9	830	statue	weistos	
9	840	chisel	taltta	
9	880	paint (noun)	wær̃i; maali	
9	890	paint (vb)	wær̃yætæ; maalata	
10	110	move	liikuttaa	
10	120	turn over	kææntææ	
10	130	turn around	kææntyæ	
10	140	wind, wrap	kæær̃iæ; kietoa	
10	150	roll	wier̃ittææ; kier̃ittææ	
10	160	drop (vb)	tippua	
10	170	twist	kier̃tææ; wææntææ	
10	210	rise	nousta	
10	220	raise, lift	nostaa	
10	230	fall	pudota; kaatua	
10	240	drip	tippua	
10	250	throw	heittææ	
10	252	catch (ball)	ottaa kiinni; püüdüstææ	
10	260	shake	r̃awistaa	
10	320	flow	wir̃r̃ata	
10	330	sink	wayota	
10	340	float	uida; kellua	
10	350	swim	uida	
10	351	dive	sukeltaa	
10	352	splash	r̃æisküttææ	
10	360	sail (vb)	pur̃yehtia; seilata	
10	370	fly (vb)	lentææ	
10	380	blow	puhaltaa; tuulla	
10	410	creep, crawl	r̃üömiæ; madella	
10	412	kneel	polwistua	
10	413	crouch	küür̃istüæ	
10	420	slide, slip	liukua; luistaa	
10	430	jump, leap	hüpætæ	
10	431	kick	potkia; potkaista	
10	440	dance	tanssia	
10	450	walk	kæüdæ; kæwellæ; kulkea	
10	451	limp	ontua	
10	460	run	yuosta	
10	470	go	mennæ; læhteæ; kæüdæ	
10	471	go up	nousta	
10	472	climb	kiiwetæ	
10	473	go down	laskeutua	
10	474	go out	mennæ ulos	
10	480	come	tulla	
10	481	come back	tulla takaisin; palata	
10	490	go away, depart	læhteæ	
