chapter_id	entry_id	meaning	Khanty_Phonemic	comment
4	960	mute	nʸalum taklɨ	
4	970	blind	semlɨ	
4	980	intoxicated	kusʸ	
4	990	naked, bare	nʸar̃lomt	
5	110	eat	letɨ	
5	120	food	letut; tep	
5	121	cooked	yetšum	
5	122	raw	nʸar̃	
5	123	ripe	poxiyim; pušum; yetšum	
5	124	green, unripe	nʸar̃	
5	125	rotten	lɨyum	
5	130	drink	yanʸsʸtɨ	
5	140	hunger	lelɨ	
5	141	famine	lelɨ	
5	150	thirst	tur̃ xoxtɨ; nʸalum sor̃tɨ	
5	160	suck	šeptɨ	
5	180	chew	lur̃ttɨ	
5	181	swallow	yuxʸi səxtatɨ	
5	190	choke	šaknɨyltɨ; lal yer̃mattɨ	
5	210	cook	put wʸer̃tɨ	
5	220	boil (vb)	kawar̃tti	
5	230	roast, fry	put wʸer̃tɨ	
5	240	bake	nʸanʸ wʸer̃tɨ	
5	250	oven	nʸanʸ wʸer̃tɨ kur̃	
5	260	pot, cooking vessel	put; lɨpʸi	
5	270	kettle	kʸew put	
5	280	pan	kew kar̃taŋ	
5	310	dish	put	
5	320	plate	an	
5	330	bowl	an	
5	340	pitcher, jug	suxtaput; kur̃ška	
5	350	cup, drinking vessel	an	
5	360	saucer	an	
5	370	spoon	nʸalɨ	
5	380	knife (2)	kʸeši	
5	390	fork (2)	wulka	
5	391	tongs	kar̃tɨ yoš	
5	410	meal (a)	letut	
5	420	breakfast	šay; alaŋ letut lewupsa	
5	430	lunch	xatl letut letapsa; xatl kutlup letapsa	
5	440	dinner	xatl kutlup letapsa	
5	450	supper	yetna letapsa	
5	460	peel	nʸir̃tɨ; xur̃tɨ	
5	470	sieve, strain	sistamttɨ	
5	480	scrape	kunštɨ	
5	490	stir, mix	lɨlattɨ; liltɨyltɨ	
5	510	bread	nʸanʸ	
5	530	dough	nʸanʸ šum	
5	540	knead	nʸanʸ omastɨ; muw r̃uwattɨ	
5	550	meal, flour	lant	
5	560	crush, grind	r̃awa šukatti; r̃awa wʸer̃tɨ	
5	610	meat	nʸuxɨ	
5	640	soup, broth	lant; xošum yuŋk	
5	650	vegetables	sur̃nʸet	
5	700	potato	kar̃təpka	
5	710	fruit	kar̃ɨ; lak; mor̃ʸi	
5	770	nut	noxar̃ sem	
5	790	oil	wuy	
5	791	grease, fat	wuy	
5	810	salt	sul	
5	820	pepper	kur̃mʸek	
5	821	chili pepper	kur̃mʸek	
5	840	honey	maw	
5	850	sugar	sakkar̃	
5	860	milk (noun)	esumyiŋk	
5	870	milk (vb)	pəstɨ	
5	880	cheese	war̃ok	
5	890	butter	miswuy	
5	900	beverage, drink	yanʸsʸtut	
5	910	mead	mawaŋ yanʸsʸtut	
5	920	wine	wuna	
5	930	beer	piwa	
5	940	fermented drink	piwa	
5	970	egg	kar̃aŋ pušax	
6	110	put on (clothes)	ləmaltatɨ	
6	120	clothing, clothes	ləmatsux	
6	130	tailor	ləmatsux yonttɨ xoyat	
6	210	cloth	sʸeškan; nuy	
6	220	wool	pun sʸeškan	
6	230	linen, flax	sʸeškan	
6	240	cotton	sʸeškan	
6	250	silk	yer̃mak	
6	270	felt	katanka	
6	280	fur	woy punaŋ sux	
6	290	leather	sux	
6	310	spin	yeŋtti	
6	320	spindle	yeŋt	
6	350	sew	yonttɨ	
6	360	needle	yintup	
6	370	awl	yoš pur̃	
6	380	thread	suxum	
6	390	dye	olʸupn ner̃tɨ	
6	410	cloak	yer̃t sux	
6	420	woman's dress	yer̃nas	
6	430	coat	wan sax; xoptan	
6	440	shirt	yer̃nas	
6	450	collar	r̃ux	
6	460	skirt	yupka	
6	480	trousers	ayer̃nas; kasʸ	
6	490	stocking, sock	wʸey	
6	510	shoe	sopʸek; pošmʸek	
6	520	boot	sopʸek	
6	540	shoemaker, cobbler	sopʸek yonttɨ xoyat; pošmʸek yonttɨ xoyat	
6	550	hat, cap	mʸil	
6	570	belt, girdle	antup	
6	580	glove	luyn pos	
6	610	pocket	sʸep	
6	620	button	poxl; nʸul	
6	710	ornament, adornment	xur̃am	
6	720	jewel	tɨnaŋ kʸew	
6	730	ring (for finger)	ləyt	
6	750	necklace	tur̃lops	
6	760	bead	sak	
6	770	earring	sʸimsʸik	
6	810	handkerchief, rag	pulx pəsti sux; lanʸsʸak; r̃akasʸi	Respectively: handkerchief; rag; rag.; Respectively: handkerchief; rag; rag.; Respectively: handkerchief; rag; rag.
6	820	towel	wenš moŋxtɨ sux	
6	910	comb	kunšup	
6	920	brush	sʸotka	
6	921	braid	sewtɨ; sew	
6	940	ointment	ler̃	
6	950	soap	lunʸsʸax; moytek	
6	960	mirror	wenš wanttɨ wux	
7	110	dwell, live	wəltɨ	
7	120	house	xot	
7	130	hut	xot	
7	131	garden-house	xot	
7	140	tent	par̃sʸin xot	
7	150	yard, court	xot puŋal taxʸi	
7	180	meeting house	ux puntɨ; poyiksʸatɨ xot	
7	210	room	xot yit	
7	220	door, gate	ow; pəšas ow	Respectively: door; gate.; Respectively: door; gate.
7	221	doorpost, jamb	ow xošap	
7	230	lock (noun)	tuman	
7	231	latch, door-bolt	ow kattup	
7	240	key	tuman nʸalum	
7	250	window	išnʸi	
7	260	floor	xotxar̃ɨ	
7	270	wall	xot pawar̃t; xot puŋal	
7	310	fireplace	kər̃	
7	320	stove	kər̃	
7	330	chimney	tur̃pa	
7	370	ladder	xəŋxep	
7	420	bed	ultɨ lot	
7	421	pillow	usum xɨr̃	
7	422	blanket	laŋkup	
7	430	chair	bəlas	
7	440	table	pasan	
7	450	lamp, torch	lampa	
7	460	candle	iswesʸa	
7	470	shelf	nur̃um	
7	480	trough	xur̃ɨ	
7	510	roof	xotlaŋal	
7	520	thatch	tur̃n xotlaŋal	
7	550	beam	pawar̃t	
7	560	post, pole	aŋkal; nɨr̃	
7	570	board	soxal	
7	610	mason	kʸew seŋktɨ xoyat	
7	620	brick	kʸir̃masʸ	
8	110	farmer	muw xusʸa r̃əpittɨ xoyat	
8	120	field (for cultivation)	xar̃	
8	130	garden	osʸ; okr̃ot	
8	150	cultivate, till	muw šukattɨ	
8	160	fence	okr̃ot wer̃tɨ	
8	170	ditch	xulɨ	
8	210	plow	muw šukattɨ	
8	212	furrow	xulɨ	
8	220	dig	xʸir̃tɨ	
8	230	spade	sar̃; kar̃tsar̃	
8	240	shovel	sar̃	
8	260	fork	wula	
8	270	rake	kunšpaŋ yux	
8	310	sow	lant sem omastɨ	
8	311	seed	sem	
8	320	mow, reap	sewar̃tɨ	
8	330	sickle, scythe	tur̃n sewar̃tɨ kar̃tɨ	
8	350	threshing-floor	kum	
8	410	crop, harvest	lant tur̃n sewar̃tɨ pur̃a	
8	420	grain (barley, oats etc)	lant	
8	430	wheat	nuwi lant tur̃n; nuwi lant sem	
8	450	rye	al nʸanʸ tur̃n	
8	460	oats	low lant	
8	510	grass	tur̃n; wanši	
8	520	hay	tur̃n	
8	530	plant (noun)	tur̃n	
8	531	plant (vb)	omastɨ	
8	540	root	ler̃	
8	550	branch	nuw	
8	560	leaf	lɨpat	
8	570	flower	tʸatʸi	
8	600	tree	yux	
8	630	birch	sumat	
8	640	pine	bənši	
8	650	fir	xəl	
8	680	tobacco	šar̃	
8	690	smoke (tobacco)	šar̃ laltɨ	
8	691	pipe	tur̃pka	
8	720	tree stump	aŋkal	
8	730	tree trunk	yux	
8	740	forked branch	nuw	
8	750	bark	kar̃	
8	910	sweet potato	eplaŋ kar̃təpka	
8	912	yam	yam; yams	
8	980	mushroom	tulax	
9	110	do, make	wʸer̃tɨ; wʸer̃attɨ	
9	120	work	r̃əpittɨ	
9	140	bend	xutaltɨ; kusaltɨ	
9	150	fold	i taxʸiya punɨyltɨ	
9	160	tie, bind	yir̃tɨ	
9	161	untie	losɨtti	
9	180	chain	kar̃tkʸel; sʸuŋk	
9	190	rope, cord	kʸel	
9	192	knot (noun)	monxal	
9	210	strike (hit, beat)	xatʸsʸatɨ; weltɨ	
9	211	pound with fist	sʸaxnɨn xatʸsʸati	
9	220	cut	ewattɨ; sewar̃tɨ	
9	221	cut down	ewattɨ	
9	222	chop, hew	sewar̃tɨ	
9	223	stab	lonʸsʸtɨ	
9	230	knife	kʸeši	
9	240	scissors, shears	kat yonlun kʸeši	
9	250	ax	layum	
9	260	break	šukattɨ	
9	261	broken	šukatum	
9	270	split	sewar̃tɨ	
9	280	tear	manšitɨ	
9	290	flay, skin	xur̃tɨ	
9	310	rub, wipe	ner̃tɨ	
9	320	stretch	lakka taltɨ	
9	330	pull	taltɨ	
9	340	spread out	laŋktɨ; par̃ŋaltɨ	
9	341	hang up	ixattɨ; exattɨ	
9	342	press	taŋar̃tti; nʸor̃ttɨ	
9	343	squeeze, wring	taŋar̃ttɨ	
9	350	pour	šošumtɨ	
9	360	wash	lʸuxattɨ; xul ner̃tɨ; xul muŋxtɨ	
9	370	sweep	yowaltɨ	
9	380	broom	yowlapsa	
9	422	tool	por̃mas	
9	430	carpenter	xot omastɨ xoyat	
9	440	build	omastɨ	
9	460	bore	pur̃attɨ	
9	461	hollow out	moxtɨ pur̃attɨ	
9	480	saw	yux ewattɨ kar̃tɨ	
9	490	hammer	sʸak; seŋkup	
9	500	nail	kar̃luŋk	
9	560	glue	aym	
9	600	smith, blacksmith	kar̃tɨ seŋktɨ xoyat	
9	610	forge	kar̃tɨ seŋktɨ	
9	620	anvil	kar̃tɨ seŋktɨ kʸew	
9	630	cast (metals)	kar̃tɨ pur̃mas wʸer̃tɨ	
9	640	gold	sor̃nʸi	
9	650	silver	sʸel wux	
9	660	copper, bronze	patar̃ ox	
9	670	iron	kar̃tɨ	
