chapter_id	entry_id	meaning	Selkup_Phonemic	comment
9	280	tear	nɨtaḳo; tonɨtaḳo	
9	290	flay, skin	ɩnnælʸmɨm toiḳo	
9	310	rub, wipe	musɨḳo; natḳɨlḳo	
9	320	stretch	nækæḳo; nækæmpɨḳo	
9	330	pull	næḳḳɨlpɨḳo	
9	340	spread out	tɔḳɨḳo	
9	341	hang up	ɨtɨḳo	
9	342	press	ɨpaḳo	
9	343	squeeze, wring	ɨpḳɨleḳo	
9	350	pour	ḳamtɨḳo	
9	360	wash	musɨltɨḳo	
9	370	sweep	ḳatalḳo	
9	380	broom	mʸayɨllaka	
9	422	tool	učʸɨptælʸmɨ	
9	440	build	meḳo	
9	460	bore	pur̃tɨḳo	
9	461	hollow out	čʸoḳḳoḳo	
9	480	saw	pila	
9	490	hammer	sɔlɨ	
9	500	nail	tipɨ	
9	560	glue	čʸimɨ	
9	600	smith, blacksmith	čʸɔttɨr̃ælʸ ḳum	
9	610	forge	čʸɔttɨr̃ḳo	
9	620	anvil	kəsɨllaka	
9	630	cast (metals)	čʸɔttɨr̃ḳo	Means 'to smelt'.
9	640	gold	solota	
9	650	silver	ser̃epr̃a	
9	660	copper, bronze	tulla	Means 'copper'.
9	670	iron	kəsɨ	
9	720	mold (clay etc)	meḳo	
9	730	clay	šʸyo	
9	740	glass	sekɨla	
9	750	weave, plait	sər̃ɨḳo	
9	760	basket	tuyka	
9	780	netbag	r̃ušʸɨlʸ mešak	
9	810	carve	meḳo	
9	880	paint (noun)	sɨ; kr̃aska	
9	890	paint (vb)	sɨtḳo; natḳɨlḳo	
10	110	move	čʸaḳḳɨltɨḳo; čʸoḳḳolḳo	
10	120	turn over	kolʸalḳo	
10	130	turn around	kolimpɨḳo	
10	140	wind, wrap	kolʸaltɨḳo	
10	150	roll	kolimpɨḳo	
10	160	drop (vb)	əstɨḳo	
10	170	twist	kolʸlimɔtḳo	
10	210	rise	ɩnnæ nɨlaiḳo	
10	220	raise, lift	ɩnnæ iḳo	
10	230	fall	alʸčʸɨḳo	
10	240	drip	čʸapɨḳo	
10	250	throw	čʸattɨḳo	
10	252	catch (ball)	or̃aḳo	
10	260	shake	tupaḳo	
10	320	flow	küŋtɨltɨmpɨḳo	
10	330	sink	ütḳɨn ḳuḳo	
10	340	float	pentaleḳo	Means 'to float with the stream, downstream'.
10	350	swim	uḳɨlḳo	
10	351	dive	patɨḳo; üttɨ patḳo	
10	352	splash	ličʸḳɨr̃altɨḳo	
10	360	sail (vb)	pentɨḳo	Refers to locomotion by means of a boat.
10	370	fly (vb)	tɩmpɨḳo	
10	380	blow	mær̃ḳɨḳo; puḳo	
10	410	creep, crawl	soḳḳɨr̃ḳo	
10	412	kneel	pultɨtalelʸčʸɨḳo	
10	413	crouch	kɛtɨŋḳo	
10	420	slide, slip	nešʸɨr̃ḳo	
10	430	jump, leap	paktɨr̃ɨḳo	
10	431	kick	tappɔlḳo; tapɨr̃ḳo	
10	440	dance	laksɨr̃ɨḳo	
10	450	walk	ḳənḳo	
10	451	limp	nʸor̃ḳaḳo; ḳur̃aḳo	
10	460	run	kur̃alḳo; tɨŋaltɨḳo	
10	470	go	kənḳo; antar̃ḳo; ḳonɩšʸḳo; ḳöšʸḳo; ḳoɩšʸḳo	
10	471	go up	sɨḳɨlḳo; wəšʸɨḳo	
10	472	climb	sɨḳɨlḳo	
10	473	go down	panɩšʸḳo; paɩšʸḳo	
10	474	go out	tar̃ɨḳo; tantɨḳo	
10	480	come	tüḳo; ičʸčʸɨḳo; ičʸčʸɨr̃ḳo	
10	481	come back	pɔr̃aliḳo	
10	490	go away, depart	tantɨḳo; tar̃ɨḳo; ḳənḳo; kur̃alḳo; wašʸɨḳo	
10	491	disappear	ür̃r̃aiḳo	
10	510	flee	kur̃alḳo; ḳælḳo; ḳoptɨr̃ḳo; paktɨḳo	
10	520	follow	nʸotɨḳo	
10	530	pursue	nʸor̃ḳo; nʸotɨḳo	
10	550	reach, arrive	tüḳo; tulɨšʸḳo	
10	560	approach	tɛtɨčʸak tüḳo	
10	570	enter	šʸer̃ḳo	
10	610	carry (bear)	tuḳɨlḳo	
10	612	carry-in-hand	utɨsæ tuḳɨlḳo	
10	613	carry-on-shoulder	ḳəḳsæ tuḳɨlḳo	
10	614	carry-on-head	olɨsæ tuḳɨlḳo	
10	615	carry-underarm	ḳolɨnʸ šʸünʸčʸoḳɨt tuḳɨlḳo	
10	620	bring	totɨḳo	
10	630	send	ütɨḳo	
10	640	lead (vb)	tɔtɨr̃ɨḳo	
10	650	drive	nʸotɨḳo; nʸoḳo	
10	660	ride	ḳənḳo; kor̃aḳo	
10	670	push, shove	noḳḳoḳo; noḳḳolḳo	
10	710	road	wəttɨ; məttɨ	
10	720	path	wəttɨ	
10	740	bridge	pɨlɨ	
10	750	carriage, wagon, cart	kolʸalʸ ḳaḳlɨ	
10	760	wheel	kolʸa	
10	830	boat	alako	
10	831	canoe	antɨ	
10	840	raft	pɨlɨ	
10	850	oar	lapɨ	
10	851	paddle (noun)	lapɨ	
10	852	row (vb)	tuḳo	
10	890	anchor	yakor̃ʸ	
10	920	land (vb)	ḳanɨktɨ matḳačʸɨḳo	
11	110	have	ɛḳo	
11	120	own, possess	ɛḳo	
11	130	take	iḳo	
11	140	seize, grasp	or̃aḳo	
11	150	hold	or̃ḳɨlpɨḳo	
11	160	get, obtain	iḳo	
11	170	keep, retain	or̃ḳɨlpɨḳo	
11	180	thing	utak; tetamɨ	
11	210	give	miḳo	
11	220	give back	ḳotta miḳo	
11	240	preserve, look after	mɛr̃ɨḳo	
11	250	save, rescue	nennæ iḳo	
11	270	destroy	panalḳo; topanalḳo; tayaltɨḳo	
11	280	harm, injure, damage	ḳošʸɨk meḳo	
11	310	seek, look for	peḳo	
11	320	find	ḳoḳo	
11	330	lose	ür̃tɨḳo	
11	340	release, let go	ütɨḳo	
11	430	money	ḳomtæ	
11	440	coin	kəsɨlʸ ḳomtæ	
11	510	rich	tɛttalʸ	
11	520	poor	ɨpkɨlɨmpɨtɨlʸ; sɨḳɨlalʸ	
11	530	beggar	ḳomtækɨtɨlʸ; ḳošʸtɨlʸ	
11	540	avaricious, stingy	tar̃alʸ; panʸčʸɨnɨlʸ	
11	610	lend	mintɨr̃ḳo	
11	620	borrow	itɨr̃ḳo	
11	630	owe	ḳolʸčʸan ɛḳo	
11	640	debt	ḳolʸčʸa	
11	650	pay (vb)	mir̃tɨḳo	
11	660	account, reckoning	toḳɨltɨpsa	
11	770	hire	lɛntɨḳo	
11	780	wages	ləni	
11	790	earn	učʸɨḳo ḳomtæt čʸɔtɨ	
11	810	buy	təmɨko	
11	820	sell	mir̃ɨŋḳo	
11	830	trade, barter	təmtɨḳo	
11	840	merchant	təmḳup	
11	860	store, shop	lopkɨ	
11	870	price	mir̃	
11	880	dear (costly, expensive)	mir̃sɨmɨlʸ	
11	890	cheap	ḳeptɨmɨlʸ	
11	910	share (distribute)	mɔlɨiḳo; miḳɨlḳo	
11	920	weigh	wessaŋḳo	
12	10	after	pun	
12	11	behind	tɔḳɨn; čʸipɔḳɨn; moḳɨnæn	
12	20	beside	ḳöḳɨn	
12	30	down, below	ɩllæ	
12	40	before	ukon	
12	41	front	ukon	
