chapter_id	entry_id	meaning	Hungarian_Standard	Hungarian_Phonemic	comment
7	560	post, pole	pózna; rúd	poozna; ruud	
7	570	board	deszka; tábla	deska; taabla	
7	580	arch	boltív	boltiiw	
7	610	mason	kőműves	köömüüweš	
7	620	brick	tégla	teegla	
7	630	mortar	vakolat	wakolat	
7	640	adobe	vályog; vályogtégla	waalʸog; waalʸogteegla	
8	110	farmer	földműves; paraszt	földmüüweš; parast	
8	120	field (for cultivation)	szántó	saantoo	
8	130	garden	kert; gyümölczös	kert; dʸümölčöš	
8	150	cultivate, till	művel	müüwel	
8	160	fence	körülkerít; elkerít; bekerít	körülkeriit; elkeriit; bekeriit	
8	170	ditch	árok	aarok	
8	210	plow	szánt	saant	
8	212	furrow	barázda	baraazda	
8	220	dig	ás	aaš	
8	230	spade	ásó	aašoo	
8	240	shovel	lapát	lapaat	
8	250	hoe	kapa	kapa	
8	260	fork	villa	willa	
8	270	rake	gereblye	gereblʸe	
8	310	sow	vet; elvet	wet; elwet	
8	311	seed	mag	mag	
8	320	mow, reap	arat; kaszál	arat; kasaal	
8	330	sickle, scythe	sarló; kasza	šarloo; kasa	
8	340	thresh	kiczépel	kičeepel	
8	350	threshing-floor	szérű	seerüü	
8	410	crop, harvest	aratás; termés	arataaš; termeeš	
8	420	grain (barley, oats etc)	gabona; termény	gabona; termeeɲ	
8	430	wheat	búza	buuza	
8	440	barley	árpa	aarpa	
8	450	rye	rozs	rož	
8	460	oats	zab	zab	
8	470	maize, corn	kukorica	kukoric̷a	
8	480	rice	rizs	riž	
8	510	grass	fű	füü	
8	520	hay	széna	seena	
8	530	plant (noun)	növény	nöweeɲ	
8	531	plant (vb)	ültet	ültet	
8	540	root	gyökér; tő	dʸökeer; töö	
8	550	branch	ág	aag	
8	560	leaf	levél; lomb	leweel; lomb	
8	570	flower	virág	wiraag	
8	600	tree	fa	fa	
8	610	oak	tölgy	töldʸ	
8	620	beech	bükk	bükk	
8	630	birch	nyír	ɲiir	
8	640	pine	fenyő	feɲöö	
8	650	fir	enyő	eɲöö	
8	660	acorn	makk	makk	
8	670	vine	szőlő	söölöö	
8	680	tobacco	dohány	dohaaɲ	
8	690	smoke (tobacco)	dohányzik	dohaaɲzik	
8	691	pipe	pipa	pipa	
8	720	tree stump	tőnk	töönk	
8	730	tree trunk	törzs	törž	
8	740	forked branch	ág	aag	
8	750	bark	fakéreg	fakeereg	
8	760	sap	lé; nedv	lee; nedw	
8	810	palm tree	pálma	paalma	
8	820	coconut	kókuszdió	kookusdioo	
8	830	citrus fruit	déligyümölcz; citrusfélék	deelidʸümölč; c̷itrušfeeleek	
8	840	banana tree	banán	banaan	
8	850	banyan	indiai fügefa	indiai fügefa	
8	910	sweet potato	batátasz	bataatas	
8	920	tapioca, manioc, cassava	tapióka; manióka	tapiooka; maniooka	
8	930	gourd	lopótök	lopootök	
8	931	pumpkin, squash	tök	tök	
