chapter_id	entry_id	meaning	Erzya Mordvin_Phonemic	comment
5	410	meal (a)	stolʸ	
5	420	breakfast	valskenʸ yar̃samo	
5	440	dinner	obed	
5	450	supper	čokšnʸenʸ yar̃samo	
5	460	peel	vatkams	
5	470	sieve, strain	suvtʸeme; suvtʸnʸems	
5	480	scrape	čovams; koc̷ʸker̃ʸems	
5	490	stir, mix	čovor̃ʸams	
5	510	bread	kšɨ	
5	530	dough	čapaks	
5	540	knead	ičems	
5	550	meal, flour	počt; tovt	
5	560	crush, grind	yažavtoms	
5	570	mill	vedʸgev	
5	580	mortar (2)	par̃ʸ	
5	590	pestle	lauža	
5	610	meat	sɨvelʸ	
5	630	sausage	kalbaz	
5	640	soup, broth	yam	
5	650	vegetables	moda emež	
5	660	bean	bobka	
5	700	potato	modamar̃ʸ	
5	710	fruit	emežt	
5	712	bunch	pusmo	
5	760	grape	vinogr̃ad	
5	770	nut	peštʸe	
5	790	oil	oy	
5	791	grease, fat	potmo oy	
5	810	salt	sal	
5	820	pepper	per̃ʸec̷ʸ	
5	840	honey	medʸ	
5	850	sugar	saxor̃	
5	860	milk (noun)	lovso	
5	870	milk (vb)	potʸavtoms	
5	880	cheese	topo	
5	890	butter	oy	
5	900	beverage, drink	poza	
5	910	mead	ar̃vo; medʸ	
5	920	wine	vina	
5	930	beer	piya	
5	940	fermented drink	pur̃ʸe	
5	970	egg	al	
5	971	egg yolk	al tʸuža	
6	110	put on (clothes)	or̃šams	
6	120	clothing, clothes	or̃šamopelʸ	
6	130	tailor	stɨc̷ʸa	
6	210	cloth	koc̷t	
6	220	wool	pona	
6	230	linen, flax	koc̷t	
6	240	cotton	xlopka	
6	250	silk	par̃ʸsʸey	
6	270	felt	kenʸdʸe	
6	280	fur	kedʸ	
6	290	leather	kisʸke; kedʸ	
6	310	spin	štʸer̃ʸdʸems	
6	320	spindle	štʸer̃ʸe	
6	330	weave	kodams	
6	340	loom	kodamonʸ stan	
6	350	sew	stams	
6	360	needle	salmuks	
6	370	awl	ur̃o	
6	380	thread	sur̃ʸe	
6	390	dye	ar̃toms	
6	410	cloak	velʸtʸamopelʸ	
6	420	woman's dress	palʸa	
6	430	coat	pidžak	
6	440	shirt	panar̃	
6	450	collar	sʸive	
6	460	skirt	yubka	
6	461	grass-skirt	nar̃	
6	480	trousers	ponkst	
6	490	stocking, sock	c̷ʸulka	
6	510	shoe	kem	
6	520	boot	kem; bota	
6	540	shoemaker, cobbler	kemenʸ stɨc̷ʸa	
6	550	hat, cap	šapka	
6	570	belt, girdle	kar̃ʸks	
6	580	glove	var̃ʸga	
6	590	veil	velʸtʸama	
6	610	pocket	zʸepe	
6	620	button	pov	
6	630	pin	sʸalgoma	
6	710	ornament, adornment	ar̃tovks	
6	720	jewel	par̃oči	
6	730	ring (for finger)	sur̃ks	
6	740	bracelet	kedʸks	
6	750	necklace	kir̃ʸgaške	
6	760	bead	er̃ʸge	
6	770	earring	pilʸeks	
6	780	headband, headdress	pac̷ʸa	
6	810	handkerchief, rag	pac̷ʸinʸe; nula	Respectively: handkerchief; rag.; Respectively: handkerchief; rag.
6	820	towel	nar̃damo	
6	910	comb	sur̃ʸsʸeme	
6	920	brush	seme	
6	921	braid	pulo; ponams	
6	930	razor	nar̃amka	
6	940	ointment	vadʸnʸema pelʸ	
6	950	soap	saponʸ	
6	960	mirror	čama vočamo	
7	110	dwell, live	er̃ʸams	
7	120	house	kudo	
7	130	hut	kudɨne	
7	131	garden-house	šalaga	
7	140	tent	palatka	
7	150	yard, court	kar̃daz	
7	160	men's house	c̷ʸor̃anʸ kudo	
7	170	cookhouse	panʸema kudo	
7	180	meeting house	vastoma kudo; oznoma kudo	
7	210	room	kudo	
7	220	door, gate	kenkš	
7	221	doorpost, jamb	kenkš kosʸak	
7	230	lock (noun)	panžoma	
7	231	latch, door-bolt	pekstamka; kenkš kundamo	
7	240	key	panžoma	
7	250	window	valʸma	
7	260	floor	kiyaks	
7	270	wall	stʸena	
7	310	fireplace	tolbanʸdʸa	
7	320	stove	kaštomo	
7	330	chimney	tr̃uba	
7	370	ladder	kusʸtʸema	
7	420	bed	ac̷amo	
7	421	pillow	todov	
7	422	blanket	velʸtʸamo	
7	430	chair	stul; ozamka	
7	440	table	stolʸ	
7	450	lamp, torch	lampa	
7	460	candle	štatol	
7	470	shelf	lavc̷ʸa͜lango	
7	480	trough	očko	
7	510	roof	velʸtʸavks; kudo pr̃ʸa	
7	520	thatch	olgonʸ kudo pr̃ʸa	
7	530	ridgepole	konʸaks	
7	540	rafter	str̃opila	
7	550	beam	tr̃oks	
7	560	post, pole	ologa	
7	570	board	laz	
7	580	arch	čir̃ʸke	
7	610	mason	kamenštɨk	
7	620	brick	kir̃ʸpec̷ʸ	
7	630	mortar	por̃ vedʸ	
7	640	adobe	samanʸ	
8	110	farmer	sokic̷ʸa-vidʸic̷ʸa	
8	120	field (for cultivation)	paksʸa	
8	130	garden	emež pir̃ʸe	
8	150	cultivate, till	sokams	
8	160	fence	pir̃ʸe pir̃ʸams	
8	170	ditch	latko	
8	210	plow	soka	
8	212	furrow	kiks; bor̃ozda	
8	220	dig	čuvoms	
8	230	spade	koyme	
8	240	shovel	koyme	
8	250	hoe	motɨga	
8	260	fork	sʸango	
8	270	rake	gr̃ablʸat	
8	310	sow	vidʸems	
8	311	seed	vidʸme	
8	320	mow, reap	tʸikše kuc̷ʸa; nuems lʸedʸems	
8	330	sickle, scythe	tar̃vaz; pelʸuma	
8	340	thresh	pivsems	
8	350	threshing-floor	tʸinge	
8	410	crop, harvest	sʸur̃onʸ čačoma	
8	420	grain (barley, oats etc)	sʸur̃o	
8	430	wheat	tovzʸuro	
8	440	barley	šuž	
8	450	rye	r̃ozʸ	
8	460	oats	pinʸeme	
8	470	maize, corn	kukur̃uza	
8	480	rice	r̃is	
8	510	grass	tʸikše	
8	520	hay	kosʸke tʸikše	
8	530	plant (noun)	tikše kastoms	
8	531	plant (vb)	kasoms	
8	540	root	yur̃	
8	550	branch	mor̃go	
8	560	leaf	tar̃ad lopa	
8	570	flower	c̷ʸec̷ʸa	
8	600	tree	čuvto	
8	610	oak	tumo	
8	620	beech	buk	
8	630	birch	kilʸey	
8	640	pine	piče	
8	650	fir	kuz	
8	660	acorn	ser̃ʸa	
8	670	vine	vinogr̃ad	
8	680	tobacco	tabak	
8	690	smoke (tobacco)	tar̃gams	
8	691	pipe	c̷ʸilʸim; pipka	
8	720	tree stump	mukor̃ʸ	
8	740	forked branch	r̃aškov	
8	750	bark	ker̃ʸ	
8	760	sap	kilʸey vedʸ	
8	810	palm tree	palʸma	
8	820	coconut	kokos	
8	830	citrus fruit	c̷itr̃us	
8	840	banana tree	bananonʸ čuvto	
8	850	banyan	banan	
8	910	sweet potato	lambamo modamar̃ʸ	
8	920	tapioca, manioc, cassava	manioka	
8	930	gourd	dur̃ak kuyar̃	
8	931	pumpkin, squash	dur̃ak kuyar̃	
8	940	bamboo	bambuk	
8	941	sugar cane	lambamotr̃osnik	
8	970	nettle	pic̷ʸipalaks	
8	980	mushroom	pango	
9	110	do, make	tʸeyems	
9	120	work	tʸev; važodʸems	
9	140	bend	menčems	
9	150	fold	vačkams	
9	160	tie, bind	kodams; sʸulmams	
9	161	untie	uksʸtʸems	
9	180	chain	c̷ep	
9	190	rope, cord	piks	
9	192	knot (noun)	sʸulmo	
9	210	strike (hit, beat)	čavoms	
9	211	pound with fist	vačkodʸems mokšnaso	
9	220	cut	pečkems	
9	221	cut down	ker̃ʸams	
9	222	chop, hew	ker̃ʸams	
9	223	stab	lazoms	
9	230	knife	peyelʸ	
9	240	scissors, shears	vasonʸ peyelʸtʸ	
9	250	ax	uzʸer̃ʸe	
9	251	adze	valanʸalgavtoms	
9	260	break	sʸinʸtʸr̃ʸems	
9	261	broken	sʸinʸdʸezʸ	
9	270	split	laznoms	
9	280	tear	sʸezʸnʸems	
9	290	flay, skin	nar̃ʸtʸnʸems; lutams	
9	310	rub, wipe	čovsʸems; yozams	
9	320	stretch	tar̃gams; uskoms	
9	330	pull	uskoms	
9	340	spread out	ac̷ams; počodoms	
9	341	hang up	tar̃gams; povodʸems	
9	342	press	lʸepštʸams	
9	343	squeeze, wring	lʸepštʸamo	
9	350	pour	valoms	
9	360	wash	šlʸams	
9	370	sweep	tʸenʸsʸems	
9	380	broom	tʸenʸsʸtʸ	
9	422	tool	kedʸyonks	
9	430	carpenter	plotnʸik	
9	440	build	putoms	
9	460	bore	pelʸems; kar̃ams	
9	461	hollow out	var̃ʸa; latko; čuvoms	
9	480	saw	pila	
9	490	hammer	molotka	
9	500	nail	eske	
9	600	smith, blacksmith	kuzʸnʸec̷ʸ	
9	610	forge	čavoms	
9	620	anvil	čavoma tar̃ka	
9	630	cast (metals)	valoms	
9	640	gold	sɨr̃ʸnʸe	
9	650	silver	sʸiya	
9	660	copper, bronze	piže	
9	670	iron	kšnʸi	
9	680	lead (noun)	kive	
9	690	tin, tinplate	kive	
9	710	potter	čakšonʸ tʸeyic̷ʸa	
9	720	mold (clay etc)	lʸepams	
9	730	clay	sʸovonʸ	
9	740	glass	sulʸika	
9	760	basket	keptʸer̃ʸ	
9	770	mat	vatala	
9	771	rug	kumba	
9	780	netbag	sʸetʸ	
9	790	fan (noun)	sʸolmo	
9	791	fan (vb)	avolʸams	
9	810	carve	ker̃ʸamo	
9	820	sculptor	skulʸptor̃	
9	830	statue	palmanʸ	
9	840	chisel	pelʸema	
9	880	paint (noun)	ar̃tovks	
9	890	paint (vb)	ar̃toms	
10	110	move	aygems-šaštoms	
10	120	turn over	velʸavtoms-mur̃dams	
10	130	turn around	čar̃ams; velʸams	
10	140	wind, wrap	ponams; tapar̃ʸams	
