chapter_id	entry_id	meaning	Udmurt_Phonemic	comment
5	480	scrape	suzʸanɩ; tazatɩnɩ	
5	490	stir, mix	sur̃anɩ	
5	510	bread	nʸanʸ	
5	530	dough	ɩlʸnʸanʸ; kolǰʸo	
5	540	knead	nɩr̃kɩnɩ	
5	550	meal, flour	pɩzʸ	
5	560	crush, grind	izɩnɩ	
5	570	mill	vuko	
5	580	mortar (2)	izvʸostka	
5	590	pestle	pestʸik	
5	610	meat	silʸ	
5	630	sausage	kolbasa	
5	640	soup, broth	šɩd	
5	650	vegetables	bakc̷ʸa sʸion	
5	660	bean	sʸëd këžɩ	
5	700	potato	kar̃toška	
5	710	fruit	yemɩš	
5	712	bunch	ǰʸuski	
5	750	fig	figa	
5	760	grape	vinogr̃ad	
5	770	nut	pušmulʸɩ	
5	780	olive	olʸivka	
5	790	oil	vëy	
5	791	grease, fat	këy	
5	810	salt	sɩlal	
5	820	pepper	pësʸtur̃ɩn	
5	821	chili pepper	gor̃d pësʸtur̃ɩn	
5	840	honey	c̷ʸec̷ʸɩ	
5	850	sugar	saxar̃	
5	860	milk (noun)	yël	
5	870	milk (vb)	yël kɩskɩnɩ	
5	880	cheese	sɩr̃	
5	890	butter	vëy	
5	900	beverage, drink	yuon	
5	910	mead	musur̃	
5	920	wine	vina	
5	930	beer	sur̃	
5	940	fermented drink	c̷ʸɩr̃sam yël	
5	970	egg	puz	
5	971	egg yolk	kur̃eg puz	
6	110	put on (clothes)	disʸanɩ	
6	120	clothing, clothes	disʸ	
6	130	tailor	vur̃isʸkisʸ	
6	210	cloth	basma	
6	220	wool	ɩžgon	
6	230	linen, flax	alac̷ʸa; mer̃tc̷ʸan der̃a	
6	240	cotton	xlopok	
6	250	silk	bur̃tc̷ʸin	
6	270	felt	gɩn	
6	280	fur	ku	
6	290	leather	posem ku	
6	310	spin	c̷ʸer̃sɩnɩ	
6	320	spindle	c̷ʸer̃s	
6	330	weave	kuɩnɩ	
6	340	loom	der̃a kuon stanok	
6	350	sew	vurɩnɩ	
6	360	needle	venʸ	
6	370	awl	pežyan	
6	380	thread	sinʸɩs	
6	390	dye	buyanɩ	
6	410	cloak	plašʸ	
6	420	woman's dress	der̃em	
6	430	coat	pidžak	
6	440	shirt	der̃em	
6	450	collar	sʸir̃es	
6	460	skirt	yubka	
6	480	trousers	štanʸi	
6	490	stocking, sock	c̷ʸulka	
6	510	shoe	tuflʸi	
6	520	boot	sapeg	
6	540	shoemaker, cobbler	sapeg vur̃isʸ; sapeg lesʸtisʸ	
6	550	hat, cap	šlʸapa; izʸɩ	
6	570	belt, girdle	kusker̃tton	
6	580	glove	c̷ʸinʸɩyo-pëlɩyo pëzʸ	
6	590	veil	vualʸ	
6	610	pocket	kisɩ; ǰʸep	
6	620	button	bir̃dɩ	
6	630	pin	tec̷ʸisʸkon venʸ	
6	710	ornament, adornment	c̷ʸeber̃yan	
6	720	jewel	duno make	
6	730	ring (for finger)	zundes	
6	740	bracelet	poskes	
6	750	necklace	c̷ʸɩrtɩ vesʸ	
6	760	bead	vesʸ	
6	770	earring	pelʸugɩ	
6	780	headband, headdress	takya	
6	790	tattoo	tatuir̃ovka	
6	810	handkerchief, rag	nɩr̃ čuškon; čušet	
6	820	towel	čuškon	
6	910	comb	yɩr̃sɩn	
6	920	brush	šʸotka	
6	921	braid	punɩnɩ	
6	930	razor	br̃itva	
6	940	ointment	mazʸ	
6	950	soap	maytal	
6	960	mirror	sʸinuc̷ʸkon	
7	110	dwell, live	ulɩnɩ	
7	120	house	kor̃ka; yur̃t	
7	130	hut	pic̷ʸi kor̃ka; kuala	
7	131	garden-house	bakc̷ʸa kor̃ka	
7	140	tent	palatka	
7	150	yard, court	azbar̃	
7	170	cookhouse	kuala; gužem kor̃ka	
7	180	meeting house	lʸukasʸkon kor̃ka	
7	210	room	komnata	
7	220	door, gate	ës; kapka	
7	221	doorpost, jamb	yanak	
7	230	lock (noun)	tungon	
7	231	latch, door-bolt	pɩtset; punʸnʸet	
7	240	key	usʸton	
7	250	window	ukno	
7	260	floor	vɩž	
7	270	wall	bor̃ddor̃	
7	310	fireplace	gur̃	
7	320	stove	gur̃	
7	330	chimney	mur̃yo	
7	370	ladder	pagǰʸa	
7	420	bed	valʸes	
7	421	pillow	minder̃	
7	422	blanket	šobr̃et	
7	430	chair	pukon	
7	440	table	ǰëk	
7	450	lamp, torch	lampa	
7	460	candle	sʸusʸtɩl	
7	470	shelf	ǰažɩ	
7	480	trough	pudo sʸudon tusʸ	
7	510	roof	lʸipet	
7	520	thatch	kur̃o lʸipet	
7	530	ridgepole	str̃opila; ac̷ʸama	
7	540	rafter	vamen puč	
7	550	beam	tɩlsʸi	
7	560	post, pole	yubo	
7	570	board	pul	
7	580	arch	ar̃ka	
7	610	mason	kamenšʸik	
7	620	brick	kir̃pic̷ʸ	
7	630	mortar	izvestka	
8	110	farmer	muzyem bor̃dɩn užasʸ	
8	120	field (for cultivation)	busɩ; lud	
8	130	garden	sad	
8	150	cultivate, till	gɩr̃ɩnɩ	
8	160	fence	kenʸer̃anɩ	
8	170	ditch	gop	
8	210	plow	ger̃ɩ	
8	212	furrow	ger̃ɩ c̷ʸur̃	
8	220	dig	gudɩnɩ	
8	230	spade	lopata	
8	240	shovel	plʸic̷ʸka	
8	250	hoe	kukc̷ʸo	
8	260	fork	sanʸik	
8	270	rake	mažes	
8	310	sow	kizʸɩnɩ	
8	311	seed	kidɩs; tɩsʸ	
8	320	mow, reap	aranɩ; tur̃nanɩ	
8	330	sickle, scythe	sʸur̃lo; kuso	
8	340	thresh	kutsanɩ	
8	350	threshing-floor	inšɩr̃; itɩm	
8	410	crop, harvest	ar̃an; ar̃an dɩr̃	
8	420	grain (barley, oats etc)	yu-nʸanʸ	
8	430	wheat	c̷ʸabey	
8	440	barley	yɩdɩ	
8	450	rye	ǰʸeg	
8	460	oats	sʸezʸɩ	
8	470	maize, corn	kukur̃uza	
8	480	rice	r̃is	
8	510	grass	tur̃ɩn	
8	520	hay	tur̃ɩn	
8	530	plant (noun)	budos	
8	531	plant (vb)	mer̃ttɩnɩ	
8	540	root	vɩžɩ	
8	550	branch	ulvay	
8	560	leaf	kuar̃	
8	570	flower	sʸasʸka	
8	600	tree	pispu	
8	610	oak	tɩpɩ	
8	620	beech	buk	
8	630	birch	kɩzʸpu	
8	640	pine	pužɩm	
8	650	fir	kɩz	
8	660	acorn	žoludʸ	
8	670	vine	vinogr̃ad	
8	680	tobacco	tamak	
8	690	smoke (tobacco)	čɩn	
8	691	pipe	tr̃ubka	
8	720	tree stump	liyal	
8	730	tree trunk	modos	
8	740	forked branch	vay	
8	750	bark	sul; kur̃	
8	760	sap	vu	
8	810	palm tree	palʸma	
8	820	coconut	kokos	
8	840	banana tree	banan pu	
8	910	sweet potato	c̷ʸeskɩt kar̃toška	
8	930	gourd	tɩkva	
8	931	pumpkin, squash	tɩkva	
8	940	bamboo	bambuk	
8	941	sugar cane	saxar̃noy tr̃ostnʸik	
8	960	fish poison (root)	yad	
8	970	nettle	pušnʸer̃	
8	980	mushroom	gubi	
9	110	do, make	lesʸtɩnɩ; užanɩ	
9	120	work	užanɩ	
9	140	bend	kuasaltɩnɩ	
9	150	fold	tɩr̃ɩnɩ	
9	160	tie, bind	ker̃ttɩnɩ	
9	161	untie	per̃c̷ʸɩnɩ	
9	180	chain	zilʸɩ	
9	190	rope, cord	gozɩ	
9	192	knot (noun)	ger̃d	
9	210	strike (hit, beat)	žugɩnɩ	
9	211	pound with fist	mɩžganɩ	
9	220	cut	vandɩnɩ; šor̃ɩnɩ; šɩr̃ɩnɩ	
9	221	cut down	pic̷ʸiyomɩtɩnɩ; vakc̷ʸiyatɩnɩ	
9	222	chop, hew	kor̃anɩ	
9	223	stab	bɩškaltɩnɩ	
9	230	knife	pur̃t	
