chapter_id	entry_id	meaning	Northern Saami_Phonemic	comment
4	912	rest	vuoiŋŋɑstit	
4	920	lazy	laiki	
4	930	bald	balyis	
4	940	lame	skier̃bma	Noun form.
4	950	deaf	beɑlyeheɑpme	
4	960	mute	gielɑheɑpme	
4	970	blind	čɑlmmeheɑpme	
4	980	intoxicated	gar̃r̃emiin	
4	990	naked, bare	alas	
5	110	eat	bor̃r̃ɑt	
5	120	food	biebmu	
5	121	cooked	vuoššɑn	
5	122	raw	ɲuoskkɑs	
5	123	ripe	lattɑs	
5	124	green, unripe	r̃uonɑs	
5	125	rotten	mieskkɑs	
5	130	drink	yuhkɑt	
5	140	hunger	neɑlgi	
5	141	famine	neɑlggiheɑhti	
5	150	thirst	goiku	
5	160	suck	ɲɑmmɑt	
5	180	chew	suoskɑt	
5	181	swallow	ɲiellɑt	
5	190	choke	buvvot	
5	210	cook	malestit	
5	220	boil (vb)	vuoššɑt	
5	230	roast, fry	bɑssit	
5	240	bake	goikɑdit	
5	250	oven	uvdnɑ	
5	260	pot, cooking vessel	bahti	
5	270	kettle	gievdni	
5	280	pan	banno	
5	310	dish	fahttɑ	
5	320	plate	tɑlleɑr̃kɑ	
5	330	bowl	gummɑ	
5	340	pitcher, jug	muggɑ	
5	350	cup, drinking vessel	gohppu	
5	360	saucer	vuolaš	
5	370	spoon	bɑste	
5	380	knife (2)	niibi	
5	390	fork (2)	gaffɑl	
5	391	tongs	bɑsttɑt	Plural form.
5	410	meal (a)	malis	
5	430	lunch	malis	
5	450	supper	eɑhkedɑččɑt	
5	460	peel	gɑr̃r̃et	
5	470	sieve, strain	sillet	
5	480	scrape	fɑskut	
5	490	stir, mix	sehkket	
5	510	bread	laibi	
5	530	dough	daigi	
5	540	knead	duhppet	
5	550	meal, flour	yaffu	
5	560	crush, grind	millet	
5	570	mill	millu	
5	610	meat	bier̃gu	
5	630	sausage	mar̃fi	
5	640	soup, broth	malli	
5	650	vegetables	šɑddot	
5	660	bean	bahpu	
5	700	potato	buðet	
5	710	fruit	šɑddu	
5	712	bunch	gihppu	
5	750	fig	fiikon	
5	760	grape	viidnemuor̃yi	
5	770	nut	niehtti	
5	780	olive	oliivɑ	
5	790	oil	olyu	
5	791	grease, fat	buoidi	
5	810	salt	salti	
5	820	pepper	bihpɑr̃	
5	821	chili pepper	čilelɑš bihpɑr̃	
5	840	honey	honnet	
5	850	sugar	sohkɑr̃	
5	860	milk (noun)	mielki	
5	870	milk (vb)	bohčit	
5	880	cheese	vuosta	
5	890	butter	vuodyɑ	
5	900	beverage, drink	yugus	
5	910	mead	miehtɑyuhkɑmuš	
5	920	wine	viidnɑ	
5	930	beer	vuolɑ	
5	940	fermented drink	r̃uovttuvuolɑ	
5	970	egg	monni	
5	971	egg yolk	monnefiskɑdɑs	
6	110	put on (clothes)	gar̃vodit	
6	120	clothing, clothes	gar̃vu; suoyit	
6	130	tailor	bivttɑsgoɑr̃r̃u	
6	210	cloth	laðði	
6	220	wool	ullu	
6	230	linen, flax	liidni; beɑllemɑs	
6	240	cotton	bummol	
6	250	silk	silki	
6	270	felt	filte	
6	280	fur	nahkki	
6	290	leather	nahkki	
6	310	spin	botnit	
6	330	weave	goððit	
6	340	loom	stovlɑ	
6	350	sew	goɑr̃r̃ut	
6	360	needle	nallu	
6	370	awl	soɑiru	
6	380	thread	laigi	
6	390	dye	baidnit	
6	411	poncho	luhkkɑ	
6	420	woman's dress	čuvlɑ	
6	430	coat	yahkkɑ	
6	440	shirt	baidi	
6	450	collar	čeɑbet	
6	460	skirt	vuolpu	
6	480	trousers	buvssɑt	
6	490	stocking, sock	suohkku	
6	510	shoe	gamɑ	
6	520	boot	stevvel	
6	540	shoemaker, cobbler	suvddar̃	
6	550	hat, cap	hahttɑ; gɑhpir̃	
6	570	belt, girdle	boɑgan	
6	580	glove	r̃ɑhpot	
6	590	veil	suokkɑ	
6	610	pocket	lummɑ	
6	620	button	boɑllu	
6	630	pin	r̃ievdnu	
6	710	ornament, adornment	heɑr̃vɑ	
6	720	jewel	heɑr̃vɑgeɑðgi	
6	730	ring (for finger)	suor̃pmɑs	
6	740	bracelet	giehtɑr̃iekkis	
