#                 	                	                   	                	              	          	6.4.1.     	From the bases of the personal pronouns, the oldest possessive pronouns seem to have been mos, mine, ṇsmós, ours, twos, thine, usmós, yours, swos, own.                                                           
#                 	                	                   	                	              	          	6.4.2.     	The common Late Indo-European possessives were formed from the same bases with suffixes -(i)jo- in the singular, -(t)ero- in the plural; as, méwijos, menjos, my,ṇserós, our, téwijos, thy, userós, your, séwijos.
#                 	                	                   	                	              	          	6.4.3.     	Possessives are declined like adjectives of the first type, in -os, -ā, -om.                                                                                                                                      
# possessor-person	possessor-gender	possessor-plurality	possessed-gender	possessed-case	singular  	dual       	plural                                                                                                                                                                                                            
                  
reflexive         	neuter          	singular           	feminine        	vocative      	séwijeh₂  	séwijeh₂h₁e	séwijeh₂es                                                                                                                                                                                                        
reflexive         	neuter          	singular           	feminine        	accusative    	séwijām   	séwijeh₂h₁e	séwijeh₂m̥s                                                                                                                                                                                                       
reflexive         	neuter          	singular           	feminine        	genitive      	séwijeh₂s 	         	séwijeh₂oHom                                                                                                                                                                                                      
reflexive         	neuter          	singular           	feminine        	ablative      	séwijeh₂s 	         	séwijeh₂mos                                                                                                                                                                                                       
reflexive         	neuter          	singular           	feminine        	dative        	séwijeh₂ey	         	séwijeh₂mos                                                                                                                                                                                                       
reflexive         	neuter          	singular           	feminine        	locative      	séwijeh₂i 	         	séwijeh₂su                                                                                                                                                                                                        
reflexive         	neuter          	singular           	feminine        	instrumental  	séwijeh₂h₁	         	séwijeh₂bʰi                                                                                                                                                                                                       
                  
reflexive         	neuter          	singular           	neuter          	nominative    	séwijom   	séwijoyh₁	séwijeh₂                                                                                                                                                                                                          
reflexive         	neuter          	singular           	neuter          	vocative      	séwijom   	séwijoyh₁	séwijeh₂                                                                                                                                                                                                          
reflexive         	neuter          	singular           	neuter          	accusative    	séwijom   	séwijoyh₁	séwijeh₂                                                                                                                                                                                                          
reflexive         	neuter          	singular           	neuter          	genitive      	séwijosyo 	         	séwijoHom                                                                                                                                                                                                         
reflexive         	neuter          	singular           	neuter          	ablative      	séwijead  	         	séwijomos                                                                                                                                                                                                         
reflexive         	neuter          	singular           	neuter          	dative        	séwijoey  	         	séwijomos                                                                                                                                                                                                         
reflexive         	neuter          	singular           	neuter          	locative      	séwijoy   	         	séwijoysu                                                                                                                                                                                                         
reflexive         	neuter          	singular           	neuter          	instrumental  	séwijoh₁  	         	séwijōys                                                                                                                                                                                                          
                  
reflexive         	neuter          	plural             	masculine       	nominative    	séweros   	séweroh₁   	séwijoes                                                                                                                                                                                                          
reflexive         	neuter          	plural             	masculine       	vocative      	séwere    	séweroh₁   	séwijoes                                                                                                                                                                                                          
reflexive         	neuter          	plural             	masculine       	accusative    	séwerom   	séweroh₁   	séwijoms                                                                                                                                                                                                          
reflexive         	neuter          	plural             	masculine       	genitive      	séwerosyo 	         	séweroHom                                                                                                                                                                                                         
reflexive         	neuter          	plural             	masculine       	ablative      	séweread  	         	séweromos                                                                                                                                                                                                         
reflexive         	neuter          	plural             	masculine       	dative        	séweroey  	         	séweromos                                                                                                                                                                                                         
reflexive         	neuter          	plural             	masculine       	locative      	séweroy   	         	séweroysu                                                                                                                                                                                                         
reflexive         	neuter          	plural             	masculine       	instrumental  	séweroh₁  	         	séwerōys                                                                                                                                                                                                          
                  
reflexive         	neuter          	plural             	feminine        	nominative    	séwereh₂  	séwereh₂h₁e	séwijeh₂es                                                                                                                                                                                                        
reflexive         	neuter          	plural             	feminine        	vocative      	séwereh₂  	séwereh₂h₁e	séwijeh₂es                                                                                                                                                                                                        
reflexive         	neuter          	plural             	feminine        	accusative    	séwerām   	séwereh₂h₁e	séwijeh₂m̥s                                                                                                                                                                                                       
reflexive         	neuter          	plural             	feminine        	genitive      	séwereh₂s 	         	séwereh₂oHom                                                                                                                                                                                                      
reflexive         	neuter          	plural             	feminine        	ablative      	séwereh₂s 	         	séwereh₂mos                                                                                                                                                                                                       
reflexive         	neuter          	plural             	feminine        	dative        	séwereh₂ey	         	séwereh₂mos                                                                                                                                                                                                       
reflexive         	neuter          	plural             	feminine        	locative      	séwereh₂i 	         	séwereh₂su                                                                                                                                                                                                        
reflexive         	neuter          	plural             	feminine        	instrumental  	séwereh₂h₁	         	séwereh₂bʰi                                                                                                                                                                                                       
                  
reflexive         	neuter          	plural             	neuter          	nominative    	séwerom   	séweroyh₁	séwijeh₂                                                                                                                                                                                                          
reflexive         	neuter          	plural             	neuter          	vocative      	séwerom   	séweroyh₁	séwijeh₂                                                                                                                                                                                                          
reflexive         	neuter          	plural             	neuter          	accusative    	séwerom   	séweroyh₁	séwijeh₂                                                                                                                                                                                                          
reflexive         	neuter          	plural             	neuter          	genitive      	séwerosyo 	         	séweroHom                                                                                                                                                                                                         
reflexive         	neuter          	plural             	neuter          	ablative      	séweread  	         	séweromos                                                                                                                                                                                                         
reflexive         	neuter          	plural             	neuter          	dative        	séweroey  	         	séweromos                                                                                                                                                                                                         
reflexive         	neuter          	plural             	neuter          	locative      	séweroy   	         	séweroysu                                                                                                                                                                                                         
reflexive         	neuter          	plural             	neuter          	instrumental  	séweroh₁  	         	séwerōys                                                                                                                                                                                                          
                  
