*	*	nominative	vocative	accusative 	genitive 	dative 	instrumental 	locative 	#	
size	singular 	mant-i	mant-i	mant-i	mant-ēs, mant-eios	mant-ē	mant-ī	mant-ī	#	i-stem, neuter
size	dual 	mant-ī	mant-ī	mant-ī	mant-iōs, mant-ious	mant-ibon	mant-ibin	mant-ibin	#	
size	plural	mant-iā	mant-iā	mant-iā	mant-ion	mant-ibo	mant-ibi	mant-ibi	#	
door	singular 	d(w)or-on	d(w)or-on	d(w)or-on	d(w)or-ii	d(w)or-ū	d(w)or-ū	d(w)or-ē	#	o-stem, neuter
door	dual 	d(w)or-oi	d(w)or-oi	d(w)or-oi	d(w)or-iōs	d(w)or-obon	d(w)or-obin	d(w)or-ou	#	
door	plural	d(w)or-ā	d(w)or-ā	d(w)or-ā	d(w)or-ion	d(w)or-obo	d(w)or-obi, d(w)or-ūs	d(w)or-obi	#	
vase	singular 	bakk-os	bakk-e	bakk-on	bakk-i	bakk-ū	bakk-ū	bakk-ē	#	o-stem, animate?
vase	dual 	bakk-ō	bakk-ō	bakk-ō	bakk-ōs	bakk-obon	bakk-obin	bakk-ou	#	"lit. ""tray, large vase"""
vase	plural	bakk-ii, bakk-oi	bakk-ūs	bakk-ūs	bakk-on(on)	bakk-obo	bakk-obi, bakk-ūs	bakk-obi	#	
drum	singular 	tanar-os	tanar-e	tanar-on	tanar-i	tanar-ū	tanar-ū	tanar-ē	#	o-stem, animate?
drum	dual 	tanar-ō	tanar-ō	tanar-ō	tanar-ōs	tanar-obon	tanar-obin	tanar-ou	#	
drum	plural	tanar-ii, tanar-oi	tanar-ūs	tanar-ūs	tanar-on(on)	tanar-obo	tanar-obi, tanar-ūs	tanar-obi	#	
window	singular 	iag-os	iag-e	iag-on	iag-i	iag-ū	iag-ū	iag-ē	#	o-stem, animate?
window	dual 	iag-ō	iag-ō	iag-ō	iag-ōs	iag-obon	iag-obin	iag-ou	#	
window	plural	iag-ii, iag-oi	iag-ūs	iag-ūs	iag-on(on)	iag-obo	iag-obi, iag-ūs	iag-obi	#	
book	singular 	libr-os	libr-e	libr-on	libr-i	libr-ū	libr-ū	libr-ē	#	o-stem, animate?
book	dual 	libr-ō	libr-ō	libr-ō	libr-ōs	libr-obon	libr-obin	libr-ou	#	
book	plural	libr-ii, libr-oi	libr-ūs	libr-ūs	libr-on(on)	libr-obo	libr-obi, libr-ūs	libr-obi	#	
attention	singular 	uelii-ā	uelii-a	uelii-in	uelii-iās	uelii-ī	uelii-ī, uelii-iā	uelii-ī	#	a-stem, regular
attention	dual 	uelii-ī, uelii-ii	uelii-ī, uelii-ii	uelii-ī, uelii-ii	uelii-iōs, uelii-ious	uelii-ābon	uelii-ābin	uelii-ābin	#	
attention	plural	uelii-ās	uelii-ās	uelii-ās	uelii-ānon	uelii-ābo	uelii-ābi	uelii-ābi	#	
livestock	singular 	dam-os	dam-e	dam-on	dam-i	dam-ū	dam-ū	dam-ē	#	o-stem, animate
livestock	dual 	dam-ō	dam-ō	dam-ō	dam-ōs	dam-obon	dam-obin	dam-ou	#	
livestock	plural	dam-ii, dam-oi	dam-ūs	dam-ūs	dam-on(on)	dam-obo	dam-obi, dam-ūs	dam-obi	#	
glass	singular 	lag-os	lag-e	lag-on	lag-i	lag-ū	lag-ū	lag-ē	#	o-stem, animate?
glass	dual 	lag-ō	lag-ō	lag-ō	lag-ōs	lag-obon	lag-obin	lag-ou	#	
glass	plural	lag-ii, lag-oi	lag-ūs	lag-ūs	lag-on(on)	lag-obo	lag-obi, lag-ūs	lag-obi	#	
strong	singular 	maget-os	maget-e	maget-on	maget-i	maget-ū	maget-ū	maget-ē	#	o-stem, animate?
strong	dual 	maget-ō	maget-ō	maget-ō	maget-ōs	maget-obon	maget-obin	maget-ou	#	
strong	plural	maget-ii, maget-oi	maget-ūs	maget-ūs	maget-on(on)	maget-obo	maget-obi, maget-ūs	maget-obi	#	
