*	*		*	active	active	active	active	passive	passive	passive	passive	#											
change	perfective	2	past	cambī-sses	cambī-ssate	cambī-ssīs	cambī-ssīte	cambīt-ā/-os; 	cambīt-ās/-oi; 	cambīt-ā/-os; 	cambīt-ās/-oi;	#											
change	perfective	3	past	cambī-sset	cambī-sson	cambī-ssīt	cambī-ssīnt	cambīt-ā/-os; 	cambīt-ās/-oi; 	cambīt-ā/-os; 	cambīt-ās/-oi; 	#											
read	simple	1	present	ueli-ū	uelī-mos	ueli-ān	uelī-omos	ueli-ūr	uelī-mor	ueli-ār	uelī-omor	#	A2										
read	simple	2	present	uelī-i	uelī-te	uelī-ei	uelī-ete	uelī-tūr	uelī-te	uelī-etār	uelī-ete	#											
read	simple	3	present	uelī-t	uelī-nt	uelī-et	uelī-ont	uelī-tor	uelī-ntor	uelī-etor	uelī-ontor	#											
read	simple	1	future	uelī-siū	uelī-siomos	—	—	uelī-siūr	uelī-siomor	—	—	#											
read	simple	2	future	uelī-sies	uelī-siete	—	—	uelī-sietār	uelī-siete	—	—	#											
read	simple	3	future	uelī-siet	uelī-siont	—	—	uelī-sietor	uelī-siontor	—	—	#											
read	imperfective	1	past	uelī-nna	uelī-mes	—	—	uelī-nnar	uelī-mor	—	—	#											
read	imperfective	2	past	uelī-tās	uelī-tē	—	—	uelī-tār	uelī-tē	—	—	#											
read	imperfective	3	past	uelī-to	uelī-nto	—	—	uelī-tor	uelī-ntor	—	—	#											
read	perfective	1	past	uelī-ssū	uelī-ssamos	uelī-ssīn	uelī-ssīmos	uelīt-ā/-os; immi	uelīt-ās/-oi; emos	uelīt-ā/-os; buiū	uelīt-ās/-oi; buomos	#											
read	perfective	2	past	uelī-sses	uelī-ssate	uelī-ssīs	uelī-ssīte	uelīt-ā/-os; 	uelīt-ās/-oi; 	uelīt-ā/-os; 	uelīt-ās/-oi;	#											
read	perfective	3	past	uelī-sset	uelī-sson	uelī-ssīt	uelī-ssīnt	uelīt-ā/-os; 	uelīt-ās/-oi; 	uelīt-ā/-os; 	uelīt-ās/-oi; 	#											
direct	simple	1	present	reg-ū	reg-omos	reg-sū	reg-somos	reg-ūr	reg-omor	reg-sūr	reg-somor	#	B1										
direct	simple	2	present	reg-es	reg-ete	reg-ses	reg-sete	reg-etār	reg-ete	reg-setār	reg-sete	#											
direct	simple	3	present	reg-et	reg-ont	reg-set	reg-sont	reg-etor	reg-ontor	reg-setor	reg-sontor	#											
direct	simple	1	future	reg-siū	reg-siomos	—	—	reg-siūr	reg-siomor	—	—	#											
direct	simple	2	future	reg-sies	reg-siete	—	—	reg-sietār	reg-siete	—	—	#											
direct	simple	3	future	reg-siet	reg-siont	—	—	reg-sietor	reg-siontor	—	—	#											
direct	imperfective	1	past	reg-onna	reg-omes	—	—	reg-onnar	reg-omor	—	—	#											
direct	imperfective	2	past	reg-etās	reg-etē	—	—	reg-etār	reg-etē	—	—	#											
direct	imperfective	3	past	reg-eto	reg-onto	—	—	reg-etor	reg-ontor	—	—	#											
direct	perfective	1	past	❔	❔	❔	❔	regs-ā/-os immi	regs-ās/-oi emos	regs-ā/-os buiū	regs-ās/-oi buomos	#											
direct	perfective	2	past	❔	❔	❔	❔	regs-ā/-os ei	regs-ās/-oi esue	regs-ā/-os bues	regs-ās/-oi buete	#											
direct	perfective	3	past	❔	❔	❔	❔	regs-ā/-os essi	regs-ās/-oi sent	regs-ā/-os buet	regs-ās/-oi buont	#											
endure	simple	1	present	pass-ū	pass-omos	pass-sū	pass-somos	pass-ūr	pass-omor	pass-sūr	pass-somor	#	B1										
endure	simple	2	present	pass-es	pass-ete	pass-ses	pass-sete	pass-etār	pass-ete	pass-setār	pass-sete	#											
