*	*	*	*	nominative	genitive	dative	accusative	vocative	#	attic														
town	plural	neuter	greek	ᾰ̓́στη / ᾰ̓́στεᾰ	ᾰ̓́στεων	ᾰ̓́στεσῐ / ᾰ̓́στεσῐν	ᾰ̓́στη / ᾰ̓́στεᾰ	ᾰ̓́στη / ᾰ̓́στεᾰ	#	3														
town	plural	neuter	latin	ástē / ástea	ásteōn	ástesi(n)	ástē / ástea	ástē / ástea	#	3														
									#															
master	singular 	masculine	greek	βᾰσῐλεύς	βᾰσῐλέως	βᾰσῐλεῖ	βᾰσῐλέᾱ	βᾰσῐλεῦ	#	3														
master	singular 	masculine	latin	basileús	basiléōs	basileî	basiléā	basileû	#	3														
master	dual 	masculine	greek	βᾰσῐλῆ	βᾰσῐλέοιν	βᾰσῐλέοιν	βᾰσῐλῆ	βᾰσῐλῆ	#	3														
master	dual 	masculine	latin	basilê	basiléoin	basiléoin	basilê	basilê	#	3														
master	plural	masculine	greek	βᾰσῐλῆς / βᾰσῐλεῖς	βᾰσῐλέων	βᾰσῐλεῦσῐ / βᾰσῐλεῦσῐν	βᾰσῐλέᾱς	βᾰσῐλῆς / βᾰσῐλεῖς	#	3														
master	plural	masculine	latin	basilês / basileîs	basiléōn	basileûsi(n)	basiléās	basilês / basileîs	#	3														
																								
cow	singular 	masculine	greek	βοῦς	βοός	βοΐ	βοῦν	βοῦ	#	3														
cow	singular 	masculine	latin	boûs	boós	boḯ	boûn	boû	#	3														
cow	dual 	masculine	greek	βόε	βοοῖν	βοοῖν	βόε	βόε	#	3														
cow	dual 	masculine	latin	bóe	booîn	booîn	bóe	bóe	#	3														
cow	plural	masculine	greek	βόες	βοῶν	βουσί / βουσίν	βοῦς	βόες	#	3														
cow	plural	masculine	latin	bóes	boôn	bousí(n)	boûs	bóes	#	3														
																								
cow	singular 	feminine	greek	βοῦς	βοός	βοΐ	βοῦν	βοῦ	#	3														
cow	singular 	feminine	latin	boûs	boós	boḯ	boûn	boû	#	3														
cow	dual 	feminine	greek	βόε	βοοῖν	βοοῖν	βόε	βόε	#	3														
