appear	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)															
be-momentarily	possessive forms	possessive forms	possessive forms	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
be-momentarily	person	sing.	plur.																			
be-momentarily	1st	olemaisillani	olemaisillamme																			
be-momentarily	2nd	olemaisillasi	olemaisillanne																			
be-momentarily	3rd	olemaisillaanolemaisillansa	olemaisillaanolemaisillansa																			
change	inflection of muuttua (kotus type 52*c/sanoa, tt-t gradation)	inflection of muuttua (kotus type 52*c/sanoa, tt-t gradation)	inflection of muuttua (kotus type 52*c/sanoa, tt-t gradation)	inflection of muuttua (kotus type 52*c/sanoa, tt-t gradation)	inflection of muuttua (kotus type 52*c/sanoa, tt-t gradation)	inflection of muuttua (kotus type 52*c/sanoa, tt-t gradation)	inflection of muuttua (kotus type 52*c/sanoa, tt-t gradation)															
change	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood															
change	present tense	present tense	present tense	present tense	perfect	perfect	perfect															
change	person	person	positive	negative	person	positive	negative															
change	1st sing.	1st sing.	muutun	en muutu	1st sing.	olen muuttunut	en ole muuttunut															
change	2nd sing.	2nd sing.	muutut	et muutu	2nd sing.	olet muuttunut	et ole muuttunut															
change	3rd sing.	3rd sing.	muuttuu	ei muutu	3rd sing.	on muuttunut	ei ole muuttunut															
change	1st plur.	1st plur.	muutumme	emme muutu	1st plur.	olemme muuttuneet	emme ole muuttuneet															
change	2nd plur.	2nd plur.	muututte	ette muutu	2nd plur.	olette muuttuneet	ette ole muuttuneet															
change	3rd plur.	3rd plur.	muuttuvat	eivät muutu	3rd plur.	ovat muuttuneet	eivät ole muuttuneet															
change	passive	passive	muututaan	ei muututa	passive	on muututtu	ei ole muututtu															
change	past tense	past tense	past tense	past tense	pluperfect	pluperfect	pluperfect															
change	person	person	positive	negative	person	positive	negative															
change	1st sing.	1st sing.	muutuin	en muuttunut	1st sing.	olin muuttunut	en ollut muuttunut															
change	2nd sing.	2nd sing.	muutuit	et muuttunut	2nd sing.	olit muuttunut	et ollut muuttunut															
change	3rd sing.	3rd sing.	muuttui	ei muuttunut	3rd sing.	oli muuttunut	ei ollut muuttunut															
change	1st plur.	1st plur.	muutuimme	emme muuttuneet	1st plur.	olimme muuttuneet	emme olleet muuttuneet															
change	2nd plur.	2nd plur.	muutuitte	ette muuttuneet	2nd plur.	olitte muuttuneet	ette olleet muuttuneet															
change	3rd plur.	3rd plur.	muuttuivat	eivät muuttuneet	3rd plur.	olivat muuttuneet	eivät olleet muuttuneet															
change	passive	passive	muututtiin	ei muututtu	passive	oli muututtu	ei ollut muututtu															
change	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood															
change	present	present	present	present	perfect	perfect	perfect															
change	person	person	positive	negative	person	positive	negative															
change	1st sing.	1st sing.	muuttuisin	en muuttuisi	1st sing.	olisin muuttunut	en olisi muuttunut															
change	2nd sing.	2nd sing.	muuttuisit	et muuttuisi	2nd sing.	olisit muuttunut	et olisi muuttunut															
change	3rd sing.	3rd sing.	muuttuisi	ei muuttuisi	3rd sing.	olisi muuttunut	ei olisi muuttunut															
change	1st plur.	1st plur.	muuttuisimme	emme muuttuisi	1st plur.	olisimme muuttuneet	emme olisi muuttuneet															
change	2nd plur.	2nd plur.	muuttuisitte	ette muuttuisi	2nd plur.	olisitte muuttuneet	ette olisi muuttuneet															
change	3rd plur.	3rd plur.	muuttuisivat	eivät muuttuisi	3rd plur.	olisivat muuttuneet	eivät olisi muuttuneet															
change	passive	passive	muututtaisiin	ei muututtaisi	passive	olisi muututtu	ei olisi muututtu															
change	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood															
change	present	present	present	present	perfect	perfect	perfect															
change	person	person	positive	negative	person	positive	negative															
change	1st sing.	1st sing.	—	—	1st sing.	—	—															
change	2nd sing.	2nd sing.	muutu	älä muutu	2nd sing.	ole muuttunut	älä ole muuttunut															
change	3rd sing.	3rd sing.	muuttukoon	älköön muuttuko	3rd sing.	olkoon muuttunut	älköön olko muuttunut															
change	1st plur.	1st plur.	muuttukaamme	älkäämme muuttuko	1st plur.	olkaamme muuttuneet	älkäämme olko muuttuneet															
change	2nd plur.	2nd plur.	muuttukaa	älkää muuttuko	2nd plur.	olkaa muuttuneet	älkää olko muuttuneet															
change	3rd plur.	3rd plur.	muuttukoot	älkööt muuttuko	3rd plur.	olkoot muuttuneet	älkööt olko muuttuneet															
change	passive	passive	muututtakoon	älköön muututtako	passive	olkoon muututtu	älköön olko muututtu															
change	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood															
change	present	present	present	present	perfect	perfect	perfect															
change	person	person	positive	negative	person	positive	negative															
change	1st sing.	1st sing.	muuttunen	en muuttune	1st sing.	lienen muuttunut	en liene muuttunut															
change	2nd sing.	2nd sing.	muuttunet	et muuttune	2nd sing.	lienet muuttunut	et liene muuttunut															
change	3rd sing.	3rd sing.	muuttunee	ei muuttune	3rd sing.	lienee muuttunut	ei liene muuttunut															
change	1st plur.	1st plur.	muuttunemme	emme muuttune	1st plur.	lienemme muuttuneet	emme liene muuttuneet															
change	2nd plur.	2nd plur.	muuttunette	ette muuttune	2nd plur.	lienette muuttuneet	ette liene muuttuneet															
change	3rd plur.	3rd plur.	muuttunevat	eivät muuttune	3rd plur.	lienevät muuttuneet	eivät liene muuttuneet															
change	passive	passive	muututtaneen	ei muututtane	passive	lienee muututtu	ei liene muututtu															
change	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms															
change	infinitives	infinitives	infinitives	infinitives	participles	participles	participles															
change			active	passive		active	passive															
change	1st	1st	muuttua	muuttua	present	muuttuva	muututtava															
change	long 1st1	long 1st1	Possessive formsPersonsing.plur.1stmuuttuaksenimuuttuaksemme2ndmuuttuaksesimuuttuaksenne3rdmuuttuakseenmuuttuaksensa	Possessive formsPersonsing.plur.1stmuuttuaksenimuuttuaksemme2ndmuuttuaksesimuuttuaksenne3rdmuuttuakseenmuuttuaksensa	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	muuttuakseni	muuttuaksemme	2nd	muuttuaksesi	muuttuaksenne	3rd	muuttuakseenmuuttuaksensa	muuttuakseenmuuttuaksensa	past	muuttunut	muututtu
change	possessive forms	possessive forms	possessive forms																			
change	person	sing.	plur.																			
change	1st	muuttuakseni	muuttuaksemme																			
change	2nd	muuttuaksesi	muuttuaksenne																			
change	3rd	muuttuakseenmuuttuaksensa	muuttuakseenmuuttuaksensa																			
change	2nd	inessive2	muuttuessa	muututtaessa	agent3	muuttuma	muuttuma															
change	2nd	inessive2	Possessive formsPersonsing.plur.1stmuuttuessanimuuttuessamme2ndmuuttuessasimuuttuessanne3rdmuuttuessaanmuuttuessansa	Possessive formsPersonsing.plur.1stmuuttuessanimuuttuessamme2ndmuuttuessasimuuttuessanne3rdmuuttuessaanmuuttuessansa	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	muuttuessani	muuttuessamme	2nd	muuttuessasi	muuttuessanne	3rd	muuttuessaanmuuttuessansa	muuttuessaanmuuttuessansa	negative	muuttumaton	muuttumaton
change	2nd	possessive forms	possessive forms	possessive forms																		
change	person	sing.	plur.																			
change	1st	muuttuessani	muuttuessamme																			
change	2nd	muuttuessasi	muuttuessanne																			
change	3rd	muuttuessaanmuuttuessansa	muuttuessaanmuuttuessansa																			
change	instructive	muuttuen	—	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
change	3rd	inessive	muuttumassa	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
change	3rd	elative	muuttumasta	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
change	3rd	illative	muuttumaan	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
change	3rd	adessive	muuttumalla	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
change	3rd	abessive	muuttumatta	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
change	3rd	instructive	muuttuman	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	muututtaman															
change	4th4	verbal noun	muuttuminen	muuttuminen	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
change	5th1	5th1	Possessive formsPersonsing.plur.1stmuuttumaisillanimuuttumaisillamme2ndmuuttumaisillasimuuttumaisillanne3rdmuuttumaisillaanmuuttumaisillansa	Possessive formsPersonsing.plur.1stmuuttumaisillanimuuttumaisillamme2ndmuuttumaisillasimuuttumaisillanne3rdmuuttumaisillaanmuuttumaisillansa	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	muuttumaisillani	muuttumaisillamme	2nd	muuttumaisillasi	muuttumaisillanne	3rd	muuttumaisillaanmuuttumaisillansa	muuttumaisillaanmuuttumaisillansa	
change	possessive forms	possessive forms	possessive forms	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
change	person	sing.	plur.																			
change	1st	muuttumaisillani	muuttumaisillamme																			
change	2nd	muuttumaisillasi	muuttumaisillanne																			
change	3rd	muuttumaisillaanmuuttumaisillansa	muuttumaisillaanmuuttumaisillansa																			
climb	inflection of kiivetä (kotus type 74*e/katketa, p-v gradation)	inflection of kiivetä (kotus type 74*e/katketa, p-v gradation)	inflection of kiivetä (kotus type 74*e/katketa, p-v gradation)	inflection of kiivetä (kotus type 74*e/katketa, p-v gradation)	inflection of kiivetä (kotus type 74*e/katketa, p-v gradation)	inflection of kiivetä (kotus type 74*e/katketa, p-v gradation)	inflection of kiivetä (kotus type 74*e/katketa, p-v gradation)															
climb	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood															
climb	present tense	present tense	present tense	present tense	perfect	perfect	perfect															
climb	person	person	positive	negative	person	positive	negative															
climb	1st sing.	1st sing.	kiipeän	en kiipeä	1st sing.	olen kiivennyt	en ole kiivennyt															
climb	2nd sing.	2nd sing.	kiipeät	et kiipeä	2nd sing.	olet kiivennyt	et ole kiivennyt															
climb	3rd sing.	3rd sing.	kiipeää	ei kiipeä	3rd sing.	on kiivennyt	ei ole kiivennyt															
climb	1st plur.	1st plur.	kiipeämme	emme kiipeä	1st plur.	olemme kiivenneet	emme ole kiivenneet															
climb	2nd plur.	2nd plur.	kiipeätte	ette kiipeä	2nd plur.	olette kiivenneet	ette ole kiivenneet															
climb	3rd plur.	3rd plur.	kiipeävät	eivät kiipeä	3rd plur.	ovat kiivenneet	eivät ole kiivenneet															
climb	passive	passive	kiivetään	ei kiivetä	passive	on kiivetty	ei ole kiivetty															
climb	past tense	past tense	past tense	past tense	pluperfect	pluperfect	pluperfect															
climb	person	person	positive	negative	person	positive	negative															
climb	1st sing.	1st sing.	kiipesin	en kiivennyt	1st sing.	olin kiivennyt	en ollut kiivennyt															
climb	2nd sing.	2nd sing.	kiipesit	et kiivennyt	2nd sing.	olit kiivennyt	et ollut kiivennyt															
climb	3rd sing.	3rd sing.	kiipesi	ei kiivennyt	3rd sing.	oli kiivennyt	ei ollut kiivennyt															
climb	1st plur.	1st plur.	kiipesimme	emme kiivenneet	1st plur.	olimme kiivenneet	emme olleet kiivenneet															
climb	2nd plur.	2nd plur.	kiipesitte	ette kiivenneet	2nd plur.	olitte kiivenneet	ette olleet kiivenneet															
climb	3rd plur.	3rd plur.	kiipesivät	eivät kiivenneet	3rd plur.	olivat kiivenneet	eivät olleet kiivenneet															
climb	passive	passive	kiivettiin	ei kiivetty	passive	oli kiivetty	ei ollut kiivetty															
climb	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood															
climb	present	present	present	present	perfect	perfect	perfect															
climb	person	person	positive	negative	person	positive	negative															
climb	1st sing.	1st sing.	kiipeäisinkiipeisin	en kiipeäisien kiipeisi	1st sing.	olisin kiivennyt	en olisi kiivennyt															
climb	2nd sing.	2nd sing.	kiipeäisitkiipeisit	et kiipeäisiet kiipeisi	2nd sing.	olisit kiivennyt	et olisi kiivennyt															
climb	3rd sing.	3rd sing.	kiipeäisikiipeisi	ei kiipeäisiei kiipeisi	3rd sing.	olisi kiivennyt	ei olisi kiivennyt															
climb	1st plur.	1st plur.	kiipeäisimmekiipeisimme	emme kiipeäisiemme kiipeisi	1st plur.	olisimme kiivenneet	emme olisi kiivenneet															
climb	2nd plur.	2nd plur.	kiipeäisittekiipeisitte	ette kiipeäisiette kiipeisi	2nd plur.	olisitte kiivenneet	ette olisi kiivenneet															
climb	3rd plur.	3rd plur.	kiipeäisivätkiipeisivät	eivät kiipeäisieivät kiipeisi	3rd plur.	olisivat kiivenneet	eivät olisi kiivenneet															
climb	passive	passive	kiivettäisiin	ei kiivettäisi	passive	olisi kiivetty	ei olisi kiivetty															
climb	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood															
climb	present	present	present	present	perfect	perfect	perfect															
climb	person	person	positive	negative	person	positive	negative															
climb	1st sing.	1st sing.	—	—	1st sing.	—	—															
climb	2nd sing.	2nd sing.	kiipeä	älä kiipeä	2nd sing.	ole kiivennyt	älä ole kiivennyt															
climb	3rd sing.	3rd sing.	kiivetköön	älköön kiivetkö	3rd sing.	olkoon kiivennyt	älköön olko kiivennyt															
climb	1st plur.	1st plur.	kiivetkäämme	älkäämme kiivetkö	1st plur.	olkaamme kiivenneet	älkäämme olko kiivenneet															
climb	2nd plur.	2nd plur.	kiivetkää	älkää kiivetkö	2nd plur.	olkaa kiivenneet	älkää olko kiivenneet															
climb	3rd plur.	3rd plur.	kiivetkööt	älkööt kiivetkö	3rd plur.	olkoot kiivenneet	älkööt olko kiivenneet															
climb	passive	passive	kiivettäköön	älköön kiivettäkö	passive	olkoon kiivetty	älköön olko kiivetty															
climb	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood															
climb	present	present	present	present	perfect	perfect	perfect															
climb	person	person	positive	negative	person	positive	negative															
climb	1st sing.	1st sing.	kiivennen	en kiivenne	1st sing.	lienen kiivennyt	en liene kiivennyt															
climb	2nd sing.	2nd sing.	kiivennet	et kiivenne	2nd sing.	lienet kiivennyt	et liene kiivennyt															
climb	3rd sing.	3rd sing.	kiivennee	ei kiivenne	3rd sing.	lienee kiivennyt	ei liene kiivennyt															
climb	1st plur.	1st plur.	kiivennemme	emme kiivenne	1st plur.	lienemme kiivenneet	emme liene kiivenneet															
climb	2nd plur.	2nd plur.	kiivennette	ette kiivenne	2nd plur.	lienette kiivenneet	ette liene kiivenneet															
climb	3rd plur.	3rd plur.	kiivennevät	eivät kiivenne	3rd plur.	lienevät kiivenneet	eivät liene kiivenneet															
climb	passive	passive	kiivettäneen	ei kiivettäne	passive	lienee kiivetty	ei liene kiivetty															
climb	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms															
climb	infinitives	infinitives	infinitives	infinitives	participles	participles	participles															
climb			active	passive		active	passive															
climb	1st	1st	kiivetä	kiivetä	present	kiipeävä	kiivettävä															
climb	long 1st1	long 1st1	Possessive formsPersonsing.plur.1stkiivetäksenikiivetäksemme2ndkiivetäksesikiivetäksenne3rdkiivetäkseenkiivetäksensä	Possessive formsPersonsing.plur.1stkiivetäksenikiivetäksemme2ndkiivetäksesikiivetäksenne3rdkiivetäkseenkiivetäksensä	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	kiivetäkseni	kiivetäksemme	2nd	kiivetäksesi	kiivetäksenne	3rd	kiivetäkseenkiivetäksensä	kiivetäkseenkiivetäksensä	past	kiivennyt	kiivetty
climb	possessive forms	possessive forms	possessive forms																			
climb	person	sing.	plur.																			
climb	1st	kiivetäkseni	kiivetäksemme																			
climb	2nd	kiivetäksesi	kiivetäksenne																			
climb	3rd	kiivetäkseenkiivetäksensä	kiivetäkseenkiivetäksensä																			
climb	2nd	inessive2	kiivetessä	kiivettäessä	agent3	kiipeämä	kiipeämä															
climb	2nd	inessive2	Possessive formsPersonsing.plur.1stkiivetessänikiivetessämme2ndkiivetessäsikiivetessänne3rdkiivetessäänkiivetessänsä	Possessive formsPersonsing.plur.1stkiivetessänikiivetessämme2ndkiivetessäsikiivetessänne3rdkiivetessäänkiivetessänsä	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	kiivetessäni	kiivetessämme	2nd	kiivetessäsi	kiivetessänne	3rd	kiivetessäänkiivetessänsä	kiivetessäänkiivetessänsä	negative	kiipeämätön	kiipeämätön
climb	2nd	possessive forms	possessive forms	possessive forms																		
climb	person	sing.	plur.																			
climb	1st	kiivetessäni	kiivetessämme																			
climb	2nd	kiivetessäsi	kiivetessänne																			
climb	3rd	kiivetessäänkiivetessänsä	kiivetessäänkiivetessänsä																			
climb	instructive	kiiveten	—	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
climb	3rd	inessive	kiipeämässä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
climb	3rd	elative	kiipeämästä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
climb	3rd	illative	kiipeämään	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
climb	3rd	adessive	kiipeämällä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
