*	*	*	*	nominative	genitive	dative	accusative	vocative	#	epic												
master	plural	masculine	greek	βᾰσῐλῆες	βᾰσῐλήων	βᾰσῐλήεσσῐ / βᾰσῐλήεσσῐν / βᾰσῐλεῦσῐ / βᾰσῐλεῦσῐν	βᾰσῐλῆᾰς	βᾰσῐλῆες	#													
master	plural	masculine	latin	basilêes	basilḗōn	basilḗessi(n) / basileûsi(n)	basilêas	basilêes 	#													
									#													
cow	singular 	masculine	greek	βοῦς	βοός	βοΐ	βοῦν / βῶν	βοῦ	#													
cow	singular 	masculine	latin	boûs 	boós 	boḯ 	boûn / bôn 	boû 	#													
cow	dual 	masculine	greek	βόε	βοοῖν	βοοῖν	βόε	βόε	#													
cow	dual 	masculine	latin	bóe 	booîn 	booîn 	bóe 	bóe 	#													
cow	plural	masculine	greek	βόες	βοῶν	βουσί / βουσίν / βόεσσι / βόεσσιν	βόας / βοῦς	βόες	#													
cow	plural	masculine	latin	bóes	boôn	bousí(n) / bóessi(n)	bóas / boûs	bóes 	#													
									#													
cow	singular 	feminine	greek	βοῦς	βοός	βοΐ	βοῦν / βῶν	βοῦ	#													
cow	singular 	feminine	latin	boûs 	boós 	boḯ 	boûn / bôn 	boû 	#													
cow	dual 	feminine	greek	βόε	βοοῖν	βοοῖν	βόε	βόε	#													
cow	dual 	feminine	latin	bóe 	booîn 	booîn 	bóe 	bóe 	#													
cow	plural	feminine	greek	βόες	βοῶν	βουσί / βουσίν / βόεσσι / βόεσσιν	βόας / βοῦς	βόες	#													
cow	plural	feminine	latin	bóes	boôn	bousí(n) / bóessi(n)	bóas / boûs	bóes 	#													
									#													
vulture	singular 	masculine	greek	γῡ́ψ	γῡπός	γῡπῐ́	γῦπᾰ	γῡ́ψ	#													
vulture	singular 	masculine	latin	gū́ps 	gūpós 	gūpí 	gûpa 	gū́ps 	#													
vulture	dual 	masculine	greek	γῦπε	γῡποῖῐν	γῡποῖῐν	γῦπε	γῦπε	#													
vulture	dual 	masculine	latin	gûpe 	gūpoîin 	gūpoîin 	gûpe 	gûpe 	#													
vulture	plural	masculine	greek	γῦπες	γῡπῶν	γῡψῐ́ / γῡψῐ́ν / γῡ́πεσσῐ / γῡ́πεσσῐν / γῡ́πεσῐ / γῡ́πεσῐν	γῦπᾰς	γῦπες	#													
vulture	plural	masculine	latin	gûpes	gūpôn	gūpsí(n) / gū́pessi(n) / gū́pesi(n)	gûpas	gûpes 	#													
									#													
ichor	singular 	masculine	greek	ῑ̓χώρ	ῑ̓χῶρος	ῑ̓χῶρῐ	ῑ̓χῶ	ῑ̓χώρ	#													
ichor	singular 	masculine	latin	īkhṓr 	īkhôros 	īkhôri 	īkhô 	īkhṓr 	#													
ichor	dual 	masculine	greek	ῑ̓χῶρε	ῑ̓χώροιῐν	ῑ̓χώροιῐν	ῑ̓χῶρε	ῑ̓χῶρε	#													
ichor	dual 	masculine	latin	īkhôre 	īkhṓroiin 	īkhṓroiin 	īkhôre 	īkhôre 	#													
ichor	plural	masculine	greek	ῑ̓χῶρες	ῑ̓χώρων	ῑ̓χῶρσῐ/ῑ̓χῶρσῐν/ῑ̓χώρεσσῐ/ῑ̓χώρεσσῐν/ῑ̓χώρεσῐ/ῑ̓χώρεσῐν	ῑ̓χῶρᾰς	ῑ̓χῶρες	#													
ichor	plural	masculine	latin	īkhôres	īkhṓrōn	īkhôrsi(n)/īkhṓressi(n)/īkhṓresi(n)	īkhôras	īkhôres 	#													
									#													
man	singular 	masculine	greek	ᾱ̓νήρ	ᾱ̓νέρος	ᾱ̓νέρῐ	ᾱ̓νέρᾰ	ᾱ̓νήρ	#													
man	singular 	masculine	latin	ānḗr 	ānéros 	ānéri 	ānéra 	ānḗr 	#													
man	dual 	masculine	greek	ᾱ̓νέρε	ᾱ̓νέροιῐν	ᾱ̓νέροιῐν	ᾱ̓νέρε	ᾱ̓νέρε	#													
man	dual 	masculine	latin	ānére 	ānéroiin 	ānéroiin 	ānére 	ānére 	#													
man	plural	masculine	greek	ᾱ̓νέρες	ᾱ̓νέρων	ᾱ̓́νδρεσσῐ/ᾱ̓́νδρεσσῐν/ᾰ̓νδρᾰ́σῐ/ᾰ̓νδρᾰ́σῐν	ᾱ̓νέρᾰς	ᾱ̓νέρες	#													
man	plural	masculine	latin	ānéres	ānérōn	ā́ndressi(n)/andrási(n)	ānéras	ānéres 	#													
									#													
arrow	singular 	neuter	greek	βέλος	βέλεος/βέλευς	βέλει/βέλεῐ̈	βέλος	βέλος	#													
arrow	singular 	neuter	latin	bélos 	béleos/béleus 	bélei/béleï 	bélos 	bélos 	#													
arrow	dual 	neuter	greek	βέλει/βέλεε	βελέοιν	βελέοιν	βέλει/βέλεε	βέλει/βέλεε	#													
