fall	subjunctive	active	past	imperfective	caderem	caderēs	caderet	caderēmus	caderētis	caderent									
fall	subjunctive	active	present	perfective	ceciderim	ceciderīs	ceciderit	ceciderīmus	ceciderītis	ceciderint									
fall	subjunctive	active	past	perfective	cecidissem	cecidissēs	cecidisset	cecidissēmus	cecidissētis	cecidissent									
fall	subjunctive	passive	present	simple	—	—	cadātur	—	—	—									
fall	subjunctive	passive	past	imperfective	—	—	caderētur	—	—	—									
fall	subjunctive	passive	present	perfective	—	—	cāsum sit	—	—	—									
fall	subjunctive	passive	past	perfective	—	—	cāsum esset, cāsum foret	—	—	—									
fall	imperative	active	present	simple	—	cade	—	—	cadite	—									
fall	imperative	active	future	simple	—	caditō	caditō	—	caditōte	caduntō									
fly	indicative	active	present	simple	volō	volās	volat	volāmus	volātis	volant									
fly	indicative	active	past	imperfective	volābam	volābās	volābat	volābāmus	volābātis	volābant									
fly	indicative	active	future	simple	volābō	volābis	volābit	volābimus	volābitis	volābunt									
fly	indicative	active	present	perfective	volāvī	volāvistī	volāvit	volāvimus	volāvistis	volāvērunt, volāvēre									
fly	indicative	active	past	perfective	volāveram	volāverās	volāverat	volāverāmus	volāverātis	volāverant									
fly	indicative	active	future	perfective	volāverō	volāveris	volāverit	volāverimus	volāveritis	volāverint									
fly	indicative	passive	present	simple	—	—	volātur	—	—	—									
fly	indicative	passive	past	imperfective	—	—	volābātur	—	—	—									
fly	indicative	passive	future	simple	—	—	volābitur	—	—	—									
fly	indicative	passive	present	perfective	—	—	volātum est	—	—	—									
fly	indicative	passive	past	perfective	—	—	volātum erat	—	—	—									
fly	indicative	passive	future	perfective	—	—	volātum erit	—	—	—									
fly	subjunctive	active	present	simple	volem	volēs	volet	volēmus	volētis	volent									
fly	subjunctive	active	past	imperfective	volārem	volārēs	volāret	volārēmus	volārētis	volārent									
fly	subjunctive	active	present	perfective	volāverim	volāverīs	volāverit	volāverīmus	volāverītis	volāverint									
fly	subjunctive	active	past	perfective	volāvissem	volāvissēs	volāvisset	volāvissēmus	volāvissētis	volāvissent									
fly	subjunctive	passive	present	simple	—	—	volētur	—	—	—									
fly	subjunctive	passive	past	imperfective	—	—	volārētur	—	—	—									
fly	subjunctive	passive	present	perfective	—	—	volātum sit	—	—	—									
fly	subjunctive	passive	past	perfective	—	—	volātum esset, volātum foret	—	—	—									
fly	imperative	active	present	simple	—	volā	—	—	volāte	—									
fly	imperative	active	future	simple	—	volātō	volātō	—	volātōte	volantō									
hear	indicative	active	present	simple	audiō	audīs	audit	audīmus	audītis	audiunt									
hear	indicative	active	past	imperfective	audiēbam	audiēbās	audiēbat	audiēbāmus	audiēbātis	audiēbant									
hear	indicative	active	future	simple	audiam	audiēs	audiet	audiēmus	audiētis	audient									
hear	indicative	active	present	perfective	audīvī, audiī	audīvistī, audiistī	audīvit, audiit	audīvimus, audiimus	audīvistis, audiistis	audīvērunt, audīvēre, audiērunt, audiēre									
hear	indicative	active	past	perfective	audīveram, audieram	audīverās, audierās	audīverat, audierat	audīverāmus, audierāmus	audīverātis, audierātis	audīverant, audierant									
hear	indicative	active	future	perfective	audīverō, audierō	audīveris, audieris	audīverit, audierit	audīverimus, audierimus	audīveritis, audieritis	audīverint, audierint									
hear	indicative	passive	present	simple	audior	audīris, audīre	audītur	audīmur	audīminī	audiuntur									
hear	indicative	passive	past	imperfective	audiēbar	audiēbāris, audiēbāre	audiēbātur	audiēbāmur	audiēbāminī	audiēbantur									
hear	indicative	passive	future	simple	audiar	audiēris, audiēre	audiētur	audiēmur	audiēminī	audientur									
hear	subjunctive	active	present	simple	audiam	audiās	audiat	audiāmus	audiātis	audiant									
hear	subjunctive	active	past	imperfective	audīrem	audīrēs	audīret	audīrēmus	audīrētis	audīrent									
hear	subjunctive	active	present	perfective	audīverim, audierim	audīverīs, audierīs	audīverit, audierit	audīverīmus, audierīmus	audīverītis, audierītis	audīverint, audierint									
hear	subjunctive	active	past	perfective	audīvissem, audiissem	audīvissēs, audiissēs	audīvisset, audiisset	audīvissēmus, audiissēmus	audīvissētis, audiissētis	audīvissent, audiissent									
hear	subjunctive	passive	present	simple	audiar	audiāris, audiāre	audiātur	audiāmur	audiāminī	audiantur									
hear	subjunctive	passive	past	imperfective	audīrer	audīrēris, audīrēre	audīrētur	audīrēmur	audīrēminī	audīrentur									
hear	imperative	active	present	simple	—	audī	—	—	audīte	—									
hear	imperative	active	future	simple	—	audītō	audītō	—	audītōte	audiuntō									
hear	imperative	passive	present	simple	—	audīre	—	—	audīminī	—									
hear	imperative	passive	future	simple	—	audītor	audītor	—	—	audiuntor									
resemble	indicative	active	present	simple	similō	similās	similat	similāmus	similātis	similant									
resemble	indicative	active	past	imperfective	similābam	similābās	similābat	similābāmus	similābātis	similābant									
resemble	indicative	active	future	simple	similābō	similābis	similābit	similābimus	similābitis	similābunt									
resemble	indicative	active	present	perfective	similāvī	similāvistī	similāvit	similāvimus	similāvistis	similāvērunt, similāvēre									
resemble	indicative	active	past	perfective	similāveram	similāverās	similāverat	similāverāmus	similāverātis	similāverant									
resemble	indicative	active	future	perfective	similāverō	similāveris	similāverit	similāverimus	similāveritis	similāverint									
resemble	indicative	passive	present	simple	similor	similāris, similāre	similātur	similāmur	similāminī	similantur									
resemble	indicative	passive	past	imperfective	similābar	similābāris, similābāre	similābātur	similābāmur	similābāminī	similābantur									
resemble	indicative	passive	future	simple	similābor	similāberis, similābere	similābitur	similābimur	similābiminī	similābuntur									
resemble	subjunctive	active	present	simple	similem	similēs	similet	similēmus	similētis	similent									
resemble	subjunctive	active	past	imperfective	similārem	similārēs	similāret	similārēmus	similārētis	similārent									
resemble	subjunctive	active	present	perfective	similāverim	similāverīs	similāverit	similāverīmus	similāverītis	similāverint									
resemble	subjunctive	active	past	perfective	similāvissem	similāvissēs	similāvisset	similāvissēmus	similāvissētis	similāvissent									
resemble	subjunctive	passive	present	simple	similer	similēris, similēre	similētur	similēmur	similēminī	similentur									
resemble	subjunctive	passive	past	imperfective	similārer	similārēris, similārēre	similārētur	similārēmur	similārēminī	similārentur									
resemble	imperative	active	present	simple	—	similā	—	—	similāte	—									
resemble	imperative	active	future	simple	—	similātō	similātō	—	similātōte	similantō									
resemble	imperative	passive	present	simple	—	similāre	—	—	similāminī	—									
resemble	imperative	passive	future	simple	—	similātor	similātor	—	—	similantor									
rest	indicative	active	present	simple	requiēscō	requiēscis	requiēscit	requiēscimus	requiēscitis	requiēscunt									
rest	indicative	active	past	imperfective	requiēscēbam	requiēscēbās	requiēscēbat	requiēscēbāmus	requiēscēbātis	requiēscēbant									
rest	indicative	active	future	simple	requiēscam	requiēscēs	requiēscet	requiēscēmus	requiēscētis	requiēscent									
rest	indicative	active	present	perfective	requiēvī	requiēvistī	requiēvit	requiēvimus	requiēvistis	requiēvērunt, requiēvēre									
rest	indicative	active	past	perfective	requiēveram	requiēverās	requiēverat	requiēverāmus	requiēverātis	requiēverant									
rest	indicative	active	future	perfective	requiēverō	requiēveris	requiēverit	requiēverimus	requiēveritis	requiēverint									
rest	indicative	passive	present	simple	requiēscor	requiēsceris, requiēscere	requiēscitur	requiēscimur	requiēsciminī	requiēscuntur									
rest	indicative	passive	past	imperfective	requiēscēbar	requiēscēbāris, requiēscēbāre	requiēscēbātur	requiēscēbāmur	requiēscēbāminī	requiēscēbantur									
rest	indicative	passive	future	simple	requiēscar	requiēscēris, requiēscēre	requiēscētur	requiēscēmur	requiēscēminī	requiēscentur									
rest	subjunctive	active	present	simple	requiēscam	requiēscās	requiēscat	requiēscāmus	requiēscātis	requiēscant									
rest	subjunctive	active	past	imperfective	requiēscerem	requiēscerēs	requiēsceret	requiēscerēmus	requiēscerētis	requiēscerent									
rest	subjunctive	active	present	perfective	requiēverim	requiēverīs	requiēverit	requiēverīmus	requiēverītis	requiēverint									
rest	subjunctive	active	past	perfective	requiēvissem	requiēvissēs	requiēvisset	requiēvissēmus	requiēvissētis	requiēvissent									
rest	subjunctive	passive	present	simple	requiēscar	requiēscāris, requiēscāre	requiēscātur	requiēscāmur	requiēscāminī	requiēscantur									
rest	subjunctive	passive	past	imperfective	requiēscerer	requiēscerēris, requiēscerēre	requiēscerētur	requiēscerēmur	requiēscerēminī	requiēscerentur									
rest	imperative	active	present	simple	—	requiēsce	—	—	requiēscite	—									
rest	imperative	active	future	simple	—	requiēscitō	requiēscitō	—	requiēscitōte	requiēscuntō									
rest	imperative	passive	present	simple	—	requiēscere	—	—	requiēsciminī	—									
rest	imperative	passive	future	simple	—	requiēscitor	requiēscitor	—	—	requiēscuntor									
see	indicative	active	present	simple	videō	vidēs	videt	vidēmus	vidētis	vident									
see	indicative	active	past	imperfective	vidēbam	vidēbās	vidēbat	vidēbāmus	vidēbātis	vidēbant									
see	indicative	active	future	simple	vidēbō	vidēbis	vidēbit	vidēbimus	vidēbitis	vidēbunt									
see	indicative	active	present	perfective	vīdī	vīdistī	vīdit	vīdimus	vīdistis	vīdērunt, vīdēre									
see	indicative	active	past	perfective	vīderam	vīderās	vīderat	vīderāmus	vīderātis	vīderant									
see	indicative	active	future	perfective	vīderō	vīderis	vīderit	vīderimus	vīderitis	vīderint									
see	indicative	passive	present	simple	videor	vidēris, vidēre	vidētur	vidēmur	vidēminī	videntur									
see	indicative	passive	past	imperfective	vidēbar	vidēbāris, vidēbāre	vidēbātur	vidēbāmur	vidēbāminī	vidēbantur									
see	indicative	passive	future	simple	vidēbor	vidēberis, vidēbere	vidēbitur	vidēbimur	vidēbiminī	vidēbuntur									
see	subjunctive	active	present	simple	videam	videās	videat	videāmus	videātis	videant									
see	subjunctive	active	past	imperfective	vidērem	vidērēs	vidēret	vidērēmus	vidērētis	vidērent									
see	subjunctive	active	present	perfective	vīderim	vīderīs	vīderit	vīderīmus	vīderītis	vīderint									
see	subjunctive	active	past	perfective	vīdissem	vīdissēs	vīdisset	vīdissēmus	vīdissētis	vīdissent									
see	subjunctive	passive	present	simple	videar	videāris, videāre	videātur	videāmur	videāminī	videantur									
see	subjunctive	passive	past	imperfective	vidērer	vidērēris, vidērēre	vidērētur	vidērēmur	vidērēminī	vidērentur									
see	imperative	active	present	simple	—	vidē	—	—	vidēte	—									
see	imperative	active	future	simple	—	vidētō	vidētō	—	vidētōte	videntō									
see	imperative	passive	present	simple	—	vidēre	—	—	vidēminī	—									
see	imperative	passive	future	simple	—	vidētor	vidētor	—	—	videntor									
show	indicative	active	present	simple	mōnstrō	mōnstrās	mōnstrat	mōnstrāmus	mōnstrātis	mōnstrant									
show	indicative	active	past	imperfective	mōnstrābam	mōnstrābās	mōnstrābat	mōnstrābāmus	mōnstrābātis	mōnstrābant									
show	indicative	active	future	simple	mōnstrābō	mōnstrābis	mōnstrābit	mōnstrābimus	mōnstrābitis	mōnstrābunt									
show	indicative	active	present	perfective	mōnstrāvī	mōnstrāvistī	mōnstrāvit	mōnstrāvimus	mōnstrāvistis	mōnstrāvērunt, mōnstrāvēre									
show	indicative	active	past	perfective	mōnstrāveram	mōnstrāverās	mōnstrāverat	mōnstrāverāmus	mōnstrāverātis	mōnstrāverant									
show	indicative	active	future	perfective	mōnstrāverō	mōnstrāveris	mōnstrāverit	mōnstrāverimus	mōnstrāveritis	mōnstrāverint									
show	indicative	passive	present	simple	mōnstror	mōnstrāris, mōnstrāre	mōnstrātur	mōnstrāmur	mōnstrāminī	mōnstrantur									
show	indicative	passive	past	imperfective	mōnstrābar	mōnstrābāris, mōnstrābāre	mōnstrābātur	mōnstrābāmur	mōnstrābāminī	mōnstrābantur									
show	indicative	passive	future	simple	mōnstrābor	mōnstrāberis, mōnstrābere	mōnstrābitur	mōnstrābimur	mōnstrābiminī	mōnstrābuntur									
show	subjunctive	active	present	simple	mōnstrem	mōnstrēs	mōnstret	mōnstrēmus	mōnstrētis	mōnstrent									
show	subjunctive	active	past	imperfective	mōnstrārem	mōnstrārēs	mōnstrāret	mōnstrārēmus	mōnstrārētis	mōnstrārent									
show	subjunctive	active	present	perfective	mōnstrāverim	mōnstrāverīs	mōnstrāverit	mōnstrāverīmus	mōnstrāverītis	mōnstrāverint									
show	subjunctive	active	past	perfective	mōnstrāvissem	mōnstrāvissēs	mōnstrāvisset	mōnstrāvissēmus	mōnstrāvissētis	mōnstrāvissent									
